============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space( 270. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4233469E+08   2706000E+03  .4539E+06  .2627E+07   .9999988  .0003028  .0015005
T    2  6 .4231864E+08   2706000E+03  .1984E+06 -.6214E+05   .9999988  .0015225 -.0000391
T    3  6 .4235520E+08   2706000E+03 -.2372E+07  .1037E+07   .9999972 -.0023568 -.0003352
T    4  6 .4239439E+08   2706000E+03  .3466E+07 -.3479E+06   .9999973  .0021202 -.0009151
T    5  6 .4239637E+08   2706000E+03 -.3599E+07  .7739E+06   .9999987 -.0014946 -.0006101
T    6  6 .4236102E+08   2706000E+03  .2388E+07 -.2777E+07   .9999965  .0010724 -.0024295
T    7  6 .4242407E+08   2706000E+03  .1665E+07  .7163E+06   .9999993  .0005363  .0010736
T    8  6 .4247046E+08   2706000E+03  .2336E+07 -.5705E+06   .9999994  .0005618 -.0009610
T    9  6 .4229685E+08   2706000E+03  .9986E+06  .1229E+07   .9999999 -.0005358  .0000802
T   10  6 .4241977E+08   2706000E+03  .2626E+07  .1346E+07   .9999966  .0019703  .0016997
T   11  6 .4233591E+08   2706000E+03  .9466E+06  .2487E+07   .9999953  .0023445  .0019992
T   12  6 .4238342E+08   2706000E+03 -.4058E+06  .3127E+05   .9999987 -.0002546  .0015643
T   13  6 .4231623E+08   2706000E+03 -.2530E+07 -.9321E+06   .9999957 -.0027933 -.0008793
T   14  6 .4227345E+08   2706000E+03 -.1228E+07  .1628E+07   .9999971 -.0010509  .0021564
T   15  6 .4227092E+08   2706000E+03  .7804E+07 -.8721E+07   .9999896  .0023020 -.0039438
T   16  6 .4238527E+08   2706000E+03 -.2433E+06  .1163E+07   .9999985 -.0008208  .0015108
T   17  6 .4237631E+08   2706000E+03 -.3621E+06 -.3788E+07   .9999936 -.0034727 -.0008039
T   18  6 .4237935E+08   2706000E+03 -.3694E+07  .7801E+07   .9999817 -.0040010  .0045308
T   19  6 .4239772E+08   2706000E+03  .7134E+07 -.9520E+06   .9999802  .0061497 -.0013476
T   20  6 .4232742E+08   2706000E+03  .4057E+07  .1584E+07   .9999972  .0020904  .0011127
T   21  6 .4237779E+08   2706000E+03  .5731E+07 -.2716E+07   .9999925  .0031926 -.0021967
T   22  6 .4230782E+08   2706000E+03  .5403E+06 -.6166E+06   .9999974  .0007760 -.0021240
T   23  6 .4236068E+08   2706000E+03  .5364E+06  .2927E+07   .9999989  .0005671  .0014006
T   24  6 .4231494E+08   2706000E+03  .3602E+07 -.2097E+07   .9999969  .0020708 -.0013721
T   25  6 .4234168E+08   2706000E+03  .1725E+07  .1041E+07   .9999996 -.0002623  .0008228
T   26  6 .4239475E+08   2706000E+03 -.2554E+07 -.3108E+07   .9999975 -.0018121 -.0013253
T   27  6 .4233032E+08   2706000E+03  .2458E+06 -.1404E+07   .9999998  .0002533 -.0005222
T   28  6 .4232020E+08   2706000E+03  .3078E+07 -.5260E+05   .9999984  .0013435 -.0012222
T   29  6 .4233153E+08   2706000E+03 -.1397E+07  .2068E+07   .9999986 -.0015503  .0006090
T   30  6 .4235732E+08   2706000E+03  .1158E+06 -.1135E+07   .9999998 -.0001544 -.0006852
T   31  6 .4230024E+08   2706000E+03 -.8975E+07 -.8063E+07   .9999703 -.0055072 -.0053896
T   32  6 .4234738E+08   2706000E+03  .1515E+07 -.1162E+07   .9999994 -.0007444 -.0007650
T   33  6 .4234923E+08   2706000E+03 -.1003E+08  .1333E+08   .9999373 -.0063654  .0092096
T   34  6 .4234365E+08   2706000E+03  .1986E+07  .2034E+07   .9999988  .0004267  .0015197
T   35  6 .4231769E+08   2706000E+03  .2884E+07  .4363E+07   .9999942  .0023938  .0024140
T   36  6 .4240739E+08   2706000E+03 -.1313E+07  .4530E+07   .9999705 -.0037717  .0066940
T   37  6 .4227854E+08   2706000E+03  .3070E+07  .5091E+06   .9999732  .0044173 -.0058391
T   38  6 .4235701E+08   2706000E+03  .3823E+07 -.2024E+07   .9999943  .0033461 -.0004809
T   39  6 .4228587E+08   2706000E+03  .6689E+07 -.2085E+07   .9999923  .0039123 -.0001457
T   40  6 .4237835E+08   2706000E+03  .4494E+07 -.3622E+07   .9999940  .0023341 -.0025687
T   41  6 .4235603E+08   2706000E+03  .1847E+07  .4366E+06   .9999998  .0004830 -.0003310
T   42  6 .4244830E+08   2706000E+03  .3149E+06  .1063E+07   .9999993 -.0000584 -.0011789
T   43  6 .4236195E+08   2706000E+03  .5863E+07 -.1168E+07   .9999939  .0034907  .0001863
T   44  6 .4234736E+08   2706000E+03  .1722E+07  .2579E+07   .9999992  .0002858  .0012662
T   45  6 .4234508E+08   2706000E+03  .4691E+07  .1336E+07   .9999947  .0032567  .0000259
T   46  6 .4234744E+08   2706000E+03 -.1334E+07  .1980E+07   .9999990 -.0007077  .0012070
T   47  6 .4237300E+08   2706000E+03  .8490E+06  .1253E+07   .9999999  .0003967 -.0000756
T   48  6 .4239582E+08   2706000E+03 -.1173E+07 -.1508E+07   .9999995  .0002518 -.0009308
T   49  6 .4234239E+08   2706000E+03 -.1493E+07 -.1202E+07   .9999963 -.0025817 -.0008330
T   50  6 .4229617E+08   2706000E+03  .2985E+07 -.2260E+07   .9999990  .0010026 -.0010351
T   51  6 .4227802E+08   2706000E+03  .1159E+07  .1989E+07   .9999992  .0008505  .0009438
T   52  6 .4227119E+08   2706000E+03 -.3964E+07 -.5801E+06   .9999987 -.0015701  .0001888
T   53  6 .4239134E+08   2706000E+03  .2242E+07  .4051E+06   .9999990  .0012992 -.0005944
T   54  6 .4235352E+08   2706000E+03  .5859E+06  .3618E+07   .9999965  .0000247  .0026288
T   55  6 .4233758E+08   2706000E+03  .6562E+07 -.1900E+07   .9999911  .0041666 -.0006181
T   56  6 .4233471E+08   2706000E+03 -.1227E+07  .7666E+07   .9999907  .0002676  .0042974
T   57  6 .4227415E+08   2706000E+03 -.1146E+07  .6867E+05   .9999999 -.0003342 -.0001885
T   58  6 .4242178E+08   2706000E+03  .1329E+07 -.1377E+07   .9999976  .0003551 -.0021678
T   59  6 .4241360E+08   2706000E+03 -.2611E+07  .1565E+06   .9999983 -.0018252  .0002758
T   60  6 .4240375E+08   2706000E+03  .2416E+07  .4655E+07   .9999911  .0016417  .0038865
T   61  6 .4236185E+08   2706000E+03 -.2822E+06 -.9893E+07   .9999845  .0004417 -.0055472
T   62  6 .4242091E+08   2706000E+03  .1092E+07  .3002E+06   .9999958  .0018358  .0022223
T   63  6 .4240005E+08   2706000E+03  .1490E+07  .4877E+07   .9999977  .0004582  .0020762
T   64  6 .4227836E+08   2706000E+03 -.2927E+07  .2118E+07   .9999968 -.0024963 -.0003564
T   65  6 .4236691E+08   2706000E+03  .3314E+07 -.5465E+06   .9999986  .0016541 -.0001062
T   66  6 .4233269E+08   2706000E+03 -.2906E+07  .1212E+06   .9999991 -.0013030  .0004336
T   67  6 .4237169E+08   2706000E+03 -.1937E+07 -.3819E+06   .9999985 -.0016905 -.0003519
T   68  6 .4241698E+08   2706000E+03  .9467E+06  .1648E+07   .9999990  .0013097  .0004700
T   69  6 .4239329E+08   2706000E+03  .1548E+07 -.3561E+07   .9999937  .0008087 -.0034433
T   70  6 .4239265E+08   2706000E+03  .3939E+07 -.6102E+07   .9999936  .0017330 -.0031227
T   71  6 .4236119E+08   2706000E+03  .3160E+07 -.6675E+06   .9999953  .0030249 -.0004509
T   72  6 .4228908E+08   2706000E+03 -.4294E+06 -.2033E+07   .9999985  .0005317 -.0016515
T   73  6 .4231604E+08   2706000E+03  .3337E+07  .2961E+06   .9999987  .0016118 -.0000881
T   74  6 .4241127E+08   2706000E+03 -.5262E+07  .2718E+07   .9999931 -.0029239  .0022739
T   75  6 .4253805E+08   2706000E+03 -.2187E+07  .2384E+07   .9999984 -.0014854  .0009857
T   76  6 .4232783E+08   2706000E+03 -.4026E+07 -.2135E+07   .9999959 -.0021490 -.0018944
T   77  6 .4239393E+08   2706000E+03  .5551E+06  .2055E+07   .9999953  .0010183  .0028860
T   78  6 .4236413E+08   2706000E+03  .1498E+07 -.9683E+06   .9999999  .0003117  .0000518
T   79  6 .4223101E+08   2706000E+03 -.5162E+06  .1237E+07   .9999989 -.0000786  .0015093
T   80  6 .4229114E+08   2706000E+03 -.1547E+07  .9499E+06   .9999941 -.0027717  .0020349
T   81  6 .4238569E+08   2706000E+03 -.1782E+06  .2422E+07   .9999995 -.0005279  .0008782
T   82  6 .4232127E+08   2706000E+03  .9539E+06 -.1249E+07   .9999997  .0008025  .0000895
T   83  6 .4237335E+08   2706000E+03  .1020E+07 -.2148E+07   .9999983  .0004093 -.0018114
T   84  6 .4242483E+08   2706000E+03 -.2802E+07 -.4016E+06   .9999993 -.0011510  .0003812
T   85  6 .4235736E+08   2706000E+03  .6180E+06  .2907E+07   .9999987  .0004932  .0015068
T   86  6 .4222720E+08   2706000E+03  .1825E+07  .1735E+06   .9999944  .0021679  .0025589
T   87  6 .4235698E+08   2706000E+03  .5967E+07  .2071E+07   .9999980  .0019362  .0004153
T   88  6 .4237742E+08   2706000E+03 -.2507E+07 -.1823E+07   .9999993 -.0011049 -.0004320
T   89  6 .4236067E+08   2706000E+03  .2783E+07 -.1271E+07   .9999998  .0001322 -.0006513
T   90  6 .4244587E+08   2706000E+03 -.2285E+07 -.1587E+07   .9999986 -.0013078 -.0010012
T   91  6 .4237771E+08   2706000E+03 -.1188E+07  .2579E+07   .9999971 -.0013051  .0020089
T   92  6 .4230271E+08   2706000E+03 -.8801E+06 -.1156E+07   .9999998  .0002925 -.0006076
T   93  6 .4236998E+08   2706000E+03  .3152E+07  .1776E+07   .9999981  .0017319  .0009029
T   94  6 .4237341E+08   2706000E+03  .1004E+07 -.6638E+06   .9999997  .0007038 -.0000809
T   95  6 .4236339E+08   2706000E+03  .2329E+07  .4760E+07   .9999940  .0014021  .0031809
T   96  6 .4240870E+08   2706000E+03 -.1989E+07  .1367E+07   .9999995 -.0009603  .0004134
T   97  6 .4233908E+08   2706000E+03  .1781E+07 -.4729E+06   .9999984  .0006298  .0016544
T   98  6 .4233117E+08   2706000E+03  .4421E+07  .6704E+06   .9999965  .0026272 -.0000175
T   99  6 .4232244E+08   2706000E+03 -.7255E+06  .8783E+06   .9999995 -.0006820  .0007071
T  100  6 .4235328E+08   2706000E+03 -.5886E+07 -.5498E+07   .9999964 -.0023506 -.0013019
T  101  6 .4235699E+08   2706000E+03  .3150E+07  .1605E+07   .9999996  .0005147  .0007703
T  102  6 .4237551E+08   2706000E+03 -.7509E+06 -.9689E+06   .9999997 -.0000742 -.0008055
T  103  6 .4229213E+08   2706000E+03 -.7271E+06  .5285E+07   .9999915  .0037910  .0016289
T  104  6 .4232650E+08   2706000E+03  .2973E+07  .1621E+07   .9999987  .0008924  .0013777
T  105  6 .4239311E+08   2706000E+03 -.2138E+07  .2725E+06   .9999991 -.0011855  .0006732
T  106  6 .4231731E+08   2706000E+03  .1160E+07  .6480E+05   .9999998  .0005889  .0001254
T  107  6 .4230598E+08   2706000E+03 -.2389E+07 -.6619E+06   .9999977 -.0015914 -.0014457
T  108  6 .4222370E+08   2706000E+03  .9874E+06 -.7632E+06   .9999999 -.0000164 -.0000105
T  109  6 .4241257E+08   2706000E+03  .1118E+07  .1775E+07   .9999996  .0008427 -.0000848
T  110  6 .4240790E+08   2706000E+03 -.2264E+07  .9949E+06   .9999992 -.0011711  .0003966
T  111  6 .4225435E+08   2706000E+03 -.5056E+07 -.2740E+06   .9999957 -.0029364  .0001348
T  112  6 .4238399E+08   2706000E+03 -.5972E+07  .4031E+07   .9999929 -.0036449  .0009676
T  113  6 .4236449E+08   2706000E+03 -.8235E+06  .1646E+06   .9999987 -.0015969 -.0001229
T  114  6 .4233284E+08   2706000E+03  .8976E+06  .3142E+07   .9999948  .0013408  .0029453
T  115  6 .4231880E+08   2706000E+03 -.3045E+07  .5369E+06   .9999980 -.0017231  .0010123
T  116  6 .4238290E+08   2706000E+03 -.1934E+07  .1538E+06   .9999999 -.0001381 -.0004054
T  117  6 .4232981E+08   2706000E+03  .1252E+07 -.1620E+06   .9999986  .0016212  .0003962
T  118  6 .4235270E+08   2706000E+03  .1069E+08  .4639E+07   .9999514  .0095736  .0023398
T  119  6 .4237777E+08   2706000E+03  .4198E+07  .1260E+08   .9999745  .0035436  .0062006
T  120  6 .4241864E+08   2706000E+03 -.5733E+06 -.7188E+06   .9999938 -.0014836 -.0031782
T  121  6 .4234305E+08   2706000E+03 -.9679E+06  .6105E+06   .9999994 -.0009913  .0005398
T  122  6 .4242015E+08   2706000E+03 -.4892E+07 -.5245E+07   .9999879 -.0032893 -.0036691
T  123  6 .4226832E+08   2706000E+03  .3398E+06  .3448E+07   .9999979  .0002531  .0020435
T  124  6 .4231263E+08   2706000E+03 -.1120E+07 -.3188E+07   .9999993 -.0003733 -.0011627
T  125  6 .4235419E+08   2706000E+03 -.3842E+06 -.1561E+07   .9999996 -.0004392 -.0007207
T  126  6 .4230849E+08   2706000E+03  .1996E+07  .1975E+07   .9999980  .0010605  .0016878
T  127  6 .4234667E+08   2706000E+03  .5334E+07  .1517E+07   .9999967  .0024977  .0005237
T  128  6 .4247592E+08   2706000E+03  .2024E+07 -.2450E+07   .9999968  .0012340 -.0022170
T  129  6 .4234837E+08   2706000E+03  .3604E+07  .1416E+07   .9999946  .0030989  .0010931
T  130  6 .4224933E+08   2706000E+03 -.4933E+06  .2230E+07   .9999975 -.0021222  .0007542
T  131  6 .4227730E+08   2706000E+03  .3659E+07 -.1783E+07   .9999934  .0024302 -.0027028
T  132  6 .4236528E+08   2706000E+03 -.2500E+07 -.1054E+07   .9999978 -.0021059 -.0000326
T  133  6 .4232669E+08   2706000E+03  .1969E+07  .2830E+07   .9999934  .0018724  .0031150
T  134  6 .4233214E+08   2706000E+03 -.3114E+07  .3618E+07   .9999928 -.0034240  .0016388
T  135  6 .4227084E+08   2706000E+03  .4642E+07  .1323E+07   .9999945  .0033233  .0000883
T  136  6 .4236292E+08   2706000E+03  .2624E+07 -.9086E+06   .9999976  .0021189 -.0004941
