============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space( 190. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4313925E+08   1906000E+03  .1812E+06  .9826E+06   .9999986  .0003615  .0016543
T    2  6 .4321298E+08   1906000E+03  .1375E+07 -.1916E+07   .9999986  .0013253 -.0010214
T    3  6 .4311410E+08   1906000E+03  .3228E+03  .5065E+06   .9999999  .0002691 -.0001627
T    4  6 .4313139E+08   1906000E+03  .2511E+07  .1432E+06   .9999969  .0023838 -.0006805
T    5  6 .4318504E+08   1906000E+03 -.5109E+06 -.1747E+07   .9999974 -.0012584 -.0018822
T    6  6 .4324518E+08   1906000E+03  .1388E+07 -.1559E+07   .9999985  .0011819 -.0012505
T    7  6 .4312875E+08   1906000E+03  .1333E+08  .3795E+07   .9999201  .0123059  .0028852
T    8  6 .4321868E+08   1906000E+03  .7747E+06  .1451E+07   .9999985  .0010331  .0013576
T    9  6 .4312806E+08   1906000E+03  .7731E+06 -.3076E+07   .9999977 -.0005084 -.0020777
T   10  6 .4307435E+08   1906000E+03  .1156E+06 -.6172E+06   .9999999  .0001709 -.0003850
T   11  6 .4316686E+08   1906000E+03  .2487E+05 -.2291E+06   .9999996 -.0003423 -.0008038
T   12  6 .4314243E+08   1906000E+03 -.2747E+07  .1969E+07   .9999989 -.0012918  .0006747
T   13  6 .4317240E+08   1906000E+03 -.2462E+07 -.3364E+07   .9999951 -.0024037 -.0020118
T   14  6 .4311723E+08   1906000E+03 -.6634E+06  .1979E+07   .9999963 -.0000962  .0027066
T   15  6 .4317844E+08   1906000E+03 -.2517E+07  .4802E+06   .9999970 -.0023114  .0007749
T   16  6 .4323467E+08   1906000E+03 -.2209E+07 -.1879E+07   .9999963 -.0015055 -.0022459
T   17  6 .4317985E+08   1906000E+03 -.5566E+04 -.3981E+05   .9999964  .0008876  .0025145
T   18  6 .4312640E+08   1906000E+03  .1059E+07  .1889E+07   .9999991  .0010141  .0008363
