============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space+Tr. ROW 0+Tr.( 270. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  3 .2330174E+08   2706000E+03  .4717E+07 -.7461E+06   .9999949  .0030619 -.0008764
T   55  3 .2328140E+08   2706000E+03 -.1996E+07  .6502E+07   .9999953 -.0019132  .0024056
T   56  3 .2326056E+08   2706000E+03  .1257E+07 -.1237E+07   .9999982  .0005645 -.0017972
T   57  3 .2328615E+08   2706000E+03  .5182E+06  .5340E+06   .9999998 -.0000615  .0007041
T   58  3 .2324882E+08   2706000E+03  .2222E+07 -.3174E+07   .9999919  .0017692 -.0036065
T   59  3 .2330759E+08   2706000E+03 -.2112E+07  .4121E+06   .9999987 -.0004162 -.0015504
T   60  3 .2332484E+08   2706000E+03 -.2426E+07 -.1758E+07   .9999996  .0000396 -.0009269
T   61  3 .2328471E+08   2706000E+03 -.9379E+06  .1251E+07   .9999999  .0001349 -.0004563
T   62  3 .2330805E+08   2706000E+03  .2012E+07 -.7992E+04   .9999997  .0002303 -.0006952
T   63  3 .2330699E+08   2706000E+03 -.3831E+06  .1854E+07   .9999992 -.0004931 -.0012052
T   64  3 .2328451E+08   2706000E+03  .1746E+06 -.4201E+07   .9999833 -.0056783 -.0011025
T   65  3 .2327325E+08   2706000E+03 -.2717E+07  .3757E+07   .9999936 -.0026701  .0023612
T   66  3 .2327360E+08   2706000E+03 -.1778E+07 -.6019E+05   .9999998 -.0006618 -.0001208
T   67  3 .2328033E+08   2706000E+03 -.5852E+06 -.6806E+06   .9999999 -.0003512 -.0002743
T   68  3 .2329774E+08   2706000E+03  .5072E+06  .7925E+06   .9999999 -.0002535 -.0002176
T   69  3 .2331057E+08   2706000E+03 -.1770E+07  .1277E+07   .9999977 -.0020563  .0006757
T   70  3 .2329427E+08   2706000E+03  .3836E+06 -.8591E+06   .9999993 -.0009803  .0007302
T   71  3 .2331359E+08   2706000E+03 -.2693E+06 -.6668E+06   .9999990 -.0006364  .0012789
T   72  3 .2329189E+08   2706000E+03  .1853E+07  .1937E+06   .9999990  .0005433  .0013100
T   73  3 .2328923E+08   2706000E+03  .6495E+06 -.1180E+07   .9999141  .0082557 -.0101797
T   74  3 .2327697E+08   2706000E+03 -.2781E+07  .9729E+06   .9999988 -.0014927  .0003114
T   75  3 .2329231E+08   2706000E+03 -.4706E+07  .3779E+07   .9999941 -.0028813  .0018752
T   76  3 .2329772E+08   2706000E+03  .1875E+07 -.2731E+07   .9999976  .0005227 -.0021252
T   77  3 .2330951E+08   2706000E+03  .7251E+06 -.4328E+05   .9999639  .0071746 -.0045446
T   78  3 .2329938E+08   2706000E+03  .1720E+06 -.3590E+06   .9999991 -.0001351 -.0013580
T   79  3 .2328864E+08   2706000E+03 -.1010E+06  .1362E+07   .9999997  .0003419  .0007248
T   80  3 .2325102E+08   2706000E+03  .1824E+07 -.2348E+07   .9999981  .0008088 -.0017488
T   81  3 .2326274E+08   2706000E+03 -.2317E+07  .8122E+06   .9999977  .0006514 -.0020371
T   82  3 .2327871E+08   2706000E+03  .2390E+07 -.2254E+07   .9999968  .0012631 -.0021938
T   83  3 .2329859E+08   2706000E+03 -.1255E+07 -.9941E+04   .9999999 -.0002526 -.0003512
T   84  3 .2329748E+08   2706000E+03 -.2207E+07 -.2378E+05   .9999983 -.0016735  .0007258
T   85  3 .2330256E+08   2706000E+03 -.3067E+07  .6735E+07   .9999896 -.0026143  .0037462
T   86  3 .2328680E+08   2706000E+03  .6646E+06 -.7935E+06   .9999999  .0000006 -.0003944
T   87  3 .2327184E+08   2706000E+03  .1468E+06  .2876E+06   .9999997  .0007310  .0001997
T   88  3 .2330323E+08   2706000E+03  .5088E+06 -.8319E+06   .9999999  .0001975 -.0000537
T   89  3 .2327034E+08   2706000E+03  .8850E+06 -.1073E+07   .9999998  .0000162 -.0005512
T   90  3 .2333122E+08   2706000E+03  .1156E+07  .1575E+07   .9999872  .0045076  .0023166
T   91  3 .2324529E+08   2706000E+03 -.2086E+05 -.4508E+06   .9999996 -.0008925  .0000655
T   92  3 .2329145E+08   2706000E+03  .1284E+08  .9415E+07   .9999698  .0059388  .0050112
T   93  3 .2326385E+08   2706000E+03  .1398E+07  .3580E+06   .9999989  .0014425 -.0002330
T   94  3 .2331681E+08   2706000E+03 -.1792E+06  .2240E+07   .9999995 -.0004180  .0008722
T   95  3 .2329381E+08   2706000E+03 -.7172E+06 -.2492E+07   .9999986 -.0005425 -.0015638
T   96  3 .2331946E+08   2706000E+03 -.3600E+07  .2201E+07   .9999965 -.0022112  .0014810
T   97  3 .2332170E+08   2706000E+03  .1721E+07 -.1209E+07   .9999987  .0016192 -.0001095
T   98  3 .2327395E+08   2706000E+03  .3650E+07  .6779E+06   .9999944  .0033567 -.0000455
T   99  3 .2326819E+08   2706000E+03  .1207E+07 -.4062E+06   .9999998  .0004392 -.0004907
T  100  3 .2327320E+08   2706000E+03  .2600E+06  .3116E+06   .9999981 -.0004081  .0019194
T  101  3 .2333513E+08   2706000E+03  .4220E+07  .1441E+06   .9999961  .0026158  .0009551
T  102  3 .2330675E+08   2706000E+03  .1740E+07  .1385E+07   .9999949  .0004232  .0031560
T  103  3 .2323583E+08   2706000E+03 -.1529E+07  .1534E+06   .9999985 -.0017008  .0002548
T  104  3 .2327489E+08   2706000E+03  .7552E+06  .1660E+07   .9999748 -.0004061 -.0070829
T  105  3 .2331508E+08   2706000E+03 -.3429E+06 -.1670E+06   .9999984  .0017738  .0002374
T  106  3 .2332718E+08   2706000E+03  .2383E+07  .4785E+07   .9999947  .0030048  .0012852
T  107  3 .2325670E+08   2706000E+03  .2000E+07  .3588E+07   .9999959  .0012909  .0025683
T  108  3 .2327490E+08   2706000E+03 -.3864E+06 -.2088E+07   .9999936  .0005912 -.0035397
T  109  3 .2328486E+08   2706000E+03 -.8548E+07 -.1975E+07   .9999881 -.0047726 -.0010336
T  110  3 .2331413E+08   2706000E+03 -.6073E+06 -.2425E+07   .9999999 -.0002419 -.0001458
T  111  3 .2328353E+08   2706000E+03 -.4048E+07  .2993E+07   .9999938 -.0033396  .0011290
T  112  3 .2332168E+08   2706000E+03 -.2645E+07 -.6093E+06   .9999944 -.0027975 -.0018338
T  113  3 .2326425E+08   2706000E+03  .1479E+06 -.7669E+06   .9999999 -.0003213 -.0000978
T  114  3 .2330254E+08   2706000E+03 -.1771E+06 -.7205E+04   .9999988 -.0015229 -.0001078
T  115  3 .2331663E+08   2706000E+03 -.8105E+06 -.1391E+07   .9999969 -.0021136 -.0012975
T  116  3 .2324344E+08   2706000E+03 -.5080E+07  .3185E+05   .9999974 -.0022869 -.0000961
T  117  3 .2330397E+08   2706000E+03 -.5268E+06 -.2834E+07   .9999979 -.0011489 -.0017259
T  118  3 .2326168E+08   2706000E+03 -.7291E+06 -.3459E+07   .9999985 -.0006766 -.0016212
T  119  3 .2325947E+08   2706000E+03 -.5464E+05  .4542E+07   .9999952 -.0009251  .0029499
T  120  3 .2328167E+08   2706000E+03  .8935E+06  .1578E+05   .9999989  .0013231  .0006711
T  121  3 .2322433E+08   2706000E+03  .3804E+07  .8556E+06   .9999979  .0019198  .0007154
T  122  3 .2329010E+08   2706000E+03 -.1831E+07  .3571E+07   .9999974 -.0021241  .0008449
T  123  3 .2324173E+08   2706000E+03 -.7888E+07  .6531E+06   .9999845 -.0055192  .0007397
T  124  3 .2329026E+08   2706000E+03  .5205E+05  .9054E+07   .9999937 -.0005469  .0035003
T  125  3 .2324271E+08   2706000E+03 -.2064E+07 -.2339E+07   .9999982 -.0015780 -.0010289
T  126  3 .2325592E+08   2706000E+03  .2535E+06 -.3768E+07   .9999902  .0004446 -.0044121
T  127  3 .2325154E+08   2706000E+03  .6003E+06  .2121E+06   .9999997 -.0000049 -.0008186
T  128  3 .2334317E+08   2706000E+03 -.1214E+07 -.1385E+07   .9999994 -.0010650 -.0001513
T  129  3 .2328387E+08   2706000E+03  .1050E+07  .5838E+07   .9999917 -.0000016  .0040764
T  130  3 .2326946E+08   2706000E+03 -.1381E+07  .1426E+07   .9999979 -.0020114 -.0003561
T  131  3 .2327179E+08   2706000E+03  .1158E+07  .8119E+06   .9999998  .0003677  .0004928
T  132  3 .2326531E+08   2706000E+03  .8778E+06  .4392E+05   .9999997  .0006726  .0003614
T  133  3 .2330327E+08   2706000E+03  .1121E+07 -.3463E+07   .9999979  .0002042 -.0020185
T  134  3 .2323902E+08   2706000E+03  .5901E+07  .1469E+07   .9999917  .0039876  .0008559
T  135  3 .2332909E+08   2706000E+03 -.2984E+07  .7715E+06   .9999986 -.0016841  .0000521
T  136  3 .2335520E+08   2706000E+03 -.8274E+06 -.3459E+07   .9999986 -.0000053 -.0016791
T  137  3 .2327317E+08   2706000E+03 -.1034E+07 -.3065E+07   .9999985 -.0006082 -.0016005
T  138  3 .2330935E+08   2706000E+03 -.2203E+07  .1379E+06   .9999998 -.0002633 -.0006221
T  139  3 .2326636E+08   2706000E+03  .2992E+07 -.2264E+07   .9999964  .0010303 -.0024895
T  140  3 .2327957E+08   2706000E+03  .3444E+06  .1437E+07   .9999997 -.0005952  .0004497
T  141  3 .2326461E+08   2706000E+03  .1009E+07  .8634E+06   .9999933  .0016540  .0032534
T  142  3 .2329960E+08   2706000E+03  .1698E+07  .9248E+06   .9999985  .0016762  .0004252
T  143  3 .2329278E+08   2706000E+03 -.3424E+06 -.9209E+06   .9999996 -.0002734 -.0008797
T  144  3 .2324551E+08   2706000E+03  .1177E+07  .9018E+06   .9999999  .0002907  .0002018
T  145  3 .2333832E+08   2706000E+03  .4099E+07 -.1077E+07   .9999986  .0015927 -.0005141
T  146  3 .2328697E+08   2706000E+03 -.3643E+06  .4998E+06   .9999997  .0001192  .0007136
T  147  3 .2327956E+08   2706000E+03  .3207E+07  .1762E+07   .9999980  .0017613  .0009067
T  148  3 .2326950E+08   2706000E+03 -.2660E+07 -.3882E+06   .9999972 -.0023403  .0001948
T  149  3 .2328376E+08   2706000E+03  .1428E+06 -.1374E+07   .9999998  .0003641 -.0005774
T  150  3 .2327366E+08   2706000E+03 -.6760E+06  .6639E+06   .9999992 -.0012153  .0003258
T  151  3 .2327581E+08   2706000E+03 -.2161E+07 -.2692E+06   .9999998 -.0005833 -.0001003
T  152  3 .2331783E+08   2706000E+03  .2647E+05  .3070E+06   .9999999 -.0002129  .0000767
T  153  3 .2326442E+08   2706000E+03 -.2559E+07  .1317E+07   .9999993 -.0010725  .0005170
T  154  3 .2328644E+08   2706000E+03  .9362E+07  .1933E+07   .9999827  .0058462  .0006464
T  155  3 .2329518E+08   2706000E+03  .1900E+07 -.9476E+06   .9999986  .0015914  .0005056
T  156  3 .2329801E+08   2706000E+03  .1077E+06 -.1696E+06   .9999999 -.0000375 -.0004152
T  157  3 .2330229E+08   2706000E+03 -.2409E+07 -.1037E+07   .9999989 -.0010382 -.0010758
T  158  3 .2325883E+08   2706000E+03 -.6858E+07  .2682E+07   .9999911 -.0040011  .0013042
T  159  3 .2327268E+08   2706000E+03 -.9982E+06 -.2459E+07   .9999991 -.0012469 -.0004198
T  160  3 .2334624E+08   2706000E+03  .2934E+06 -.1820E+06   .9999985 -.0017356 -.0001148
T  161  3 .2333622E+08   2706000E+03  .5495E+06  .1191E+06   .9999988  .0011286  .0010963
T  162  3 .2326501E+08   2706000E+03 -.3018E+07  .2879E+07   .9999991  .0002051  .0013629
T  163  3 .2327378E+08   2706000E+03  .2262E+07  .2708E+07   .9999994  .0007634  .0007943
T  164  3 .2326142E+08   2706000E+03  .1323E+06 -.1401E+06   .9999995 -.0001537  .0010116
T  165  3 .2326914E+08   2706000E+03  .4717E+06  .4777E+07   .9999971  .0006494  .0023196
T  166  3 .2330351E+08   2706000E+03  .1133E+06 -.1215E+07   .9999983 -.0000686 -.0018260
T  167  3 .2326083E+08   2706000E+03  .2692E+07 -.9389E+06   .9999957  .0025072 -.0015525
T  168  3 .2334544E+08   2706000E+03 -.5858E+07  .1371E+07   .9999930 -.0034697  .0013875
T  169  3 .2328723E+08   2706000E+03  .5173E+06 -.1408E+07   .9999997  .0006805 -.0004839
T  170  3 .2329320E+08   2706000E+03  .1386E+06 -.7467E+06   .9999999 -.0000135  .0001360
T  171  3 .2333510E+08   2706000E+03  .4291E+06  .2164E+07   .9999996  .0008342  .0001995
T  172  3 .2327210E+08   2706000E+03  .2609E+07  .4651E+05   .9999993  .0011882  .0001462
T  173  3 .2323968E+08   2706000E+03  .9634E+06 -.2363E+07   .9999953  .0014304 -.0026937
T  174  3 .2332079E+08   2706000E+03 -.3487E+06  .6375E+06   .9999998 -.0004893  .0004302
T  175  3 .2326000E+08   2706000E+03 -.1294E+07 -.9974E+06   .9999989 -.0012046 -.0008208
T  176  3 .2328932E+08   2706000E+03 -.3261E+07  .7773E+06   .9999950 -.0029337  .0011385
T  177  3 .2330899E+08   2706000E+03 -.3278E+06 -.1094E+06   .9999984 -.0012402  .0013270
T  178  3 .2328515E+08   2706000E+03 -.4328E+06  .1356E+07   .9999991 -.0002044  .0013469
T  179  3 .2331526E+08   2706000E+03  .4367E+05 -.1141E+07   .9999996  .0000842 -.0009371
T  180  3 .2331651E+08   2706000E+03 -.2757E+06 -.5077E+07   .9999323  .0001522 -.0116363
T  181  3 .2327773E+08   2706000E+03  .1297E+08  .8112E+07   .9999347  .0095031  .0063465
T  182  3 .2327414E+08   2706000E+03 -.1182E+07 -.7320E+06   .9999999 -.0002709 -.0001983
T  183  3 .2332022E+08   2706000E+03  .2122E+07  .2964E+07   .9999956  .0017431  .0024080
T  184  3 .2324823E+08   2706000E+03 -.1691E+07  .1803E+06   .9999975 -.0018066  .0013360
T  185  3 .2327260E+08   2706000E+03 -.4808E+06 -.5739E+07   .9999987 -.0003049 -.0016035
T  186  3 .2327472E+08   2706000E+03  .5439E+06 -.7228E+07   .9999937  .0015291 -.0032120
T  187  3 .2325804E+08   2706000E+03  .2047E+07 -.4157E+06   .9999988  .0014888  .0004748
T  188  3 .2329322E+08   2706000E+03 -.2731E+07  .1175E+07   .9999975 -.0017141  .0014530
T  189  3 .2329151E+08   2706000E+03  .3363E+06  .1966E+07   .9999977  .0006049  .0020757
T  190  3 .2326610E+08   2706000E+03 -.2299E+07 -.5504E+06   .9999996  .0001347 -.0009211
T  191  3 .2324450E+08   2706000E+03  .6504E+06  .3416E+06   .9999994  .0007891 -.0007176
T  192  3 .2328510E+08   2706000E+03  .2779E+06  .1916E+07   .9999984  .0017008  .0005469
T  193  3 .2332042E+08   2706000E+03 -.1099E+07  .3700E+07   .9999970 -.0006474  .0023577
T  194  3 .2329116E+08   2706000E+03  .1533E+06 -.9368E+06   .9999998  .0003559  .0005035
T  195  3 .2331201E+08   2706000E+03  .1485E+07  .4284E+06   .9999999 -.0004193  .0001602
T  196  3 .2329319E+08   2706000E+03 -.1634E+07  .2382E+07   .9999992 -.0003779  .0011712
