============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space( 150. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  6 .4346646E+08   1506000E+03  .6372E+05 -.3241E+05   .9999992  .0007726 -.0009979
T   55  6 .4358380E+08   1506000E+03 -.8059E+06 -.8236E+06   .9999989 -.0011716 -.0009322
T   56  6 .4355231E+08   1506000E+03 -.2221E+07 -.9099E+06   .9999971 -.0017304 -.0016741
T   57  6 .4357374E+08   1506000E+03  .1673E+06 -.1096E+07   .9999994  .0002464 -.0010779
T   58  6 .4359946E+08   1506000E+03 -.5068E+06  .8847E+06   .9999997 -.0004552  .0005622
T   59  6 .4347663E+08   1506000E+03 -.3007E+06 -.4756E+06   .9999999 -.0001765 -.0003286
T   60  6 .4354709E+08   1506000E+03  .2699E+07 -.2625E+07   .9999944  .0029122 -.0016226
T   61  6 .4358118E+08   1506000E+03 -.6414E+06 -.8213E+06   .9999997 -.0004115 -.0006552
T   62  6 .4349223E+08   1506000E+03 -.2876E+07 -.2282E+06   .9999975 -.0022205 -.0003460
T   63  6 .4354795E+08   1506000E+03  .1464E+06 -.2539E+06   .9999998 -.0003314 -.0005919
T   64  6 .4350802E+08   1506000E+03  .1333E+07  .1716E+07   .9999973  .0022124  .0006575
T   65  6 .4359907E+08   1506000E+03  .1352E+07 -.6333E+06   .9999990  .0013806 -.0002643
T   66  6 .4347897E+08   1506000E+03  .2180E+07 -.1965E+07   .9999948  .0025386 -.0019750
T   67  6 .4349506E+08   1506000E+03  .2552E+06  .1105E+06   .9999999 -.0002275  .0003141
T   68  6 .4354756E+08   1506000E+03 -.7943E+06  .9427E+06   .9999994 -.0004786  .0009609
T   69  6 .4353825E+08   1506000E+03  .4847E+06  .1681E+06   .9999994  .0007354  .0008182
T   70  6 .4355558E+08   1506000E+03  .8641E+06 -.8736E+06   .9999974  .0019283 -.0012280
T   71  6 .4348806E+08   1506000E+03 -.1290E+07 -.7431E+06   .9999983 -.0017711 -.0005314
T   72  6 .4354954E+08   1506000E+03  .9527E+05 -.3884E+06   .9999997 -.0001096 -.0007456
T   73  6 .4342133E+08   1506000E+03 -.1364E+07  .4537E+06   .9999989 -.0013518 -.0005869
T   74  6 .4348363E+08   1506000E+03 -.1797E+07  .1582E+07   .9999974 -.0018805  .0012980
T   75  6 .4361984E+08   1506000E+03  .4901E+06 -.2425E+06   .9999995  .0008671 -.0004120
T   76  6 .4357629E+08   1506000E+03 -.1089E+07 -.2235E+06   .9999989 -.0014034 -.0005326
T   77  6 .4354764E+08   1506000E+03  .1176E+07  .7043E+06   .9999987  .0013150  .0009357
T   78  6 .4353816E+08   1506000E+03 -.5130E+07 -.2931E+07   .9999790 -.0060970 -.0021793
T   79  6 .4356148E+08   1506000E+03 -.7068E+06  .4837E+06   .9999995 -.0006195  .0008042
T   80  6 .4354098E+08   1506000E+03 -.2033E+07 -.8219E+05   .9999972 -.0023815  .0001259
T   81  6 .4353357E+08   1506000E+03 -.3292E+06  .3806E+06   .9999998 -.0005771 -.0000066
T   82  6 .4357391E+08   1506000E+03 -.5070E+06  .8079E+06   .9999979 -.0014164  .0014908
T   83  6 .4356162E+08   1506000E+03  .1183E+07  .4391E+06   .9999991  .0012634  .0003892
T   84  6 .4351694E+08   1506000E+03 -.2532E+06 -.9137E+05   .9999999 -.0001966 -.0001028
T   85  6 .4348899E+08   1506000E+03 -.8865E+05 -.2372E+06   .9999992  .0008726  .0009620
T   86  6 .4355790E+08   1506000E+03  .8675E+06 -.8631E+05   .9999999  .0004289 -.0001256
T   87  6 .4361388E+08   1506000E+03  .8143E+06 -.3038E+06   .9999995  .0006145 -.0007351
T   88  6 .4357012E+08   1506000E+03  .8760E+06  .1426E+06   .9999993  .0009811 -.0006371
T   89  6 .4353429E+08   1506000E+03  .3620E+06  .2968E+04   .9999999  .0000581 -.0001738
T   90  6 .4350038E+08   1506000E+03 -.7211E+06 -.2183E+07   .9999920 -.0007893 -.0039097
T   91  6 .4348404E+08   1506000E+03  .9475E+06  .1037E+07   .9999986  .0006533  .0015267
T   92  6 .4348635E+08   1506000E+03 -.6268E+06 -.5907E+05   .9999997 -.0006599  .0003805
T   93  6 .4362816E+08   1506000E+03 -.1031E+07 -.8213E+06   .9999990 -.0008949 -.0011115
T   94  6 .4356551E+08   1506000E+03 -.1060E+07 -.1850E+07   .9999958 -.0012592 -.0026109
T   95  6 .4358053E+08   1506000E+03 -.1103E+07  .2486E+06   .9999975 -.0022435  .0002500
T   96  6 .4354858E+08   1506000E+03  .3201E+07 -.2857E+07   .9999916  .0032617 -.0024760
T   97  6 .4355679E+08   1506000E+03  .4631E+06  .5660E+06   .9999999 -.0004743  .0001324
T   98  6 .4352250E+08   1506000E+03  .4004E+07 -.2691E+07   .9999858  .0041201 -.0033685
T   99  6 .4350185E+08   1506000E+03  .5371E+06 -.7162E+06   .9999998 -.0002381 -.0006262
T  100  6 .4353958E+08   1506000E+03  .6094E+05 -.2264E+06   .9999986  .0013489  .0009962
T  101  6 .4354065E+08   1506000E+03  .1090E+07  .5576E+05   .9999969  .0021033 -.0012973
T  102  6 .4358163E+08   1506000E+03  .6318E+06 -.5339E+06   .9999995  .0007558 -.0006140
T  103  6 .4358997E+08   1506000E+03  .1541E+07  .1271E+06   .9999999  .0002200  .0003485
T  104  6 .4349026E+08   1506000E+03 -.8765E+05  .8674E+06   .9999984  .0011847  .0013114
T  105  6 .4350446E+08   1506000E+03  .2228E+07 -.5526E+06   .9999980  .0019842 -.0003438
T  106  6 .4354647E+08   1506000E+03 -.3722E+06  .6590E+06   .9999994 -.0004889  .0009702
T  107  6 .4351663E+08   1506000E+03 -.2739E+07  .9144E+06   .9999898 -.0044396  .0008119
T  108  6 .4348884E+08   1506000E+03 -.1218E+07  .4617E+06   .9999969 -.0023294  .0008733
T  109  6 .4356792E+08   1506000E+03  .5917E+06 -.2429E+06   .9999983  .0018395 -.0000331
T  110  6 .4350832E+08   1506000E+03  .1818E+07  .7616E+06   .9999964  .0025770  .0007423
T  111  6 .4355572E+08   1506000E+03  .1083E+06  .8086E+06   .9999995 -.0001314  .0009879
T  112  6 .4355829E+08   1506000E+03  .1260E+07 -.3794E+07   .9999904  .0012706 -.0042030
T  113  6 .4353733E+08   1506000E+03  .1220E+07  .1345E+07   .9999985  .0003401  .0017083
T  114  6 .4350671E+08   1506000E+03 -.4300E+06  .7967E+06   .9999937 -.0014004  .0032545
T  115  6 .4349150E+08   1506000E+03  .5621E+06 -.1653E+07   .9999975  .0011922 -.0019045
T  116  6 .4361613E+08   1506000E+03  .7851E+06  .2108E+07   .9999953  .0008975  .0029344
