============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space+Tr. ROW 0+Tr.( 190. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  6 .4314376E+08   1906000E+03 -.3732E+06  .3718E+06   .9999998 -.0005676  .0002377
T   55  6 .4316877E+08   1906000E+03 -.8663E+07 -.3197E+07   .9999858 -.0051691 -.0012884
T   56  6 .4324202E+08   1906000E+03 -.9325E+06 -.9133E+06   .9999994 -.0009850 -.0003883
T   57  6 .4320421E+08   1906000E+03 -.1100E+07 -.3140E+06   .9999964 -.0026939  .0000043
T   58  6 .4321612E+08   1906000E+03 -.1130E+07  .2109E+06   .9999999 -.0002331  .0001690
T   59  6 .4321042E+08   1906000E+03  .4992E+05  .3774E+06   .9999985  .0009343  .0014340
T   60  6 .4315245E+08   1906000E+03  .1459E+06 -.7163E+05   .9999996 -.0005734  .0006741
T   61  6 .4308105E+08   1906000E+03  .1905E+07  .1569E+07   .9999974  .0020005  .0010682
T   62  6 .4315206E+08   1906000E+03  .1455E+07 -.1345E+06   .9999992  .0010498 -.0006624
T   63  6 .4317112E+08   1906000E+03 -.2261E+07 -.1662E+07   .9999954 -.0024701 -.0017376
T   64  6 .4315483E+08   1906000E+03  .1649E+07 -.1076E+06   .9999983  .0012079 -.0013826
T   65  6 .4316474E+08   1906000E+03 -.6990E+06 -.1177E+07   .9999987 -.0002812 -.0015792
T   66  6 .4313677E+08   1906000E+03 -.6307E+06 -.1555E+07   .9999867 -.0044531 -.0025973
T   67  6 .4310634E+08   1906000E+03 -.6219E+06  .7167E+06   .9999993 -.0002214  .0011356
T   68  6 .4314105E+08   1906000E+03 -.1681E+07 -.7313E+05   .9999979 -.0020080 -.0004522
T   69  6 .4309379E+08   1906000E+03  .4459E+06  .3001E+06   .9999995  .0009792 -.0001288
T   70  6 .4310125E+08   1906000E+03 -.3262E+07 -.1648E+07   .9999991 -.0011276 -.0007226
T   71  6 .4309992E+08   1906000E+03 -.4192E+06 -.2258E+07   .9999939 -.0026802 -.0022523
T   72  6 .4306553E+08   1906000E+03 -.2095E+07 -.2646E+07   .9999971 -.0017018 -.0016986
