============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space+Tr. ROW 0+Tr.( 230. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  6 .4281910E+08   2306000E+03  .1033E+07  .1563E+07   .9999983  .0016679  .0008404
T    2  6 .4271430E+08   2306000E+03  .3668E+07 -.1848E+07   .9999847  .0055324 -.0002981
T    3  6 .4273757E+08   2306000E+03 -.4233E+07  .7077E+07   .9999693 -.0054704  .0056160
T    4  6 .4275696E+08   2306000E+03  .4521E+05 -.1888E+07   .9999999  .0001708 -.0004436
T    5  6 .4272451E+08   2306000E+03  .4379E+06  .4929E+07   .9999972 -.0011015  .0020982
T    6  6 .4272981E+08   2306000E+03  .6048E+06  .1061E+07   .9999996  .0008391 -.0000121
T    7  6 .4267050E+08   2306000E+03 -.2488E+07  .5389E+06   .9999785 -.0045829  .0046997
T    8  6 .4278572E+08   2306000E+03 -.1778E+06 -.1295E+07   .9999995  .0003561 -.0009616
T    9  6 .4272876E+08   2306000E+03  .3924E+07  .1569E+07   .9999940  .0025338  .0023804
T   10  6 .4275574E+08   2306000E+03 -.2398E+07 -.6804E+06   .9999975 -.0019406 -.0010923
T   11  6 .4267137E+08   2306000E+03  .9174E+06  .1670E+07   .9999992  .0009458  .0008947
T   12  6 .4276926E+08   2306000E+03  .7269E+06 -.2532E+07   .9999966 -.0003191 -.0025795
T   13  6 .4278681E+08   2306000E+03 -.6830E+06 -.7344E+06   .9999995 -.0004537 -.0008734
T   14  6 .4279100E+08   2306000E+03  .2447E+07  .9464E+05   .9999970  .0024599  .0002161
T   15  6 .4279192E+08   2306000E+03 -.1847E+07 -.1958E+07   .9999983 -.0013464 -.0012314
T   16  6 .4270990E+08   2306000E+03  .7457E+06  .2402E+07   .9999976  .0010969  .0019191
