************ Run 215_4He - pearson coefficient ***********
Evt. 13735   P.coefficient (R): 0.848205
Evt. 13772   P.coefficient (R): 0.995937
Evt. 13977   P.coefficient (R): 0.653715
Evt. 13992   P.coefficient (R): 0.784073
Evt. 14000   P.coefficient (R): 0.992947
Evt. 14068   P.coefficient (R): 0.995946
Evt. 14131   P.coefficient (R): 0.891431
Evt. 14359   P.coefficient (R): 0.989869
Evt. 14391   P.coefficient (R): 0.989399
Evt. 14489   P.coefficient (R): 0.993118
Evt. 14565   P.coefficient (R): 0.993377
Evt. 14882   P.coefficient (R): 0.993794
Evt. 14890   P.coefficient (R): 0.993358
Evt. 15020   P.coefficient (R): 0.995298
Evt. 15051   P.coefficient (R): 0.993719
Evt. 15076   P.coefficient (R): 0.967762
Evt. 15263   P.coefficient (R): 0.994387
Evt. 15399   P.coefficient (R): 0.993902
Evt. 15475   P.coefficient (R): 0.622562
Evt. 15492   P.coefficient (R): 0.987165
Evt. 15649   P.coefficient (R): 0.980577
Evt. 15694   P.coefficient (R): 0.990991
Evt. 15699   P.coefficient (R): 0.444435
Evt. 15841   P.coefficient (R): 0.974594
Evt. 15891   P.coefficient (R): 0.993324
Evt. 15960   P.coefficient (R): 0.727091
Evt. 15987   P.coefficient (R): 0.84115
Evt. 16031   P.coefficient (R): 0.370754
Evt. 16154   P.coefficient (R): 0.99388
Evt. 16191   P.coefficient (R): 0.990839
Evt. 16261   P.coefficient (R): 0.995891
Evt. 16354   P.coefficient (R): 0.995349
Evt. 16389   P.coefficient (R): 0.987875
Evt. 16550   P.coefficient (R): 0.44527
Evt. 16725   P.coefficient (R): 0.989481
Evt. 16806   P.coefficient (R): 0.995089
Evt. 16807   P.coefficient (R): 0.993898
Evt. 17281   P.coefficient (R): 0.937024
Evt. 17380   P.coefficient (R): 0.994938
Evt. 17404   P.coefficient (R): 0.995834
Evt. 17613   P.coefficient (R): 0.892492
Evt. 17714   P.coefficient (R): 0.989317
Evt. 17794   P.coefficient (R): 0.993558
Evt. 17831   P.coefficient (R): 0.993325
Evt. 18014   P.coefficient (R): 0.991689
Evt. 18478   P.coefficient (R): 0.43412
Evt. 18673   P.coefficient (R): 0.993692
Evt. 18720   P.coefficient (R): 0.99013
Evt. 18780   P.coefficient (R): 0.987293
Evt. 18792   P.coefficient (R): 0.965488
Evt. 18798   P.coefficient (R): 0.993546
Evt. 19014   P.coefficient (R): 0.994017
Evt. 19059   P.coefficient (R): 0.0125348
Evt. 19227   P.coefficient (R): 0.994875
Evt. 19239   P.coefficient (R): 0.985217
Evt. 19431   P.coefficient (R): 0.9723
Evt. 19481   P.coefficient (R): 0.990431
Evt. 19632   P.coefficient (R): 0.993531
Evt. 19656   P.coefficient (R): 0.99034
Evt. 19676   P.coefficient (R): 0.992273
Evt. 19844   P.coefficient (R): 0.432063
Evt. 19855   P.coefficient (R): 0.995206
Evt. 19957   P.coefficient (R): 0.991662
Evt. 20053   P.coefficient (R): 0.995651
Evt. 20179   P.coefficient (R): 0.990443
Evt. 20185   P.coefficient (R): 0.973583
Evt. 20322   P.coefficient (R): 0.985404
Evt. 20466   P.coefficient (R): 0.99447
Evt. 20614   P.coefficient (R): 0.993531
