************ Run 52_12C - pearson coefficient ***********
Evt. 0   P.coefficient (R): 0.990725
Evt. 1   P.coefficient (R): 0.989063
Evt. 2   P.coefficient (R): 0.989184
Evt. 3   P.coefficient (R): 0.990868
Evt. 4   P.coefficient (R): 0.990777
Evt. 5   P.coefficient (R): 0.989916
Evt. 6   P.coefficient (R): 0.990855
Evt. 7   P.coefficient (R): 0.988961
Evt. 8   P.coefficient (R): 0.988995
Evt. 9   P.coefficient (R): 0.989825
Evt. 10   P.coefficient (R): 0.98957
Evt. 11   P.coefficient (R): 0.989836
Evt. 12   P.coefficient (R): 0.988852
Evt. 13   P.coefficient (R): -0.988008
Evt. 14   P.coefficient (R): 0.989749
Evt. 15   P.coefficient (R): 0.990787
Evt. 16   P.coefficient (R): 0.990299
Evt. 17   P.coefficient (R): 0.989727
Evt. 18   P.coefficient (R): 0.989932
Evt. 19   P.coefficient (R): 0.990115
Evt. 20   P.coefficient (R): 0.990287
Evt. 21   P.coefficient (R): 0.990325
Evt. 22   P.coefficient (R): 0.990094
Evt. 23   P.coefficient (R): 0.989661
Evt. 24   P.coefficient (R): 0.990279
Evt. 25   P.coefficient (R): 0.989654
Evt. 26   P.coefficient (R): 0.98993
Evt. 27   P.coefficient (R): 0.989936
Evt. 28   P.coefficient (R): 0.989787
Evt. 29   P.coefficient (R): 0.990711
Evt. 30   P.coefficient (R): 0.989145
Evt. 31   P.coefficient (R): 0.990234
Evt. 32   P.coefficient (R): 0.990244
Evt. 33   P.coefficient (R): 0.989627
Evt. 34   P.coefficient (R): 0.988092
Evt. 35   P.coefficient (R): 0.989516
Evt. 36   P.coefficient (R): 0.990491
Evt. 37   P.coefficient (R): 0.989402
Evt. 38   P.coefficient (R): 0.990691
Evt. 39   P.coefficient (R): 0.990209
Evt. 40   P.coefficient (R): 0.990208
Evt. 41   P.coefficient (R): 0.989594
Evt. 42   P.coefficient (R): 0.990337
Evt. 43   P.coefficient (R): 0.989925
Evt. 44   P.coefficient (R): 0.989699
Evt. 45   P.coefficient (R): 0.989851
Evt. 46   P.coefficient (R): 0.989592
Evt. 47   P.coefficient (R): 0.989462
Evt. 48   P.coefficient (R): 0.990004
Evt. 49   P.coefficient (R): 0.990224
Evt. 50   P.coefficient (R): 0.989958
Evt. 51   P.coefficient (R): 0.989602
Evt. 52   P.coefficient (R): 0.990145
Evt. 53   P.coefficient (R): 0.987756
Evt. 54   P.coefficient (R): 0.989104
Evt. 55   P.coefficient (R): 0.989667
Evt. 56   P.coefficient (R): 0.990802
Evt. 57   P.coefficient (R): 0.989944
Evt. 58   P.coefficient (R): 0.989896
Evt. 59   P.coefficient (R): 0.989343
Evt. 60   P.coefficient (R): 0.989561
Evt. 61   P.coefficient (R): 0.990548
Evt. 62   P.coefficient (R): 0.989436
Evt. 63   P.coefficient (R): 0.990282
Evt. 64   P.coefficient (R): 0.989443
Evt. 65   P.coefficient (R): 0.990043
Evt. 66   P.coefficient (R): 0.989622
Evt. 67   P.coefficient (R): 0.990263
Evt. 68   P.coefficient (R): 0.990293
Evt. 69   P.coefficient (R): 0.990547
Evt. 70   P.coefficient (R): 0.990485
Evt. 71   P.coefficient (R): 0.989883
Evt. 72   P.coefficient (R): 0.989978
Evt. 73   P.coefficient (R): 0.990194
Evt. 74   P.coefficient (R): 0.990225
Evt. 75   P.coefficient (R): 0.990248
Evt. 76   P.coefficient (R): 0.99003
Evt. 77   P.coefficient (R): 0.986213
Evt. 78   P.coefficient (R): 0.990046
Evt. 79   P.coefficient (R): 0.989989
Evt. 80   P.coefficient (R): 0.989544
Evt. 81   P.coefficient (R): 0.989954
Evt. 82   P.coefficient (R): 0.99014
Evt. 83   P.coefficient (R): 0.989924
Evt. 84   P.coefficient (R): 0.990259
Evt. 85   P.coefficient (R): 0.989784
Evt. 86   P.coefficient (R): 0.990453
Evt. 87   P.coefficient (R): 0.990903
Evt. 88   P.coefficient (R): 0.990835
Evt. 89   P.coefficient (R): 0.986474
Evt. 90   P.coefficient (R): 0.989634
Evt. 91   P.coefficient (R): 0.98991
Evt. 92   P.coefficient (R): 0.989902
Evt. 93   P.coefficient (R): 0.989836
Evt. 94   P.coefficient (R): 0.990027
Evt. 95   P.coefficient (R): 0.990397
Evt. 96   P.coefficient (R): 0.990103
Evt. 97   P.coefficient (R): 0.990715
Evt. 98   P.coefficient (R): 0.989533
Evt. 99   P.coefficient (R): 0.989863
Evt. 100   P.coefficient (R): 0.990255
Evt. 101   P.coefficient (R): 0.990516
Evt. 102   P.coefficient (R): 0.990023
Evt. 103   P.coefficient (R): 0.9907
Evt. 104   P.coefficient (R): 0.989782
Evt. 105   P.coefficient (R): 0.990172
Evt. 106   P.coefficient (R): 0.990877
Evt. 107   P.coefficient (R): 0.98991
Evt. 108   P.coefficient (R): 0.989669
Evt. 109   P.coefficient (R): 0.990179
Evt. 110   P.coefficient (R): 0.990021
Evt. 111   P.coefficient (R): 0.990399
Evt. 112   P.coefficient (R): 0.985773
Evt. 113   P.coefficient (R): 0.989789
Evt. 114   P.coefficient (R): 0.989892
Evt. 115   P.coefficient (R): 0.990555
Evt. 116   P.coefficient (R): 0.990224
Evt. 117   P.coefficient (R): 0.990701
Evt. 118   P.coefficient (R): 0.989731
Evt. 119   P.coefficient (R): 0.991044
Evt. 120   P.coefficient (R): 0.989229
Evt. 121   P.coefficient (R): 0.990072
Evt. 122   P.coefficient (R): 0.989816
Evt. 123   P.coefficient (R): 0.990071
Evt. 124   P.coefficient (R): 0.990053
Evt. 125   P.coefficient (R): 0.989741
Evt. 126   P.coefficient (R): 0.989749
Evt. 127   P.coefficient (R): 0.989336
Evt. 128   P.coefficient (R): 0.990207
Evt. 129   P.coefficient (R): 0.989281
Evt. 130   P.coefficient (R): 0.990398
Evt. 131   P.coefficient (R): 0.989835
Evt. 132   P.coefficient (R): 0.98888
Evt. 133   P.coefficient (R): 0.989764
Evt. 134   P.coefficient (R): 0.988878
Evt. 135   P.coefficient (R): 0.989485
Evt. 136   P.coefficient (R): 0.990359
Evt. 137   P.coefficient (R): 0.989859
Evt. 138   P.coefficient (R): 0.990193
Evt. 139   P.coefficient (R): 0.989102
Evt. 140   P.coefficient (R): 0.990286
Evt. 141   P.coefficient (R): 0.990681
Evt. 142   P.coefficient (R): 0.989041
Evt. 143   P.coefficient (R): 0.990108
Evt. 144   P.coefficient (R): 0.98978
Evt. 145   P.coefficient (R): 0.989746
Evt. 146   P.coefficient (R): 0.989644
Evt. 147   P.coefficient (R): 0.989481
Evt. 148   P.coefficient (R): 0.990506
Evt. 149   P.coefficient (R): 0.990157
