************ Run 202_12C - pearson coefficient ***********
Evt. 144   P.coefficient (R): 0.993559
Evt. 145   P.coefficient (R): 0.993556
Evt. 146   P.coefficient (R): 0.993598
Evt. 147   P.coefficient (R): 0.994564
Evt. 148   P.coefficient (R): 0.993574
Evt. 149   P.coefficient (R): 0.994143
Evt. 150   P.coefficient (R): 0.993909
Evt. 151   P.coefficient (R): 0.994091
Evt. 152   P.coefficient (R): 0.99445
Evt. 153   P.coefficient (R): 0.993483
Evt. 154   P.coefficient (R): 0.994
Evt. 155   P.coefficient (R): 0.993878
Evt. 156   P.coefficient (R): 0.993688
Evt. 157   P.coefficient (R): 0.994052
Evt. 158   P.coefficient (R): 0.993712
Evt. 159   P.coefficient (R): 0.99359
Evt. 160   P.coefficient (R): 0.993118
Evt. 161   P.coefficient (R): 0.993401
Evt. 162   P.coefficient (R): 0.993916
Evt. 163   P.coefficient (R): 0.994002
Evt. 164   P.coefficient (R): 0.993761
Evt. 165   P.coefficient (R): 0.994085
Evt. 166   P.coefficient (R): 0.994127
Evt. 167   P.coefficient (R): 0.993727
Evt. 168   P.coefficient (R): 0.993624
Evt. 169   P.coefficient (R): 0.993917
Evt. 170   P.coefficient (R): 0.99365
Evt. 171   P.coefficient (R): 0.99422
Evt. 172   P.coefficient (R): 0.993755
Evt. 173   P.coefficient (R): 0.994222
Evt. 174   P.coefficient (R): 0.9942
Evt. 175   P.coefficient (R): 0.993241
Evt. 176   P.coefficient (R): 0.99348
Evt. 177   P.coefficient (R): 0.99348
Evt. 178   P.coefficient (R): 0.9937
Evt. 179   P.coefficient (R): 0.993578
Evt. 180   P.coefficient (R): 0.993706
Evt. 181   P.coefficient (R): 0.993755
Evt. 182   P.coefficient (R): 0.994048
Evt. 183   P.coefficient (R): 0.993852
Evt. 184   P.coefficient (R): 0.993929
Evt. 185   P.coefficient (R): 0.993417
Evt. 186   P.coefficient (R): 0.993496
Evt. 187   P.coefficient (R): 0.993649
Evt. 188   P.coefficient (R): 0.993576
Evt. 189   P.coefficient (R): 0.993488
Evt. 190   P.coefficient (R): 0.993571
Evt. 191   P.coefficient (R): 0.993713
Evt. 192   P.coefficient (R): 0.993543
Evt. 193   P.coefficient (R): 0.993887
Evt. 194   P.coefficient (R): 0.994331
Evt. 195   P.coefficient (R): 0.993765
Evt. 196   P.coefficient (R): 0.99395
Evt. 197   P.coefficient (R): 0.993555
Evt. 198   P.coefficient (R): 0.993754
Evt. 199   P.coefficient (R): 0.993402
Evt. 200   P.coefficient (R): 0.994286
Evt. 201   P.coefficient (R): 0.993861
Evt. 202   P.coefficient (R): 0.993488
Evt. 203   P.coefficient (R): 0.994075
Evt. 204   P.coefficient (R): 0.99349
Evt. 205   P.coefficient (R): 0.993967
Evt. 206   P.coefficient (R): 0.994103
Evt. 207   P.coefficient (R): 0.993307
Evt. 208   P.coefficient (R): 0.994093
Evt. 209   P.coefficient (R): 0.994174
Evt. 210   P.coefficient (R): 0.994111
Evt. 211   P.coefficient (R): 0.99338
Evt. 212   P.coefficient (R): 0.994222
Evt. 213   P.coefficient (R): 0.993653
Evt. 214   P.coefficient (R): 0.99361
Evt. 215   P.coefficient (R): 0.989084
Evt. 216   P.coefficient (R): 0.99407
Evt. 217   P.coefficient (R): 0.993941
Evt. 218   P.coefficient (R): 0.99366
Evt. 219   P.coefficient (R): 0.993299
Evt. 220   P.coefficient (R): 0.993635
Evt. 221   P.coefficient (R): 0.993432
Evt. 222   P.coefficient (R): 0.993649
Evt. 223   P.coefficient (R): 0.993912
Evt. 224   P.coefficient (R): 0.993198
Evt. 225   P.coefficient (R): 0.993979
Evt. 226   P.coefficient (R): 0.993835
Evt. 227   P.coefficient (R): 0.99384
Evt. 228   P.coefficient (R): 0.994112
Evt. 229   P.coefficient (R): 0.993881
Evt. 230   P.coefficient (R): 0.993543
Evt. 231   P.coefficient (R): 0.994027
Evt. 232   P.coefficient (R): 0.993487
Evt. 233   P.coefficient (R): 0.993762
Evt. 234   P.coefficient (R): 0.993964
Evt. 235   P.coefficient (R): 0.993613
Evt. 236   P.coefficient (R): 0.993959
Evt. 237   P.coefficient (R): 0.993813
Evt. 238   P.coefficient (R): 0.994275
Evt. 239   P.coefficient (R): 0.993524
Evt. 240   P.coefficient (R): 0.99408
Evt. 241   P.coefficient (R): 0.99341
Evt. 242   P.coefficient (R): 0.993697
Evt. 243   P.coefficient (R): 0.993943
Evt. 244   P.coefficient (R): 0.993875
Evt. 245   P.coefficient (R): 0.994163
Evt. 246   P.coefficient (R): 0.993568
Evt. 247   P.coefficient (R): 0.993893
Evt. 248   P.coefficient (R): 0.992582
Evt. 249   P.coefficient (R): 0.993915
Evt. 250   P.coefficient (R): 0.98981
Evt. 251   P.coefficient (R): 0.993631
Evt. 252   P.coefficient (R): 0.993652
Evt. 253   P.coefficient (R): 0.994331
Evt. 254   P.coefficient (R): 0.993602
Evt. 255   P.coefficient (R): 0.993518
Evt. 256   P.coefficient (R): 0.993825
Evt. 257   P.coefficient (R): 0.993464
Evt. 258   P.coefficient (R): 0.993226
Evt. 259   P.coefficient (R): 0.993397
