************ Run 65_12C - pearson coefficient ***********
Evt. 0   P.coefficient (R): 0.990606
Evt. 1   P.coefficient (R): 0.989753
Evt. 2   P.coefficient (R): 0.989879
Evt. 3   P.coefficient (R): 0.99082
Evt. 4   P.coefficient (R): 0.989957
Evt. 5   P.coefficient (R): 0.990645
Evt. 6   P.coefficient (R): 0.991692
Evt. 7   P.coefficient (R): 0.99134
Evt. 8   P.coefficient (R): 0.990703
Evt. 9   P.coefficient (R): 0.990068
Evt. 10   P.coefficient (R): 0.990827
Evt. 11   P.coefficient (R): 0.990102
Evt. 12   P.coefficient (R): 0.990026
Evt. 13   P.coefficient (R): 0.99059
Evt. 14   P.coefficient (R): 0.989788
Evt. 15   P.coefficient (R): 0.99023
Evt. 16   P.coefficient (R): 0.990278
Evt. 17   P.coefficient (R): 0.988383
Evt. 18   P.coefficient (R): 0.991074
Evt. 19   P.coefficient (R): 0.990892
Evt. 20   P.coefficient (R): 0.990943
Evt. 21   P.coefficient (R): 0.991027
Evt. 22   P.coefficient (R): 0.990061
Evt. 23   P.coefficient (R): 0.990867
Evt. 24   P.coefficient (R): 0.990644
Evt. 25   P.coefficient (R): 0.990187
Evt. 26   P.coefficient (R): 0.99111
Evt. 27   P.coefficient (R): 0.990218
Evt. 28   P.coefficient (R): 0.990899
Evt. 29   P.coefficient (R): 0.989663
Evt. 30   P.coefficient (R): 0.990643
Evt. 31   P.coefficient (R): 0.990494
Evt. 32   P.coefficient (R): 0.98786
Evt. 33   P.coefficient (R): 0.991223
Evt. 34   P.coefficient (R): 0.99037
Evt. 35   P.coefficient (R): 0.991116
Evt. 36   P.coefficient (R): 0.991504
Evt. 37   P.coefficient (R): 0.990933
Evt. 38   P.coefficient (R): 0.991635
Evt. 39   P.coefficient (R): 0.991715
Evt. 40   P.coefficient (R): 0.991434
Evt. 41   P.coefficient (R): 0.991292
Evt. 42   P.coefficient (R): 0.99086
Evt. 43   P.coefficient (R): 0.990101
Evt. 44   P.coefficient (R): 0.990584
Evt. 45   P.coefficient (R): 0.990491
Evt. 46   P.coefficient (R): 0.991089
Evt. 47   P.coefficient (R): 0.991093
Evt. 48   P.coefficient (R): 0.991172
Evt. 49   P.coefficient (R): 0.988513
Evt. 50   P.coefficient (R): 0.991216
Evt. 51   P.coefficient (R): 0.991872
Evt. 52   P.coefficient (R): 0.990182
Evt. 53   P.coefficient (R): 0.990386
Evt. 54   P.coefficient (R): 0.990635
Evt. 55   P.coefficient (R): 0.990592
Evt. 56   P.coefficient (R): 0.990313
Evt. 57   P.coefficient (R): 0.990998
Evt. 58   P.coefficient (R): 0.991206
Evt. 59   P.coefficient (R): 0.990883
Evt. 60   P.coefficient (R): 0.991129
Evt. 61   P.coefficient (R): 0.991059
Evt. 62   P.coefficient (R): 0.99165
Evt. 63   P.coefficient (R): 0.991967
Evt. 64   P.coefficient (R): 0.990803
Evt. 65   P.coefficient (R): 0.990483
Evt. 66   P.coefficient (R): 0.991193
Evt. 67   P.coefficient (R): 0.990952
Evt. 68   P.coefficient (R): 0.990309
Evt. 69   P.coefficient (R): 0.990706
Evt. 70   P.coefficient (R): 0.990597
Evt. 71   P.coefficient (R): 0.990603
Evt. 72   P.coefficient (R): 0.990725
Evt. 73   P.coefficient (R): 0.991306
Evt. 74   P.coefficient (R): 0.990101
Evt. 75   P.coefficient (R): 0.990765
Evt. 76   P.coefficient (R): 0.990308
Evt. 77   P.coefficient (R): 0.991111
Evt. 78   P.coefficient (R): 0.990382
Evt. 79   P.coefficient (R): 0.991782
Evt. 80   P.coefficient (R): 0.991101
Evt. 81   P.coefficient (R): 0.991226
Evt. 82   P.coefficient (R): 0.99131
Evt. 83   P.coefficient (R): 0.991419
Evt. 84   P.coefficient (R): 0.991541
Evt. 85   P.coefficient (R): 0.991759
Evt. 86   P.coefficient (R): 0.992081
Evt. 87   P.coefficient (R): 0.991654
Evt. 88   P.coefficient (R): 0.9914
Evt. 89   P.coefficient (R): 0.991347
Evt. 90   P.coefficient (R): 0.991493
Evt. 91   P.coefficient (R): 0.991551
Evt. 92   P.coefficient (R): 0.991503
Evt. 93   P.coefficient (R): 0.990958
Evt. 94   P.coefficient (R): 0.991162
Evt. 95   P.coefficient (R): 0.990827
Evt. 96   P.coefficient (R): 0.990428
Evt. 97   P.coefficient (R): 0.9908
Evt. 98   P.coefficient (R): 0.991037
Evt. 99   P.coefficient (R): 0.990859
Evt. 100   P.coefficient (R): 0.991256
Evt. 101   P.coefficient (R): 0.99056
Evt. 102   P.coefficient (R): 0.99153
Evt. 103   P.coefficient (R): 0.991069
Evt. 104   P.coefficient (R): 0.990847
Evt. 105   P.coefficient (R): 0.990297
Evt. 106   P.coefficient (R): 0.991127
Evt. 107   P.coefficient (R): 0.990672
Evt. 108   P.coefficient (R): 0.991705
Evt. 109   P.coefficient (R): 0.990486
Evt. 110   P.coefficient (R): 0.991217
Evt. 111   P.coefficient (R): 0.990896
Evt. 112   P.coefficient (R): 0.991084
Evt. 113   P.coefficient (R): 0.990682
Evt. 114   P.coefficient (R): 0.990977
Evt. 115   P.coefficient (R): 0.991034
Evt. 116   P.coefficient (R): 0.991063
Evt. 117   P.coefficient (R): 0.990139
Evt. 118   P.coefficient (R): 0.990348
Evt. 119   P.coefficient (R): 0.991077
Evt. 120   P.coefficient (R): 0.991062
Evt. 121   P.coefficient (R): 0.99063
Evt. 122   P.coefficient (R): 0.990191
Evt. 123   P.coefficient (R): 0.990817
Evt. 124   P.coefficient (R): 0.991301
Evt. 125   P.coefficient (R): 0.991193
