============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space+Tr. ROW 0+Tr.( 190. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 .2349541E+08   1906000E+03  .1131E+07  .5455E+06   .9999980  .0018427  .0007669
T    2  3 .2347002E+08   1906000E+03  .1050E+07  .1301E+07   .9999916 -.0000360  .0040977
T    3  3 .2347907E+08   1906000E+03  .2682E+06  .1316E+07   .9999995  .0007856  .0005574
T    4  3 .2352534E+08   1906000E+03  .1061E+06  .7498E+06   .9999999 -.0005097  .0000064
T    5  3 .2348131E+08   1906000E+03  .1700E+06 -.1596E+06   .9999994 -.0010519  .0002800
T    6  3 .2347285E+08   1906000E+03 -.6866E+05  .4152E+06   .9999988  .0008863  .0012717
T    7  3 .2349454E+08   1906000E+03 -.2780E+07  .1583E+07   .9999980 -.0018558  .0006956
T    8  3 .2350101E+08   1906000E+03  .1927E+07  .1968E+07   .9999954  .0019687  .0022935
T    9  3 .2347973E+08   1906000E+03 -.2253E+07 -.2164E+06   .9999960 -.0023383  .0016128
T   10  3 .2347545E+08   1906000E+03  .1167E+07 -.7180E+06   .9999995  .0008977 -.0004582
T   11  3 .2354023E+08   1906000E+03 -.3704E+06  .1276E+06   .9999999  .0003226  .0003838
T   12  3 .2346746E+08   1906000E+03  .1530E+07 -.4177E+05   .9999995  .0008569 -.0005857
T   13  3 .2349397E+08   1906000E+03 -.1171E+07  .3124E+07   .9999970 -.0013386  .0020611
T   14  3 .2351184E+08   1906000E+03 -.6455E+06 -.1850E+07   .9999976 -.0003702 -.0021530
T   15  3 .2350186E+08   1906000E+03 -.1458E+06 -.1143E+07   .9999998  .0005550 -.0002331
T   16  3 .2352361E+08   1906000E+03  .1616E+07  .4901E+06   .9999986  .0016251 -.0003419
T   17  3 .2351815E+08   1906000E+03 -.9047E+06 -.7929E+06   .9999992 -.0002995 -.0012102
T   18  3 .2351811E+08   1906000E+03  .3654E+06  .1120E+07   .9999930  .0035287  .0012716
T   19  3 .2350964E+08   1906000E+03  .6427E+06 -.3856E+06   .9999978  .0015053 -.0014672
T   20  3 .2345272E+08   1906000E+03 -.2907E+07 -.1522E+07   .9999971 -.0023904  .0001660
T   21  3 .2348907E+08   1906000E+03 -.3580E+06  .9498E+06   .9999996  .0005608  .0007146
T   22  3 .2348403E+08   1906000E+03 -.4821E+06 -.8022E+06   .9999989 -.0003099 -.0014563
T   23  3 .2353079E+08   1906000E+03 -.4746E+06 -.4877E+06   .9999995  .0005388  .0008468
T   24  3 .2352242E+08   1906000E+03 -.1138E+07  .9802E+06   .9999996 -.0005415  .0006573
T   25  3 .2353605E+08   1906000E+03  .1639E+07  .8065E+06   .9999988  .0011255  .0011042
T   26  3 .2352418E+08   1906000E+03 -.2189E+07  .9118E+06   .9999938 -.0024193  .0025726
T   27  3 .2352382E+08   1906000E+03  .1997E+07 -.2262E+06   .9999990  .0013883  .0003386
T   28  3 .2351980E+08   1906000E+03  .1731E+07  .1588E+07   .9999990  .0006403  .0012443
T   29  3 .2348727E+08   1906000E+03  .2242E+06  .4212E+06   .9999997 -.0003471  .0006209
T   30  3 .2344452E+08   1906000E+03 -.3477E+06 -.6678E+06   .9999998  .0003079 -.0005658
T   31  3 .2353244E+08   1906000E+03  .1090E+07  .1692E+07   .9999957  .0011011  .0027130
T   32  3 .2351396E+08   1906000E+03 -.9227E+05  .5795E+05   .9999999  .0002504  .0003731
T   33  3 .2351519E+08   1906000E+03 -.4182E+06  .2697E+07   .9999980 -.0000998  .0019819
T   34  3 .2347365E+08   1906000E+03  .8128E+06  .5294E+06   .9999999  .0003822 -.0002935
T   35  3 .2349770E+08   1906000E+03  .1563E+07  .9497E+05   .9999993  .0011637  .0001230
T   36  3 .2347299E+08   1906000E+03  .8603E+06 -.3349E+06   .9999993 -.0000645 -.0012150
T   37  3 .2348108E+08   1906000E+03 -.1807E+06  .1197E+06   .9999999 -.0004939  .0001844
T   38  3 .2350514E+08   1906000E+03  .2940E+06  .1756E+07   .9999975  .0011735  .0018927
T   39  3 .2348061E+08   1906000E+03  .8849E+06  .4132E+06   .9999999  .0002224  .0003687
T   40  3 .2352086E+08   1906000E+03  .2289E+06 -.2334E+07   .9999985  .0005987 -.0016441
T   41  3 .2348397E+08   1906000E+03  .1626E+06 -.1488E+07   .9999992  .0004263 -.0011871
T   42  3 .2352795E+08   1906000E+03  .1048E+07 -.9413E+06   .9999980  .0020090 -.0000760
T   43  3 .2348457E+08   1906000E+03  .8912E+05 -.8144E+05   .9999999 -.0004288  .0002071
T   44  3 .2347904E+08   1906000E+03 -.1402E+07 -.2011E+06   .9999996 -.0008099 -.0004279
T   45  3 .2349983E+08   1906000E+03  .7076E+06 -.8328E+06   .9999992 -.0011591 -.0005014
T   46  3 .2351966E+08   1906000E+03  .3699E+06 -.8526E+06   .9999998 -.0004204 -.0005188
T   47  3 .2350042E+08   1906000E+03  .9026E+06 -.2308E+07   .9999978  .0001760 -.0020707
T   48  3 .2349388E+08   1906000E+03 -.1802E+07 -.9505E+05   .9999987 -.0013725  .0007996
T   49  3 .2347924E+08   1906000E+03  .1184E+07 -.1082E+06   .9999986  .0015564  .0006821
T   50  3 .2352051E+08   1906000E+03  .5058E+06 -.1521E+07   .9999982  .0003752 -.0018853
T   51  3 .2351381E+08   1906000E+03  .6478E+06 -.2348E+06   .9999997  .0000661 -.0008272
T   52  3 .2346731E+08   1906000E+03 -.3177E+06  .9659E+06   .9999991 -.0010232  .0009128
T   53  3 .2347055E+08   1906000E+03 -.6649E+06 -.1103E+07   .9999966 -.0023614 -.0010850
T   54  3 .2352803E+08   1906000E+03 -.7207E+06  .7668E+06   .9999994 -.0005645  .0009866
T   55  3 .2350709E+08   1906000E+03  .8104E+06 -.6254E+05   .9999997  .0007931  .0001616
T   56  3 .2351848E+08   1906000E+03  .1011E+07 -.1434E+07   .9999994  .0006801 -.0008826
T   57  3 .2349756E+08   1906000E+03 -.2663E+05 -.1825E+07   .9999965 -.0001029 -.0026496
T   58  3 .2347399E+08   1906000E+03 -.6445E+06 -.1725E+07   .9999989 -.0003306 -.0014270
T   59  3 .2351302E+08   1906000E+03 -.7874E+06  .2102E+06   .9999999 -.0001977 -.0001984
T   60  3 .2346633E+08   1906000E+03  .9897E+06 -.1608E+07   .9999998  .0000735 -.0006757
T   61  3 .2345783E+08   1906000E+03  .1469E+05  .2693E+06   .9999995 -.0004438  .0008900
T   62  3 .2347122E+08   1906000E+03  .9361E+06  .2063E+07   .9999983  .0004028  .0018209
T   63  3 .2351286E+08   1906000E+03 -.3154E+06  .9784E+05   .9999996 -.0008673 -.0002877
T   64  3 .2347394E+08   1906000E+03  .2534E+07 -.1672E+06   .9999966  .0025350  .0005537
T   65  3 .2349956E+08   1906000E+03  .2862E+07 -.1891E+08   .9998752  .0032944 -.0154492
