============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space( 190. mm) =======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 ,6104984E+08   1906000E+03  ,2327E+06  ,1418E+07   ,9999995  ,0003398  ,0009328
T    2  8 ,6103022E+08   1906000E+03 -,1392E+06 -,5539E+05   ,9999995 -,0006868 -,0006631
T    3  8 ,6110220E+08   1906000E+03 -,1344E+07  ,5147E+06   ,9999972 -,0021872 -,0008625
T    4  8 ,6114317E+08   1906000E+03 -,3352E+07 -,2397E+07   ,9999941 -,0032139 -,0012032
T    5  8 ,6110848E+08   1906000E+03 -,1896E+05  ,9528E+06   ,9999993  ,0001083  ,0012000
T    6  8 ,6120382E+08   1906000E+03 -,1908E+07  ,2929E+06   ,9999984 -,0016964  ,0006136
T    7  8 ,6114112E+08   1906000E+03 -,8749E+06  ,1150E+06   ,9999989  ,0000977 -,0014746
T    8  8 ,6111291E+08   1906000E+03 -,4885E+06  ,4732E+05   ,9999980 -,0007975  ,0018251
T    9  8 ,6105559E+08   1906000E+03  ,2717E+06 -,2583E+07   ,9999987 -,0001094 -,0015806
T   10  8 ,6092544E+08   1906000E+03 -,2491E+07  ,5464E+06   ,9999973 -,0022810  ,0004761
T   11  8 ,6104508E+08   1906000E+03 -,1032E+07  ,1142E+06   ,9999964 -,0018293  ,0019507
T   12  8 ,6113021E+08   1906000E+03 -,2476E+06  ,6657E+05   ,9999994 -,0002024  ,0010367
T   13  8 ,6101510E+08   1906000E+03 -,2833E+07 -,1591E+07   ,9999991 -,0013180 -,0003749
T   14  8 ,6105071E+08   1906000E+03  ,2353E+07 -,8711E+06   ,9999959  ,0023332 -,0016411
T   15  8 ,6107619E+08   1906000E+03 -,4404E+06  ,7113E+05   ,9999986  ,0002581  ,0016633
T   16  8 ,6105669E+08   1906000E+03  ,7024E+06  ,4185E+07   ,9999971 -,0011930  ,0020900
T   17  8 ,6109199E+08   1906000E+03 -,4914E+06  ,3707E+06   ,9999989  ,0000256  ,0014773
T   18  8 ,6109309E+08   1906000E+03  ,4994E+06 -,2274E+06   ,9999999 -,0001917 -,0001398
T   19  8 ,6103328E+08   1906000E+03 -,1485E+06 -,1077E+07   ,9999998  ,0000392 -,0006751
T   20  8 ,6109228E+08   1906000E+03 -,5523E+06 -,4107E+06   ,9999992 -,0003231 -,0012549
T   21  8 ,6107170E+08   1906000E+03  ,2212E+07  ,8716E+06   ,9999987  ,0015389  ,0004896
T   22  8 ,6109851E+08   1906000E+03  ,3155E+07 -,1520E+07   ,9999953  ,0024427 -,0018472
T   23  8 ,6106668E+08   1906000E+03  ,1531E+08 -,2348E+07   ,9998648  ,0163956 -,0012879
T   24  8 ,6111105E+08   1906000E+03 -,4566E+06 -,3034E+07   ,9999942 -,0001694 -,0034069
T   25  8 ,6105154E+08   1906000E+03  ,1952E+07 -,1150E+07   ,9999979  ,0016702 -,0012080
T   26  8 ,6096779E+08   1906000E+03 -,2851E+06  ,2910E+06   ,9999994  ,0010815 -,0001429
T   27  8 ,6113981E+08   1906000E+03 -,1415E+07 -,1658E+07   ,9999986 -,0012892 -,0010353
T   28  8 ,6107027E+08   1906000E+03  ,5262E+06  ,4498E+06   ,9999998  ,0005622 -,0001185
T   29  8 ,6105193E+08   1906000E+03 -,1491E+07 -,7881E+06   ,9999980 -,0019380 -,0004963
T   30  8 ,6112293E+08   1906000E+03  ,4291E+06 -,1266E+07   ,9999962 -,0009917 -,0025870
T   31  8 ,6109740E+08   1906000E+03  ,7162E+05 -,6267E+06   ,9999997  ,0004136 -,0006856
T   32  8 ,6102860E+08   1906000E+03 -,4980E+07 -,4453E+07   ,9999822 -,0044891 -,0039347
T   33  8 ,6101064E+08   1906000E+03 -,3707E+06 -,7399E+06   ,9999994  ,0006684 -,0008482
T   34  8 ,6102456E+08   1906000E+03  ,2364E+07 -,5171E+07   ,9999824  ,0029028 -,0051668
T   35  8 ,6101134E+08   1906000E+03 -,1259E+07  ,6393E+06   ,9999998 -,0000725  ,0006666
T   36  8 ,6097691E+08   1906000E+03 -,4379E+06 -,2100E+06   ,9999991 -,0010821 -,0007990
T   37  8 ,6102507E+08   1906000E+03  ,8731E+06 -,3309E+07   ,9999977  ,0007704 -,0020035
T   38  8 ,6102211E+08   1906000E+03  ,1910E+07  ,8033E+06   ,9999988  ,0013937  ,0007073
T   39  8 ,6115388E+08   1906000E+03 -,7525E+06 -,1509E+06   ,9999999  ,0000586  ,0001327
T   40  8 ,6102941E+08   1906000E+03 -,7878E+06  ,3505E+06   ,9999998 -,0005981  ,0003764
T   41  8 ,6111110E+08   1906000E+03  ,2042E+07 -,8306E+06   ,9999966  ,0022346 -,0013785
T   42  8 ,6115019E+08   1906000E+03 -,1155E+07  ,2756E+06   ,9999980 -,0019035  ,0005302
T   43  8 ,6102959E+08   1906000E+03  ,2281E+07 -,7706E+06   ,9999992  ,0009426 -,0008382
T   44  8 ,6111728E+08   1906000E+03 -,1968E+06  ,7182E+06   ,9999997 -,0006216  ,0004614
T   45  8 ,6110623E+08   1906000E+03 -,5701E+06 -,1421E+07   ,9999986  ,0001829 -,0016868
T   46  8 ,6112950E+08   1906000E+03 -,2698E+06 -,2004E+07   ,9999999 -,0000736 -,0003910
T   47  8 ,6106270E+08   1906000E+03 -,6945E+06  ,1110E+07   ,9999993 -,0006397  ,0010170
T   48  8 ,6110725E+08   1906000E+03  ,4741E+06  ,6444E+06   ,9999997  ,0007348 -,0001653
T   49  8 ,6100099E+08   1906000E+03 -,8952E+07  ,4254E+07   ,9999550 -,0085516  ,0040986
T   50  8 ,6112349E+08   1906000E+03 -,2138E+07  ,2204E+06   ,9999972 -,0023337  ,0002947
T   51  8 ,6106822E+08   1906000E+03 -,7900E+06  ,1191E+07   ,9999967 -,0011688  ,0022660
T   52  8 ,6108472E+08   1906000E+03  ,4738E+06 -,7157E+06   ,9999993 -,0011803 -,0002662
T   53  8 ,6102696E+08   1906000E+03 -,1049E+07  ,4600E+06   ,9999995 -,0006715  ,0007891
T   54  8 ,6114070E+08   1906000E+03  ,7348E+06  ,1690E+07   ,9999992  ,0000929  ,0012654
T   55  8 ,6104011E+08   1906000E+03  ,1158E+07  ,1926E+07   ,9999997  ,0004546  ,0006361
T   56  8 ,6113053E+08   1906000E+03  ,9923E+06  ,6965E+06   ,9999998  ,0006235  ,0000043
T   57  8 ,6104001E+08   1906000E+03 -,1541E+07 -,1322E+07   ,9999982 -,0017362  ,0007807
T   58  8 ,6103057E+08   1906000E+03  ,4632E+07 -,1096E+07   ,9999933  ,0035563 -,0008286
T   59  8 ,6113130E+08   1906000E+03  ,3078E+07 -,7477E+07   ,9999857  ,0009131 -,0052775
T   60  8 ,6102135E+08   1906000E+03 -,4656E+06 -,7625E+06   ,9999998  ,0001907 -,0006133
T   61  8 ,6108767E+08   1906000E+03  ,1144E+07 -,9009E+06   ,9999989  ,0013362 -,0005711
T   62  8 ,6116156E+08   1906000E+03 -,2475E+07 -,5848E+07   ,9999929 -,0011609 -,0035828
T   63  8 ,6113557E+08   1906000E+03  ,6230E+06  ,1659E+06   ,9999986  ,0011233  ,0012170
T   64  8 ,6107407E+08   1906000E+03  ,1921E+07 -,6469E+06   ,9999991  ,0012358  ,0004822
T   65  8 ,6106434E+08   1906000E+03 -,1278E+07  ,1983E+06   ,9999987 -,0008401 -,0013890
T   66  8 ,6115176E+08   1906000E+03  ,1414E+07  ,1891E+05   ,9999991  ,0012604  ,0003350
T   67  8 ,6105005E+08   1906000E+03  ,1342E+06  ,7344E+06   ,9999947 -,0012586 -,0029920
T   68  8 ,6110661E+08   1906000E+03 -,6926E+06  ,8577E+06   ,9999997 -,0000539  ,0008148
T   69  8 ,6114382E+08   1906000E+03 -,7223E+06 -,7695E+06   ,9999990 -,0003808  ,0013641
T   70  8 ,6106766E+08   1906000E+03 -,5412E+04  ,1131E+07   ,9999975 -,0002581  ,0022195
T   71  8 ,6103874E+08   1906000E+03  ,5409E+06  ,1851E+07   ,9999984  ,0001693  ,0017769
T   72  8 ,6113010E+08   1906000E+03 -,1745E+07 -,4735E+07   ,9999717 -,0035418 -,0066364
T   73  8 ,6098571E+08   1906000E+03 -,2505E+07  ,2472E+07   ,9999956 -,0021961  ,0019825
T   74  8 ,6105080E+08   1906000E+03 -,8435E+06 -,8016E+06   ,9999997 -,0006427 -,0004000
T   75  8 ,6122272E+08   1906000E+03 -,6836E+06  ,2789E+07   ,9999947 -,0012408  ,0030040
T   76  8 ,6101885E+08   1906000E+03 -,3799E+06 -,7147E+06   ,9999999 -,0004024 -,0001720
T   77  8 ,6110226E+08   1906000E+03  ,3155E+07 -,1262E+07   ,9999986  ,0013392 -,0010226
T   78  8 ,6117456E+08   1906000E+03 -,5545E+06  ,2381E+07   ,9999991 -,0007953  ,0011076
T   79  8 ,6102856E+08   1906000E+03  ,9262E+05  ,8202E+06   ,9999987 -,0007478  ,0014627
T   80  8 ,6101487E+08   1906000E+03  ,7000E+05  ,1050E+07   ,9999990  ,0006307  ,0012305
T   81  8 ,6120806E+08   1906000E+03  ,2270E+06 -,2225E+05   ,9999997 -,0007288 -,0000668
T   82  8 ,6108292E+08   1906000E+03 -,4009E+07 -,5827E+06   ,9999916 -,0040698  ,0004368
T   83  8 ,6111984E+08   1906000E+03 -,4178E+06  ,1124E+07   ,9999996 -,0003120  ,0007967
T   84  8 ,6106191E+08   1906000E+03 -,8933E+06  ,3979E+06   ,9999997 -,0006911 -,0003064
T   85  8 ,6115892E+08   1906000E+03  ,2185E+06 -,3253E+07   ,9999949 -,0000982 -,0031836
T   86  8 ,6116680E+08   1906000E+03  ,3295E+06  ,6158E+06   ,9999986  ,0005642  ,0015493
T   87  8 ,6118036E+08   1906000E+03 -,1327E+06 -,9264E+06   ,9999997  ,0003021 -,0006977
T   88  8 ,6104372E+08   1906000E+03  ,1725E+07 -,6722E+06   ,9999976  ,0017097 -,0013388
T   89  8 ,6107987E+08   1906000E+03  ,3150E+07  ,1320E+07   ,9999991  ,0013086  ,0001545
T   90  8 ,6111784E+08   1906000E+03 -,1332E+07 -,9761E+06   ,9999997 -,0007895 -,0002129
