============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space+Tr. ROW 0+Tr.( 310. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 ,5916221E+08   3106000E+03 -,5735E+06  ,3423E+07   ,9999984 -,0007616  ,0016430
T    2  8 ,5931185E+08   3106000E+03  ,3361E+06 -,4011E+07   ,9999979  ,0001327 -,0020480
T    3  8 ,5922029E+08   3106000E+03 -,1143E+07  ,5250E+06   ,9999968  ,0013063  ,0021719
T    4  8 ,5913718E+08   3106000E+03  ,5187E+06  ,2808E+07   ,9999985 -,0010203  ,0013895
T    5  8 ,5925051E+08   3106000E+03 -,9709E+06 -,5729E+07   ,9999909 -,0008810 -,0041702
T    6  8 ,5917927E+08   3106000E+03  ,2157E+07 -,2960E+07   ,9999977  ,0009655 -,0018960
T    7  8 ,5917482E+08   3106000E+03 -,9861E+04 -,2223E+07   ,9999995 -,0002565 -,0009885
T    8  8 ,5908643E+08   3106000E+03  ,4900E+07 -,2188E+07   ,9999952  ,0027808 -,0013871
T    9  8 ,5914546E+08   3106000E+03 -,2109E+07 -,8109E+06   ,9999984  ,0005241 -,0017028
T   10  8 ,5902830E+08   3106000E+03  ,8222E+05  ,1267E+07   ,9999990 -,0010395  ,0009875
T   11  8 ,5925933E+08   3106000E+03  ,1406E+07  ,1976E+07   ,9999983  ,0007735  ,0016523
T   12  8 ,5915839E+08   3106000E+03  ,3580E+07  ,1134E+07   ,9999990  ,0011296 -,0008922
T   13  8 ,5918664E+08   3106000E+03  ,1834E+07  ,7064E+05   ,9999981  ,0017778  ,0008101
T   14  8 ,5921598E+08   3106000E+03  ,6443E+07 -,1474E+07   ,9999966  ,0021402 -,0014671
T   15  8 ,5919363E+08   3106000E+03  ,1964E+07  ,3024E+07   ,9999961  ,0012521  ,0025159
T   16  8 ,5916794E+08   3106000E+03  ,2458E+07  ,5544E+07   ,9999935  ,0016481  ,0032048
T   17  8 ,5913696E+08   3106000E+03  ,4573E+07 -,3671E+07   ,9999931  ,0032165 -,0018717
T   18  8 ,5917956E+08   3106000E+03  ,8313E+06 -,9826E+06   ,9999990  ,0000050 -,0014389
T   19  8 ,5916619E+08   3106000E+03  ,1875E+07  ,1734E+07   ,9999993  ,0011557 -,0000003
T   20  8 ,5919269E+08   3106000E+03 -,4722E+07  ,5599E+07   ,9999984 -,0005221  ,0017086
T   21  8 ,5920979E+08   3106000E+03  ,1178E+07  ,1676E+07   ,9999992  ,0012879 -,0001466
T   22  8 ,5916088E+08   3106000E+03  ,1674E+07 -,6470E+07   ,9999940 -,0000444 -,0034714
T   23  8 ,5927661E+08   3106000E+03 -,4142E+06  ,4047E+07   ,9999971  ,0013733  ,0019819
T   24  8 ,5923404E+08   3106000E+03 -,9404E+04  ,3358E+07   ,9999985 -,0004430  ,0016729
T   25  8 ,5911344E+08   3106000E+03 -,8471E+06 -,1489E+07   ,9999999 -,0004343 -,0002289
