============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Au absorber+Ni4Si3 windo( 305. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  8 .5771518E+08   3056018E+03 -.3239E+07 -.2849E+07   .9999947 -.0017615 -.0027219
T   55  8 .5773858E+08   3056018E+03  .2667E+07 -.6650E+07   .9999964  .0011843 -.0024079
T   56  8 .5758051E+08   3056018E+03 -.4280E+07 -.5401E+07   .9999967 -.0019429 -.0017064
T   57  8 .5774030E+08   3056018E+03  .4115E+07  .2813E+07   .9999985  .0010539  .0013501
T   58  8 .5770580E+08   3056018E+03  .1278E+07 -.2623E+07   .9999995  .0005707 -.0007818
T   59  8 .5761038E+08   3056018E+03 -.1691E+06 -.9365E+06   .9999998 -.0003702 -.0005207
T   60  8 .5746933E+08   3056018E+03 -.8177E+07  .2266E+07   .9999930 -.0033841  .0015878
T   61  8 .5762106E+08   3056018E+03 -.8715E+07  .4870E+07   .9999900 -.0028086  .0034938
T   62  8 .5761174E+08   3056018E+03  .1278E+08 -.2984E+08   .9999566  .0034740 -.0086502
T   63  8 .5770787E+08   3056018E+03  .5359E+07 -.4479E+07   .9999837  .0057083  .0002435
T   64  8 .5762378E+08   3056018E+03  .1319E+07 -.1121E+08   .9999921  .0005730 -.0039431
T   65  8 .5747367E+08   3056018E+03  .2700E+07 -.1534E+07   .9999999  .0004511 -.0001704
T   66  8 .5748220E+08   3056018E+03 -.1042E+08 -.1537E+07   .9999869 -.0042956 -.0027810
T   67  8 .5745459E+08   3056018E+03  .3587E+07  .2372E+07   .9999974  .0021564  .0007994
T   68  8 .5763656E+08   3056018E+03  .5960E+07 -.2674E+07   .9999971  .0018221 -.0015723
T   69  8 .5771414E+08   3056018E+03  .7001E+07  .9937E+06   .9999953  .0030523  .0003499
T   70  8 .5744460E+08   3056018E+03  .2099E+08  .8727E+07   .9999623  .0078784  .0036619
T   71  8 .5771155E+08   3056018E+03  .8193E+06  .5018E+07   .9999964 -.0007422  .0025627
T   72  8 .5765033E+08   3056018E+03 -.1579E+08 -.3087E+07   .9999866 -.0042388 -.0029578
T   73  8 .5752470E+08   3056018E+03  .2324E+07  .8072E+07   .9999927  .0012921  .0035957
T   74  8 .5748835E+08   3056018E+03  .1086E+08  .1083E+08   .9999876  .0025408  .0042760
T   75  8 .5751967E+08   3056018E+03  .1130E+08 -.6597E+06   .9999988  .0014857 -.0005097
T   76  8 .5745354E+08   3056018E+03  .3393E+07  .1040E+07   .9999986  .0015367  .0005909
T   77  8 .5762663E+08   3056018E+03 -.5221E+07  .3114E+07   .9999976 -.0018640  .0011151
T   78  8 .5757974E+08   3056018E+03  .1165E+08  .1251E+08   .9999823  .0053553  .0026045
T   79  8 .5754024E+08   3056018E+03  .7532E+06  .2895E+07   .9999980  .0009865  .0017591
T   80  8 .5755984E+08   3056018E+03 -.1037E+08 -.1940E+07   .9999927 -.0037423 -.0007200
T   81  8 .5759273E+08   3056018E+03  .6131E+07 -.1762E+08   .9999816  .0023135 -.0056075
T   82  8 .5765294E+08   3056018E+03  .6662E+06  .4913E+07   .9999998  .0004182  .0005227
T   83  8 .5767654E+08   3056018E+03  .2474E+06 -.4830E+07   .9999999 -.0002672 -.0004419
T   84  8 .5750509E+08   3056018E+03 -.5277E+06 -.4305E+07   .9999921 -.0035695 -.0017704
T   85  8 .5765670E+08   3056018E+03 -.3784E+07 -.6010E+07   .9999907 -.0026312 -.0034050
T   86  8 .5744510E+08   3056018E+03 -.9924E+07  .2424E+07   .9999923 -.0038780  .0005815
T   87  8 .5760271E+08   3056018E+03  .2748E+05  .6690E+07   .9999962 -.0007819  .0026329
T   88  8 .5756972E+08   3056018E+03  .6021E+07 -.2187E+08   .9999844  .0004862 -.0055581
T   89  8 .5759624E+08   3056018E+03  .4827E+07  .1293E+06   .9999957  .0027809  .0009233
T   90  8 .5758711E+08   3056018E+03  .1232E+08 -.2471E+07   .9999888  .0042468 -.0020792
T   91  8 .5778871E+08   3056018E+03 -.2082E+07  .8891E+05   .9999984 -.0017832  .0002901
T   92  8 .5766521E+08   3056018E+03 -.3170E+07  .4746E+07   .9999970 -.0006543  .0023676
T   93  8 .5764311E+08   3056018E+03 -.3014E+07  .2748E+07   .9999904 -.0030476  .0031471
T   94  8 .5744958E+08   3056018E+03 -.1169E+07 -.8943E+06   .9999510 -.0041391 -.0089943
T   95  8 .5754679E+08   3056018E+03 -.1009E+08  .1199E+06   .9999929 -.0036635 -.0009056
T   96  8 .5753498E+08   3056018E+03  .9639E+07  .1143E+08   .9999840  .0016677  .0053991
T   97  8 .5766831E+08   3056018E+03  .1954E+07 -.1153E+08   .9999926 -.0005917 -.0038113
T   98  8 .5745244E+08   3056018E+03  .2891E+08  .1097E+08   .9999369  .0107576  .0032347
T   99  8 .5745553E+08   3056018E+03  .1491E+07  .6763E+07   .9999968  .0014643  .0020525
T  100  8 .5760385E+08   3056018E+03  .5150E+07 -.3868E+06   .9999984  .0016827  .0006122
T  101  8 .5764093E+08   3056018E+03  .4467E+07 -.1202E+08   .9999921  .0033391 -.0021381
T  102  8 .5764805E+08   3056018E+03  .1197E+08  .2831E+07   .9999888  .0042840  .0020095
T  103  8 .5762289E+08   3056018E+03  .4800E+07  .5599E+07   .9999946  .0009451  .0031540
T  104  8 .5762782E+08   3056018E+03 -.6725E+07 -.7412E+06   .9999957 -.0020714 -.0020932
