============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Au absorber+Ni4Si3 windo( 305. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  6 .4080801E+08   3056018E+03 -.3323E+05 -.5024E+07   .9999875  .0001762 -.0050042
T   55  6 .4092260E+08   3056018E+03  .1336E+08 -.1952E+08   .9999533  .0063921 -.0072547
T   56  6 .4096060E+08   3056018E+03  .1440E+08 -.3198E+07   .9999844  .0055581  .0004617
T   57  6 .4089905E+08   3056018E+03 -.4084E+07 -.4114E+07   .9999970 -.0017754 -.0016746
T   58  6 .4107849E+08   3056018E+03 -.1408E+08 -.1032E+07   .9999797 -.0063648 -.0002210
T   59  6 .4097351E+08   3056018E+03 -.6687E+07 -.1300E+08   .9999806 -.0011084 -.0061255
T   60  6 .4094258E+08   3056018E+03 -.7988E+07 -.2100E+07   .9999903 -.0043246 -.0008828
T   61  6 .4093593E+08   3056018E+03 -.5102E+07 -.1228E+08   .9999676 -.0031587 -.0074048
T   62  6 .4090805E+08   3056018E+03 -.3807E+07 -.9849E+07   .9999987 -.0010340 -.0012646
T   63  6 .4087314E+08   3056018E+03 -.9454E+05 -.7507E+07   .9999996 -.0007627 -.0005473
T   64  6 .4091400E+08   3056018E+03 -.4124E+07 -.5116E+05   .9999961 -.0025488 -.0011169
T   65  6 .4094145E+08   3056018E+03  .1101E+08 -.5667E+07   .9999918  .0037440 -.0015560
T   66  6 .4082791E+08   3056018E+03  .1731E+07 -.2374E+07   .9999996  .0006069 -.0006237
T   67  6 .4086244E+08   3056018E+03  .6237E+07 -.4917E+06   .9999982  .0018659  .0003266
T   68  6 .4092590E+08   3056018E+03  .8388E+07 -.1439E+08   .9999610  .0036448 -.0080498
T   69  6 .4102184E+08   3056018E+03 -.5909E+07  .1343E+07   .9999943 -.0033047  .0006440
T   70  6 .4081514E+08   3056018E+03  .1560E+07 -.4836E+07   .9999997  .0006330 -.0004609
T   71  6 .4093056E+08   3056018E+03 -.2900E+07  .1338E+07   .9999998  .0001019  .0005713
T   72  6 .4086998E+08   3056018E+03  .5492E+07 -.1368E+08   .9999840  .0037793 -.0042044
T   73  6 .4098860E+08   3056018E+03  .8265E+07  .1844E+08   .9999686  .0018533  .0077079
T   74  6 .4094842E+08   3056018E+03  .4499E+07  .4049E+07   .9999992  .0012406  .0002236
T   75  6 .4090916E+08   3056018E+03 -.3719E+06 -.7199E+07   .9999945 -.0005188 -.0032877
T   76  6 .4095828E+08   3056018E+03  .1487E+08 -.1361E+06   .9999906  .0042184 -.0009815
T   77  6 .4099198E+08   3056018E+03  .4836E+07  .3196E+07   .9999821  .0046170  .0038065
T   78  6 .4099000E+08   3056018E+03  .3417E+07  .6227E+06   .9999950  .0029860  .0010066
T   79  6 .4100903E+08   3056018E+03  .4501E+06 -.5559E+07   .9999966  .0007198 -.0025194
T   80  6 .4099002E+08   3056018E+03  .3278E+07 -.8244E+07   .9998432 -.0086467 -.0154507
T   81  6 .4097777E+08   3056018E+03 -.1990E+07 -.3368E+07   .9999986 -.0006466 -.0015470
T   82  6 .4087909E+08   3056018E+03 -.6799E+07 -.5561E+07   .9999964 -.0025678 -.0008250
T   83  6 .4090317E+08   3056018E+03 -.1495E+07 -.2478E+06   .9999962  .0022347  .0016204
T   84  6 .4087871E+08   3056018E+03 -.2221E+07  .8595E+06   .9999989  .0005843  .0013791
T   85  6 .4095957E+08   3056018E+03 -.3044E+07 -.9250E+07   .9999906 -.0023253 -.0036562
T   86  6 .4091430E+08   3056018E+03  .1411E+07 -.6453E+07   .9999960  .0004537 -.0028024
T   87  6 .4098105E+08   3056018E+03 -.2109E+07  .5773E+07   .9999968  .0001225  .0025151
T   88  6 .4088676E+08   3056018E+03 -.1238E+08  .2143E+07   .9999864 -.0050642  .0012707
T   89  6 .4097241E+08   3056018E+03  .2281E+07 -.9595E+07   .9999957  .0020247 -.0021081
T   90  6 .4090771E+08   3056018E+03  .2574E+07  .4392E+07   .9999966  .0025348 -.0005334
T   91  6 .4102120E+08   3056018E+03 -.4514E+06  .4180E+07   .9999960 -.0027069  .0008395
T   92  6 .4102222E+08   3056018E+03  .4781E+07 -.6484E+06   .9999838  .0056591 -.0005420
T   93  6 .4105658E+08   3056018E+03 -.8616E+06 -.3205E+07   .9999990 -.0008399 -.0011033
T   94  6 .4092857E+08   3056018E+03  .4010E+07  .4813E+07   .9999974  .0015147  .0016862
T   95  6 .4094919E+08   3056018E+03 -.1200E+08 -.4497E+07   .9999842 -.0052785 -.0019278
T   96  6 .4100821E+08   3056018E+03 -.2403E+07 -.6885E+06   .9999976 -.0016642  .0013991
T   97  6 .4094016E+08   3056018E+03  .5706E+07  .2507E+07   .9999996  .0008891  .0000041
T   98  6 .4111831E+08   3056018E+03  .5450E+07 -.1821E+07   .9999997  .0007543 -.0000072
T   99  6 .4097953E+08   3056018E+03 -.3855E+07  .8430E+07   .9999891 -.0041815  .0020575
T  100  6 .4103820E+08   3056018E+03 -.2179E+08 -.1038E+06   .9999835 -.0057437  .0001103
T  101  6 .4095884E+08   3056018E+03 -.7886E+06  .8053E+07   .9999964 -.0013657  .0023126
T  102  6 .4088495E+08   3056018E+03 -.7479E+07 -.5510E+07   .9999961 -.0023818 -.0014682
T  103  6 .4106758E+08   3056018E+03 -.4217E+07 -.1130E+08   .9999907 -.0005830 -.0042730
T  104  6 .4096030E+08   3056018E+03 -.1957E+07 -.1555E+07   .9999998 -.0006318  .0002718
T  105  6 .4083735E+08   3056018E+03 -.4039E+07  .6903E+07   .9999956  .0012206  .0026914
T  106  6 .4097946E+08   3056018E+03 -.5424E+07 -.4857E+07   .9999945 -.0021224 -.0025340
T  107  6 .4095417E+08   3056018E+03 -.6735E+07  .4613E+07   .9999691 -.0078660  .0000150
T  108  6 .4093532E+08   3056018E+03 -.8353E+06 -.7540E+07   .9999978 -.0002773 -.0020643
T  109  6 .4084688E+08   3056018E+03 -.9324E+07 -.4161E+07   .9999937 -.0033120 -.0012387
T  110  6 .4090546E+08   3056018E+03 -.1437E+07 -.4057E+07   .9999953 -.0020048 -.0023170
T  111  6 .4103119E+08   3056018E+03 -.8692E+07  .9553E+07   .9999843 -.0042223  .0036918
T  112  6 .4094645E+08   3056018E+03  .3139E+07 -.6949E+07   .9999870  .0021006 -.0046514
T  113  6 .4080928E+08   3056018E+03 -.3022E+07  .4021E+07   .9999999 -.0003120  .0000307
T  114  6 .4090943E+08   3056018E+03 -.5045E+07 -.2536E+07   .9999984 -.0011067 -.0013772
T  115  6 .4091970E+08   3056018E+03 -.1325E+08 -.3184E+07   .9999888 -.0045719 -.0012385
T  116  6 .4089018E+08   3056018E+03  .3330E+07  .3506E+07   .9999993  .0011810  .0001556
T  117  6 .4093804E+08   3056018E+03  .1972E+07 -.5282E+06   .9999970  .0012882 -.0021005
T  118  6 .4081000E+08   3056018E+03  .1276E+08  .8628E+07   .9999944  .0028427  .0017865
T  119  6 .4085152E+08   3056018E+03  .1559E+08  .2336E+08   .9997107  .0154863  .0184010
T  120  6 .4092250E+08   3056018E+03 -.6504E+07 -.9573E+06   .9999929 -.0037231  .0005298
T  121  6 .4092664E+08   3056018E+03  .1562E+07 -.6121E+07   .9999972 -.0001593 -.0023608
T  122  6 .4094211E+08   3056018E+03  .4432E+07 -.1042E+08   .9999799  .0035657 -.0052415
T  123  6 .4097434E+08   3056018E+03 -.2915E+07  .8022E+07   .9999916 -.0009706  .0039927
T  124  6 .4090147E+08   3056018E+03  .3577E+07 -.1577E+07   .9999999  .0002493 -.0003656
T  125  6 .4082711E+08   3056018E+03 -.2938E+07 -.9931E+07   .9999899 -.0005907 -.0044657
T  126  6 .4101955E+08   3056018E+03 -.2608E+07  .9452E+07   .9999850  .0003102  .0054772
T  127  6 .4103171E+08   3056018E+03  .2523E+07 -.7952E+07   .9999901  .0008728 -.0043663
T  128  6 .4091973E+08   3056018E+03  .4074E+07 -.1285E+07   .9999955  .0022939 -.0019329
T  129  6 .4098923E+08   3056018E+03  .9056E+07 -.9395E+07   .9999931  .0023493 -.0028829
T  130  6 .4091557E+08   3056018E+03 -.5997E+06 -.4315E+07   .9999994 -.0000414 -.0010971
T  131  6 .4094832E+08   3056018E+03 -.8891E+07  .8621E+06   .9999991 -.0013590 -.0001462
T  132  6 .4093608E+08   3056018E+03  .3250E+07  .1609E+08   .9999729  .0008932  .0073043
T  133  6 .4083914E+08   3056018E+03  .2007E+08 -.2322E+07   .9999779  .0064354 -.0016787
T  134  6 .4083281E+08   3056018E+03  .1572E+08 -.1641E+08   .9999666  .0068049 -.0045310
T  135  6 .4091878E+08   3056018E+03 -.6447E+07  .9447E+07   .9999901 -.0016755  .0041234
T  136  6 .4095971E+08   3056018E+03 -.5598E+07 -.1305E+07   .9999982 -.0016950 -.0008144
T  137  6 .4090082E+08   3056018E+03  .1375E+08  .1455E+08   .9999678  .0058240  .0055252
T  138  6 .4091272E+08   3056018E+03 -.1167E+08 -.1754E+08   .9999659 -.0042988 -.0070514
T  139  6 .4079744E+08   3056018E+03 -.4069E+07 -.8640E+07   .9999887 -.0025679 -.0040127
T  140  6 .4092507E+08   3056018E+03  .1012E+08 -.1364E+08   .9999900  .0029241 -.0033716
T  141  6 .4088145E+08   3056018E+03 -.2721E+07  .4985E+06   .9999989 -.0012074 -.0008425
T  142  6 .4087955E+08   3056018E+03  .6622E+06 -.6981E+07   .9999975 -.0014253 -.0016977
T  143  6 .4091347E+08   3056018E+03 -.1347E+07  .1472E+07   .9999987 -.0006432  .0014603
T  144  6 .4101068E+08   3056018E+03 -.1319E+08  .4793E+07   .9999878 -.0043181  .0023810
T  145  6 .4100721E+08   3056018E+03 -.3462E+06 -.1541E+06   .9999988  .0007729  .0013480
T  146  6 .4097884E+08   3056018E+03 -.4129E+08 -.3851E+07   .9998802 -.0154021 -.0015111
T  147  6 .4100030E+08   3056018E+03  .1518E+08  .1536E+08   .9999704  .0047528  .0060523
T  148  6 .4097206E+08   3056018E+03 -.4813E+07 -.3964E+06   .9999814 -.0017704  .0058409
T  149  6 .4101249E+08   3056018E+03 -.2594E+07 -.6768E+07   .9999972 -.0001885 -.0023534
T  150  6 .4088327E+08   3056018E+03 -.3266E+07 -.2466E+07   .9999946 -.0021147 -.0025074
T  151  6 .4096351E+08   3056018E+03  .1013E+07  .2699E+07   .9999984 -.0015837  .0008123
T  152  6 .4087527E+08   3056018E+03  .4493E+07  .1032E+08   .9999860 -.0001849  .0052880
T  153  6 .4101676E+08   3056018E+03  .9404E+07 -.5562E+07   .9999910  .0023786 -.0035135
T  154  6 .4095808E+08   3056018E+03 -.3454E+08  .1154E+08   .9998711 -.0153552  .0046935
T  155  6 .4084313E+08   3056018E+03  .1482E+06 -.1347E+08   .9999818 -.0011017 -.0059385
T  156  6 .4090815E+08   3056018E+03 -.2829E+07  .4952E+07   .9999983 -.0012344  .0013944
T  157  6 .4098622E+08   3056018E+03  .3756E+07  .3258E+07   .9999946  .0032812 -.0002668
T  158  6 .4086063E+08   3056018E+03 -.1780E+08  .2994E+07   .9999672 -.0080766  .0005517
T  159  6 .4107363E+08   3056018E+03  .1177E+08 -.8207E+07   .9999808  .0042790 -.0044753
T  160  6 .4091926E+08   3056018E+03 -.9370E+07  .8401E+07   .9999929 -.0034790  .0014588
T  161  6 .4088549E+08   3056018E+03 -.2194E+06 -.8606E+07   .9999917  .0006111 -.0040352
T  162  6 .4102411E+08   3056018E+03  .1328E+06  .1316E+08   .9999831  .0002086  .0058068
T  163  6 .4094537E+08   3056018E+03  .8793E+07 -.6438E+07   .9999864  .0042430 -.0030333
T  164  6 .4096701E+08   3056018E+03  .1657E+08 -.2489E+08   .9999358  .0069319 -.0089614
T  165  6 .4093350E+08   3056018E+03  .4055E+07 -.1136E+07   .9999990  .0012538 -.0006104
T  166  6 .4094687E+08   3056018E+03 -.4558E+07 -.1066E+08   .9999865 -.0009254 -.0051070
T  167  6 .4084650E+08   3056018E+03  .6202E+07  .3842E+08   .9999188  .0020609  .0125751
T  168  6 .4105987E+08   3056018E+03 -.3405E+07  .1797E+07   .9999809 -.0061189  .0008314
T  169  6 .4099529E+08   3056018E+03 -.5071E+07 -.8565E+06   .9999985 -.0014729 -.0009258
T  170  6 .4085025E+08   3056018E+03  .7945E+07  .5560E+07   .9999941  .0025905  .0022393
T  171  6 .4102302E+08   3056018E+03 -.1543E+07 -.1066E+08   .9999926 -.0007639 -.0037770
T  172  6 .4093185E+08   3056018E+03  .1112E+08 -.2535E+07   .9999745  .0071375 -.0002908
T  173  6 .4097959E+08   3056018E+03  .4009E+07  .4419E+07   .9999968  .0016751  .0018870
T  174  6 .4101846E+08   3056018E+03  .8090E+07 -.4721E+07   .9999930  .0033056 -.0017493
T  175  6 .4087898E+08   3056018E+03  .1373E+08  .9875E+07   .9999789  .0043495  .0048267
T  176  6 .4092184E+08   3056018E+03 -.1334E+08 -.7637E+07   .9999845 -.0039909 -.0038781
T  177  6 .4092701E+08   3056018E+03  .1993E+08  .9733E+06   .9999832  .0055972  .0014740
T  178  6 .4095074E+08   3056018E+03 -.5101E+08  .1482E+08   .9996952 -.0242200  .0047796
T  179  6 .4094677E+08   3056018E+03  .3253E+07 -.3592E+07   .9999990 -.0002946 -.0013599
T  180  6 .4102122E+08   3056018E+03 -.3508E+07 -.3355E+07   .9999986 -.0011564 -.0011891
T  181  6 .4095613E+08   3056018E+03  .3227E+07  .1166E+08   .9999867  .0019981  .0047501
T  182  6 .4099230E+08   3056018E+03  .7668E+07 -.3678E+07   .9999866  .0045079 -.0025574
T  183  6 .4094265E+08   3056018E+03  .1327E+07 -.9926E+07   .9999776  .0044634 -.0049877
T  184  6 .4098125E+08   3056018E+03  .5772E+07  .2253E+07   .9999984  .0013625  .0011623
T  185  6 .4099981E+08   3056018E+03 -.2461E+08  .7272E+07   .9999571 -.0085017  .0036715
T  186  6 .4092581E+08   3056018E+03  .3895E+07  .1462E+08   .9999838 -.0000401  .0057005
T  187  6 .4094903E+08   3056018E+03 -.1071E+08  .6364E+07   .9997295 -.0086511  .0215883
T  188  6 .4089286E+08   3056018E+03  .1250E+07  .1491E+08   .9999856  .0020452  .0049655
T  189  6 .4105923E+08   3056018E+03  .3526E+07 -.9949E+07   .9999921  .0017603 -.0035763
T  190  6 .4105136E+08   3056018E+03 -.1724E+07 -.7203E+07   .9999980 -.0003268 -.0019784
T  191  6 .4096645E+08   3056018E+03  .5151E+07 -.1537E+07   .9999997 -.0007204 -.0001033
T  192  6 .4107719E+08   3056018E+03  .3132E+07 -.1645E+08   .9999778  .0013315 -.0065308
T  193  6 .4097704E+08   3056018E+03 -.8108E+07  .2973E+07   .9999918 -.0037779  .0014402
T  194  6 .4088747E+08   3056018E+03  .9271E+07 -.2944E+07   .9999871  .0048403 -.0015232
T  195  6 .4088567E+08   3056018E+03  .1222E+08 -.3882E+08   .9999016  .0046265 -.0132438
T  196  6 .4085624E+08   3056018E+03 -.5152E+07  .3738E+06   .9999988 -.0002093  .0015042
T  197  6 .4094054E+08   3056018E+03  .2379E+07  .1383E+08   .9999853  .0011090  .0053072
T  198  6 .4084858E+08   3056018E+03  .1905E+08 -.2038E+08   .9999579  .0072673 -.0055941
T  199  6 .4096687E+08   3056018E+03  .7254E+07  .2594E+07   .9999918  .0021025  .0034696
T  200  6 .4096449E+08   3056018E+03  .2435E+07 -.1215E+08   .9999962 -.0011073 -.0025059
T  201  6 .4084983E+08   3056018E+03 -.2769E+06  .1025E+07   .9999897  .0015023  .0042820
T  202  6 .4097048E+08   3056018E+03 -.1224E+08 -.2765E+07   .9999879 -.0047572 -.0012643
T  203  6 .4094119E+08   3056018E+03 -.2495E+08 -.1297E+08   .9999480 -.0083712 -.0058278
T  204  6 .4098921E+08   3056018E+03 -.2973E+07  .3050E+07   .9999981 -.0019182 -.0002293
