============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Ni4Si3 windo( 225. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 .2316333E+08   2256018E+03 -.6158E+07  .1367E+07   .9999970 -.0015798  .0018762
T    2  3 .2310437E+08   2256018E+03 -.2053E+07  .4539E+06   .9999988 -.0015272 -.0001201
T    3  3 .2315913E+08   2256018E+03 -.3892E+06  .3309E+07   .9999994 -.0001377  .0010802
T    4  3 .2309850E+08   2256018E+03 -.1750E+08  .2496E+08   .9998972 -.0078282  .0120157
T    5  3 .2308860E+08   2256018E+03  .1623E+07 -.2490E+07   .9999991  .0002583 -.0012949
T    6  3 .2311414E+08   2256018E+03  .6157E+07  .6146E+07   .9999915  .0030578  .0027761
T    7  3 .2314987E+08   2256018E+03  .5954E+07  .2320E+06   .9999939  .0034457 -.0005683
T    8  3 .2309571E+08   2256018E+03  .2422E+07 -.3447E+07   .9999912  .0005914 -.0041517
T    9  3 .2313105E+08   2256018E+03 -.1875E+07 -.1931E+06   .9999987 -.0014570  .0006925
T   10  3 .2315336E+08   2256018E+03 -.7397E+07  .7728E+06   .9999856 -.0053559  .0002653
T   11  3 .2315019E+08   2256018E+03  .6583E+07  .5342E+07   .9999895  .0031309  .0033542
T   12  3 .2312599E+08   2256018E+03 -.8161E+07 -.9775E+05   .9999881 -.0048697 -.0001719
T   13  3 .2312987E+08   2256018E+03  .2430E+07  .5714E+07   .9999961  .0002770  .0027897
T   14  3 .2309909E+08   2256018E+03 -.3836E+07  .1603E+07   .9999948 -.0029157  .0013517
T   15  3 .2313799E+08   2256018E+03  .2190E+07  .3041E+06   .9999980  .0019819  .0002912
T   16  3 .2312369E+08   2256018E+03 -.1595E+07 -.6712E+07   .9999931  .0003602 -.0037096
T   17  3 .2309871E+08   2256018E+03  .6865E+07 -.5679E+07   .9999940  .0027728 -.0020629
T   18  3 .2316212E+08   2256018E+03 -.3091E+07  .5516E+07   .9999984 -.0008815  .0015319
T   19  3 .2314668E+08   2256018E+03 -.1226E+07  .2465E+06   .9999995 -.0010117  .0000557
T   20  3 .2307650E+08   2256018E+03  .1426E+07  .5495E+06   .9999988  .0009707  .0011713
T   21  3 .2315396E+08   2256018E+03  .2943E+07  .5506E+06   .9999951  .0031337 -.0000333
T   22  3 .2311079E+08   2256018E+03 -.7995E+07 -.2916E+07   .9999887 -.0045740 -.0012581
T   23  3 .2313419E+08   2256018E+03 -.4581E+07 -.1243E+07   .9999984 -.0015713 -.0008641
T   24  3 .2312212E+08   2256018E+03  .5341E+07 -.1732E+07   .9999940  .0034470 -.0002879
T   25  3 .2316988E+08   2256018E+03 -.9952E+06  .3425E+07   .9999919 -.0038826  .0010374
