============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Ni4Si3 windo( 145. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  3 .2296601E+08   1456018E+03  .7910E+07 -.4830E+07   .9999714  .0066847 -.0035355
T   55  3 .2298680E+08   1456018E+03 -.3751E+07 -.6055E+07   .9999832 -.0028771 -.0050261
T   56  3 .2300137E+08   1456018E+03  .1263E+08  .5391E+07   .9999517  .0098121  .0005548
T   57  3 .2292981E+08   1456018E+03 -.2266E+07 -.6942E+07   .9999873 -.0013893 -.0048372
T   58  3 .2291243E+08   1456018E+03 -.1289E+08  .8768E+06   .9999524 -.0097569  .0000274
T   59  3 .2288726E+08   1456018E+03 -.3153E+07  .5254E+07   .9999867 -.0037294  .0035545
T   60  3 .2302485E+08   1456018E+03 -.2834E+07 -.1169E+08   .9999745 -.0018458 -.0068935
T   61  3 .2297178E+08   1456018E+03  .1428E+08  .5008E+07   .9999484  .0090853  .0045490
T   62  3 .2295578E+08   1456018E+03  .2522E+07 -.5277E+07   .9999917  .0015456 -.0037777
T   63  3 .2290303E+08   1456018E+03  .6358E+07  .4282E+07   .9999788  .0060075  .0025163
T   64  3 .2300268E+08   1456018E+03 -.3063E+07 -.8684E+07   .9999773 -.0018387 -.0064882
T   65  3 .2299766E+08   1456018E+03 -.1201E+07 -.4636E+06   .9999990 -.0010996 -.0009008
T   66  3 .2302918E+08   1456018E+03  .7356E+07 -.1061E+08   .9999625  .0060275 -.0062141
T   67  3 .2298837E+08   1456018E+03  .1214E+08 -.1122E+08   .9999461  .0078816 -.0067626
T   68  3 .2302130E+08   1456018E+03  .5024E+07  .7689E+07   .9999857  .0029608  .0044577
T   69  3 .2295925E+08   1456018E+03 -.8115E+07  .7367E+07   .9999636 -.0052190  .0067470
T   70  3 .2297827E+08   1456018E+03 -.5235E+07 -.1891E+08   .9999070 -.0038626 -.0130828
T   71  3 .2304953E+08   1456018E+03  .1269E+08  .6088E+07   .9999512  .0088347  .0044275
T   72  3 .2299978E+08   1456018E+03  .9609E+07 -.1517E+08   .9999310  .0066903 -.0096541
T   73  3 .2296980E+08   1456018E+03  .1527E+07 -.1289E+08   .9999558  .0006713 -.0093791
