============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Ni4Si3 windo( 305. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  3 .2297083E+08   3056018E+03 -.6901E+07  .2552E+07   .9999971 -.0017266  .0016945
T    2  3 .2295002E+08   3056018E+03  .3211E+07  .6738E+07   .9999968  .0017375  .0018295
T    3  3 .2292546E+08   3056018E+03 -.7134E+07  .2666E+07   .9999914 -.0037053  .0018537
T    4  3 .2288793E+08   3056018E+03 -.3614E+07 -.1849E+07   .9999993 -.0008749 -.0008292
T    5  3 .2289413E+08   3056018E+03 -.7100E+07  .8467E+07   .9999892 -.0025354  .0039018
T    6  3 .2293641E+08   3056018E+03  .6148E+07 -.3280E+06   .9999972  .0016450 -.0017083
T    7  3 .2291146E+08   3056018E+03  .2307E+07 -.4932E+07   .9999967  .0018134 -.0018138
T    8  3 .2291849E+08   3056018E+03 -.2280E+07 -.9974E+07   .9999910 -.0017714 -.0038483
T    9  3 .2291918E+08   3056018E+03 -.8889E+07  .4884E+06   .9999898 -.0044878 -.0005255
T   10  3 .2294794E+08   3056018E+03 -.8351E+07 -.9782E+07   .9999944 -.0014980 -.0029915
T   11  3 .2292837E+08   3056018E+03  .4628E+07 -.1945E+07   .9999991  .0013326 -.0001077
T   12  3 .2293896E+08   3056018E+03  .4245E+07  .4234E+07   .9999986  .0014900  .0007564
T   13  3 .2285220E+08   3056018E+03 -.1509E+07  .1109E+08   .9999900  .0001621  .0044640
T   14  3 .2292154E+08   3056018E+03  .7636E+07 -.1455E+07   .9999980  .0019911 -.0000327
T   15  3 .2289480E+08   3056018E+03 -.5932E+07 -.4044E+07   .9999987 -.0007849 -.0014357
T   16  3 .2288455E+08   3056018E+03  .3452E+07  .6081E+07   .9999976  .0011046  .0018954
T   17  3 .2292408E+08   3056018E+03 -.1454E+07 -.1829E+07   .9999997  .0002270 -.0007981
T   18  3 .2289291E+08   3056018E+03 -.2960E+07 -.4860E+07   .9999976  .0003554 -.0021564
T   19  3 .2291731E+08   3056018E+03  .4455E+07  .5167E+07   .9999982  .0008643  .0017041
T   20  3 .2290054E+08   3056018E+03 -.3151E+07  .1037E+08   .9999779 -.0022480  .0062589
T   21  3 .2283636E+08   3056018E+03  .1652E+08  .1480E+08   .9999847  .0038599  .0039531
T   22  3 .2289491E+08   3056018E+03 -.1027E+07  .1273E+07   .9999982 -.0018779 -.0002253
T   23  3 .2294219E+08   3056018E+03  .4185E+07 -.2189E+07   .9999977  .0021638  .0000612
T   24  3 .2284504E+08   3056018E+03 -.7911E+07 -.3263E+07   .9999962 -.0025698 -.0010078
T   25  3 .2289071E+08   3056018E+03  .7087E+06  .6399E+07   .9999979  .0001093  .0020577
T   26  3 .2291021E+08   3056018E+03 -.1075E+08  .1113E+08   .9999906 -.0039877  .0016889
T   27  3 .2292228E+08   3056018E+03  .8186E+07  .1730E+08   .9999734  .0025864  .0068195
T   28  3 .2294788E+08   3056018E+03 -.6563E+07  .3961E+07   .9999909 -.0036262  .0022619
T   29  3 .2283833E+08   3056018E+03 -.1662E+07 -.1372E+07   .9999996 -.0000546 -.0009417
T   30  3 .2298322E+08   3056018E+03 -.1650E+07  .2085E+07   .9999998 -.0006943  .0000409
T   31  3 .2289315E+08   3056018E+03 -.5808E+07  .1962E+07   .9999985 -.0016266  .0006454
T   32  3 .2296825E+08   3056018E+03  .9168E+06  .3894E+07   .9999995  .0007997  .0005631
T   33  3 .2291047E+08   3056018E+03 -.1606E+07 -.1622E+08   .9999915 -.0015567 -.0038097
T   34  3 .2292435E+08   3056018E+03  .1713E+08  .5414E+07   .9999814  .0060144  .0009680
T   35  3 .2292704E+08   3056018E+03  .4692E+07 -.7166E+04   .9999941  .0028911 -.0018331
T   36  3 .2291828E+08   3056018E+03 -.1314E+08  .3378E+07   .9999635 -.0073102  .0044268
T   37  3 .2292767E+08   3056018E+03  .1424E+08  .7913E+07   .9999757  .0056302  .0041210
T   38  3 .2289638E+08   3056018E+03 -.1018E+08  .3361E+07   .9999953 -.0029574  .0007858
T   39  3 .2293384E+08   3056018E+03 -.1208E+08 -.1740E+08   .9999778 -.0044702 -.0049448
T   40  3 .2296103E+08   3056018E+03  .9112E+06  .1193E+07   .9999987  .0013767  .0008902
T   41  3 .2289930E+08   3056018E+03  .2395E+08  .3655E+07   .9999734  .0071117  .0016196
T   42  3 .2293136E+08   3056018E+03  .1912E+08 -.6726E+07   .9999685  .0076378 -.0021727
T   43  3 .2292987E+08   3056018E+03 -.4951E+07  .6703E+07   .9999965 -.0005901  .0025903
T   44  3 .2295286E+08   3056018E+03 -.1756E+08 -.3504E+08   .9998964 -.0053339 -.0133731
T   45  3 .2295853E+08   3056018E+03 -.8220E+07 -.3607E+07   .9999945 -.0032958  .0002776
T   46  3 .2300903E+08   3056018E+03 -.3074E+07 -.2180E+07   .9999968 -.0020610 -.0014395
T   47  3 .2291744E+08   3056018E+03  .1424E+07  .1451E+07   .9999989  .0000482 -.0015082
T   48  3 .2293432E+08   3056018E+03  .8489E+07  .4940E+07   .9999844  .0053125  .0017542
T   49  3 .2290011E+08   3056018E+03 -.3168E+07 -.1015E+07   .9999969 -.0021040 -.0013136
T   50  3 .2291786E+08   3056018E+03  .5651E+06 -.4467E+06   .9999994  .0010603 -.0003410
T   51  3 .2293440E+08   3056018E+03 -.5191E+07  .8574E+06   .9999977 -.0018559 -.0010688
T   52  3 .2290403E+08   3056018E+03 -.6216E+05  .7448E+07   .9999949 -.0009073  .0030701
T   53  3 .2293600E+08   3056018E+03  .9467E+06 -.1922E+07   .9999993 -.0008045 -.0009116
T   54  3 .2288389E+08   3056018E+03  .1166E+07 -.4100E+07   .9999999  .0003836 -.0002951
T   55  3 .2291780E+08   3056018E+03 -.7007E+07  .4981E+07   .9999935 -.0024501  .0026432
T   56  3 .2288702E+08   3056018E+03 -.6901E+06 -.1836E+08   .9999731  .0003126 -.0073264
T   57  3 .2291703E+08   3056018E+03 -.3966E+07  .3228E+07   .9999966 -.0020293  .0016475
T   58  3 .2290921E+08   3056018E+03  .8328E+07  .5243E+06   .9999988  .0012644 -.0008512
T   59  3 .2290088E+08   3056018E+03 -.8256E+06  .3907E+07   .9999990  .0011537  .0008168
T   60  3 .2294299E+08   3056018E+03  .4714E+07  .1202E+07   .9999987  .0010868  .0011547
T   61  3 .2282921E+08   3056018E+03 -.2152E+07 -.3574E+07   .9999981 -.0006391 -.0018262
T   62  3 .2291728E+08   3056018E+03 -.7715E+07 -.2180E+08   .9997868 -.0084101 -.0188560
T   63  3 .2289509E+08   3056018E+03 -.1237E+08  .2101E+07   .9998486 -.0173996  .0000543
T   64  3 .2295887E+08   3056018E+03 -.4328E+07  .4345E+07   .9999955 -.0026102  .0014782
T   65  3 .2289984E+08   3056018E+03  .7828E+07  .9861E+05   .9999941  .0032180  .0012356
T   66  3 .2286781E+08   3056018E+03 -.1317E+08  .2069E+07   .9999897 -.0044485  .0009492
T   67  3 .2294527E+08   3056018E+03 -.6727E+07  .1111E+08   .9999865 -.0038105  .0035210
T   68  3 .2289331E+08   3056018E+03  .1239E+08 -.5792E+07   .9999951  .0031426 -.0000220
T   69  3 .2295636E+08   3056018E+03  .6042E+07  .3685E+08   .9999212  .0015860  .0124531
T   70  3 .2293084E+08   3056018E+03  .7979E+06  .9127E+07   .9999839  .0013449  .0055048
T   71  3 .2289173E+08   3056018E+03 -.9784E+07  .1135E+07   .9999924 -.0024309  .0030496
T   72  3 .2292229E+08   3056018E+03  .1152E+07  .1546E+07   .9999998 -.0005688  .0000896
T   73  3 .2291730E+08   3056018E+03  .6466E+07 -.5147E+05   .9999999 -.0003355 -.0001960
T   74  3 .2293134E+08   3056018E+03 -.6140E+07  .8362E+06   .9999916 -.0031936  .0025834
T   75  3 .2291874E+08   3056018E+03  .2028E+07  .6010E+07   .9999981  .0005346  .0018595
T   76  3 .2287960E+08   3056018E+03  .3048E+06  .7379E+07   .9999944  .0005223  .0032969
T   77  3 .2282241E+08   3056018E+03 -.3753E+07  .3133E+07   .9999999  .0000893  .0003287
T   78  3 .2290347E+08   3056018E+03 -.1821E+07 -.3474E+07   .9999999 -.0005041 -.0000129
T   79  3 .2288106E+08   3056018E+03  .1000E+07  .1443E+07   .9999974 -.0011024 -.0019986
T   80  3 .2290209E+08   3056018E+03  .3666E+07  .3068E+07   .9999988  .0012754  .0009304
T   81  3 .2292191E+08   3056018E+03 -.2200E+07 -.1216E+07   .9999984 -.0017386  .0003710
T   82  3 .2291415E+08   3056018E+03  .1293E+07 -.4554E+07   .9999987  .0000063 -.0016365
