************ Run 298_4He ************
  Evt: 39919   theta_fit: 167.171   theta_deg: -6.92631
  Evt: 39936   theta_fit: 3.54123   theta_deg: 1.81076
  Evt: 39985   theta_fit: 172.512   theta_deg: -3.86449
  Evt: 41148   theta_fit: 175.181   theta_deg: -2.86957
  Evt: 41295   theta_fit: 175.349   theta_deg: -2.71836
  Evt: 41640   theta_fit: 7.46899   theta_deg: 0.193756
  Evt: 41671   theta_fit: 169.568   theta_deg: -6.28455
  Evt: 41998   theta_fit: 166.217   theta_deg: -2.90599
  Evt: 42022   theta_fit: 3.12964   theta_deg: 2.41387
  Evt: 42115   theta_fit: 3.78222   theta_deg: 0.903499
  Evt: 42168   theta_fit: 3.4915   theta_deg: 2.94532
  Evt: 42387   theta_fit: 178.717   theta_deg: -0.489902
  Evt: 43281   theta_fit: 165.39   theta_deg: -7.77272
  Evt: 43652   theta_fit: 172.846   theta_deg: -3.91783
  Evt: 43767   theta_fit: 3.38358   theta_deg: 2.22628
  Evt: 43791   theta_fit: 2.14435   theta_deg: 1.04291
  Evt: 44350   theta_fit: 178.467   theta_deg: -0.516531
  Evt: 44460   theta_fit: 40.3647   theta_deg: 39.7523
  Evt: 44528   theta_fit: 7.71982   theta_deg: 6.92229
  Evt: 45456   theta_fit: 5.38641   theta_deg: 0.359067
  Evt: 45457   theta_fit: 4.47994   theta_deg: 0.294441
  Evt: 45579   theta_fit: 9.73193   theta_deg: 7.77166
  Evt: 46295   theta_fit: 178.349   theta_deg: -1.13596
  Evt: 46343   theta_fit: 177.873   theta_deg: -1.26356
  Evt: 46644   theta_fit: 3.79476   theta_deg: 2.28628
  Evt: 47131   theta_fit: 177.644   theta_deg: -0.702936
  Evt: 47481   theta_fit: 4.0172   theta_deg: 2.14311
  Evt: 47572   theta_fit: 169.781   theta_deg: -5.22938
  Evt: 47989   theta_fit: 176.595   theta_deg: -1.99489
  Evt: 48118   theta_fit: 176.737   theta_deg: -2.46049
  Evt: 48351   theta_fit: 169.523   theta_deg: -5.8451
  Evt: 48849   theta_fit: 177.089   theta_deg: -0.104048
  Evt: 49112   theta_fit: 3.1218   theta_deg: 1.72892
  Evt: 50300   theta_fit: 49.3365   theta_deg: 48.1499
  Evt: 50393   theta_fit: 166.356   theta_deg: -6.80666
  Evt: 50583   theta_fit: 176.831   theta_deg: -1.98091
  Evt: 50776   theta_fit: 166.273   theta_deg: -6.81764
  Evt: 50777   theta_fit: 168.797   theta_deg: -5.73377
  Evt: 51277   theta_fit: 165.648   theta_deg: -7.1692
  Evt: 51453   theta_fit: 176.022   theta_deg: -2.43425
  Evt: 51458   theta_fit: 178.269   theta_deg: -0.657881
  Evt: 51620   theta_fit: 166.218   theta_deg: -6.5239
  Evt: 52155   theta_fit: 176.568   theta_deg: -2.12252
  Evt: 52863   theta_fit: 178.524   theta_deg: -1.00691
  Evt: 52886   theta_fit: 167.778   theta_deg: -5.78564
  Evt: 53010   theta_fit: 4.81882   theta_deg: 0.244344
  Evt: 53054   theta_fit: 4.53449   theta_deg: 4.02273
  Evt: 53090   theta_fit: 177.199   theta_deg: -1.71248
  Evt: 53125   theta_fit: 169.485   theta_deg: -6.75315
  Evt: 53186   theta_fit: 3.59539   theta_deg: 0.675512
  Evt: 53703   theta_fit: 176.568   theta_deg: -1.38469
  Evt: 54561   theta_fit: 166.201   theta_deg: -6.63445
  Evt: 54671   theta_fit: 172.454   theta_deg: -4.89834
  Evt: 55043   theta_fit: 59.1818   theta_deg: 0.086638
  Evt: 55127   theta_fit: 178.122   theta_deg: -0.455201
*****************************************************
