************ Run 76_4He - theta-discrepancies > 0°.2 ***********
  Evt: 13793   theta_fit: 54.0667   theta_deg: 53.864
  Evt: 13845   theta_fit: 52.5356   theta_deg: 52.1532
  Evt: 14033   theta_fit: 54.1951   theta_deg: 53.9759
  Evt: 14049   theta_fit: 49.1631   theta_deg: 48.8151
  Evt: 14249   theta_fit: 52.6821   theta_deg: 52.444
  Evt: 14257   theta_fit: 51.088   theta_deg: 50.7427
  Evt: 14283   theta_fit: 50.5517   theta_deg: 50.1946
  Evt: 14575   theta_fit: 55.2848   theta_deg: 54.9829
  Evt: 14906   theta_fit: 53.6372   theta_deg: 53.214
  Evt: 14956   theta_fit: 53.9618   theta_deg: 53.5549
  Evt: 15185   theta_fit: 56.2837   theta_deg: 55.9122
  Evt: 15283   theta_fit: 52.0763   theta_deg: 51.7205
  Evt: 15433   theta_fit: 57.5778   theta_deg: 57.2583
  Evt: 15598   theta_fit: 51.868   theta_deg: 51.5743
  Evt: 15712   theta_fit: 51.2793   theta_deg: 50.768
  Evt: 16023   theta_fit: 48.5973   theta_deg: 48.2773
  Evt: 16036   theta_fit: 53.5423   theta_deg: 53.2345
  Evt: 16099   theta_fit: 56.76   theta_deg: 56.3109
  Evt: 16250   theta_fit: 52.9406   theta_deg: 52.6857
  Evt: 16388   theta_fit: 53.2407   theta_deg: 52.9001
  Evt: 16572   theta_fit: 49.7075   theta_deg: 49.4281
  Evt: 16762   theta_fit: 50.4728   theta_deg: 50.152
  Evt: 16841   theta_fit: 44.8421   theta_deg: 44.6371
  Evt: 16982   theta_fit: 54.6956   theta_deg: 54.4502
  Evt: 17385   theta_fit: 58.6614   theta_deg: 58.3913
  Evt: 17496   theta_fit: 48.1624   theta_deg: 47.9592
  Evt: 17517   theta_fit: 53.1077   theta_deg: 52.8116
  Evt: 17734   theta_fit: 51.9475   theta_deg: 51.5698
  Evt: 17748   theta_fit: 51.5006   theta_deg: 51.1613
  Evt: 17959   theta_fit: 51.2056   theta_deg: 50.9301
  Evt: 17981   theta_fit: 53.6828   theta_deg: 53.4111
  Evt: 18251   theta_fit: 52.8849   theta_deg: 52.3622
  Evt: 18404   theta_fit: 53.9212   theta_deg: 53.5199
  Evt: 18577   theta_fit: 52.6116   theta_deg: 52.2138
  Evt: 18631   theta_fit: 49.6534   theta_deg: 49.3321
  Evt: 19394   theta_fit: 57.5964   theta_deg: 57.121
  Evt: 19441   theta_fit: 52.9583   theta_deg: 52.6765
  Evt: 19701   theta_fit: 55.6882   theta_deg: 55.3834
  Evt: 19875   theta_fit: 54.9028   theta_deg: 54.4576
  Evt: 19953   theta_fit: 51.5094   theta_deg: 51.2285
  Evt: 20091   theta_fit: 54   theta_deg: 53.4891
  Evt: 20585   theta_fit: 54.765   theta_deg: 54.4483
  Evt: 20699   theta_fit: 57.3762   theta_deg: 57.1517
  Evt: 20857   theta_fit: 52.2869   theta_deg: 51.9908
  Evt: 20940   theta_fit: 52.1879   theta_deg: 51.9545
  Evt: 21015   theta_fit: 53.5708   theta_deg: 53.27
  Evt: 21070   theta_fit: 56.9192   theta_deg: 56.6606
  Evt: 21156   theta_fit: 51.8871   theta_deg: 51.6172
  Evt: 21294   theta_fit: 47.8327   theta_deg: 47.565
  Evt: 21342   theta_fit: 48.9682   theta_deg: 48.6753
  Evt: 21362   theta_fit: 49.4909   theta_deg: 49.1612
  Evt: 21453   theta_fit: 51.5482   theta_deg: 51.2517
  Evt: 21742   theta_fit: 51.7933   theta_deg: 51.5356
  Evt: 21760   theta_fit: 52.9571   theta_deg: 52.6138
  Evt: 21818   theta_fit: 52.2972   theta_deg: 52.0572
  Evt: 22065   theta_fit: 53.3793   theta_deg: 53.1549
  Evt: 22143   theta_fit: 54.4161   theta_deg: 54.0173
  Evt: 22372   theta_fit: 56.5129   theta_deg: 56.2165
  Evt: 22483   theta_fit: 56.6925   theta_deg: 56.4555
  Evt: 22798   theta_fit: 51.0118   theta_deg: 50.7893
  Evt: 22845   theta_fit: 54.8255   theta_deg: 54.3776
  Evt: 22916   theta_fit: 54.9423   theta_deg: 54.5805
  Evt: 23138   theta_fit: 53.5583   theta_deg: 53.2367
  Evt: 23351   theta_fit: 54.7841   theta_deg: 54.2053
  Evt: 23643   theta_fit: 51.3233   theta_deg: 51.0132
  Evt: 23645   theta_fit: 50.7184   theta_deg: 50.4159
  Evt: 23875   theta_fit: 52.4483   theta_deg: 52.1544
  Evt: 24090   theta_fit: 56.1323   theta_deg: 54.9724
  Evt: 24137   theta_fit: 52.9027   theta_deg: 52.6226
  Evt: 24158   theta_fit: 55.8137   theta_deg: 55.1839
  Evt: 24402   theta_fit: 52.6411   theta_deg: 52.3395
  Evt: 24410   theta_fit: 50.4602   theta_deg: 50.245
  Evt: 24558   theta_fit: 57.7769   theta_deg: 57.5597
  Evt: 24849   theta_fit: 56.7989   theta_deg: 56.5382
  Evt: 25314   theta_fit: 56.9543   theta_deg: 56.4541
  Evt: 25493   theta_fit: 55.0464   theta_deg: 54.8292
  Evt: 25610   theta_fit: 54.6638   theta_deg: 54.3834
  Evt: 25918   theta_fit: 52.0093   theta_deg: 51.6321
  Evt: 26147   theta_fit: 54.5168   theta_deg: 53.7603
  Evt: 26172   theta_fit: 51.3209   theta_deg: 50.8294
  Evt: 26182   theta_fit: 50.0246   theta_deg: 49.7108
  Evt: 26328   theta_fit: 53.6182   theta_deg: 53.0356
  Evt: 26494   theta_fit: 53.5114   theta_deg: 53.2062
  Evt: 26507   theta_fit: 51.9986   theta_deg: 51.6441
  Evt: 26955   theta_fit: 51.2859   theta_deg: 50.9271
  Evt: 27317   theta_fit: 55.0625   theta_deg: 54.7287
  Evt: 27428   theta_fit: 51.9539   theta_deg: 51.3939
  Evt: 27685   theta_fit: 50.1782   theta_deg: 49.8265
  Evt: 27689   theta_fit: 53.2982   theta_deg: 52.9588
  Evt: 27805   theta_fit: 56.9222   theta_deg: 56.6633
  Evt: 27932   theta_fit: 54.4221   theta_deg: 53.7977
  Evt: 27971   theta_fit: 56.1944   theta_deg: 55.8364
  Evt: 28371   theta_fit: 53.3902   theta_deg: 53.0827
  Evt: 28462   theta_fit: 51.8563   theta_deg: 51.618
  Evt: 28711   theta_fit: 53.2196   theta_deg: 52.8523
  Evt: 28748   theta_fit: 53.2408   theta_deg: 52.9276
  Evt: 28788   theta_fit: 52.1205   theta_deg: 51.6393
  Evt: 28821   theta_fit: 54.4608   theta_deg: 54.098
  Evt: 29491   theta_fit: 55.1765   theta_deg: 54.9749
  Evt: 30043   theta_fit: 51.073   theta_deg: 50.7754
  Evt: 30062   theta_fit: 55.7045   theta_deg: 55.4351
  Evt: 30208   theta_fit: 50.5781   theta_deg: 50.226
  Evt: 30293   theta_fit: 55.3235   theta_deg: 54.9735
  Evt: 30315   theta_fit: 54.0489   theta_deg: 53.503
  Evt: 30401   theta_fit: 53.4976   theta_deg: 53.2782
  Evt: 30551   theta_fit: 52.1744   theta_deg: 51.5712
  Evt: 30922   theta_fit: 56.0827   theta_deg: 55.8588
  Evt: 30941   theta_fit: 53.1761   theta_deg: 52.9484
  Evt: 30998   theta_fit: 61.7457   theta_deg: 60.6646
  Evt: 31082   theta_fit: 51.3883   theta_deg: 50.7208
  Evt: 31119   theta_fit: 56.6231   theta_deg: 56.3701
  Evt: 31481   theta_fit: 54.0688   theta_deg: 53.8371
  Evt: 31515   theta_fit: 47.7584   theta_deg: 47.5096
  Evt: 31711   theta_fit: 57.2655   theta_deg: 56.9857
  Evt: 31794   theta_fit: 55.4434   theta_deg: 54.9856
  Evt: 31832   theta_fit: 54.9513   theta_deg: 54.4639
  Evt: 32695   theta_fit: 53.4505   theta_deg: 53.2236
  Evt: 32754   theta_fit: 55.9163   theta_deg: 55.4899
  Evt: 32998   theta_fit: 49.9139   theta_deg: 49.5688
  Evt: 33001   theta_fit: 54.162   theta_deg: 53.9123
  Evt: 33041   theta_fit: 53.19   theta_deg: 52.88
  Evt: 33218   theta_fit: 57.1738   theta_deg: 56.7961
  Evt: 33398   theta_fit: 51.2594   theta_deg: 50.9633
  Evt: 33656   theta_fit: 52.0995   theta_deg: 51.747
  Evt: 33659   theta_fit: 52.8332   theta_deg: 52.5118
  Evt: 33947   theta_fit: 54.4335   theta_deg: 53.8215
  Evt: 33964   theta_fit: 52.1216   theta_deg: 51.8023
  Evt: 34023   theta_fit: 52.9263   theta_deg: 52.697
  Evt: 34047   theta_fit: 51.103   theta_deg: 50.3027
  Evt: 34096   theta_fit: 54.3054   theta_deg: 53.8495
  Evt: 34377   theta_fit: 51.7004   theta_deg: 51.111
  Evt: 34491   theta_fit: 49.5881   theta_deg: 49.288
  Evt: 34575   theta_fit: 55.9867   theta_deg: 55.7309
  Evt: 34654   theta_fit: 47.3369   theta_deg: 47.0656
  Evt: 34734   theta_fit: 54.6649   theta_deg: 54.4288
  Evt: 35317   theta_fit: 45.7607   theta_deg: 44.555
  Evt: 35381   theta_fit: 55.7338   theta_deg: 55.4163
  Evt: 35638   theta_fit: 50.0695   theta_deg: 49.5976
