************ Run 171************
  Evt: 64697   theta_fit: 155.08   theta_deg: -24.7933
  Evt: 66889   theta_fit: 57.6641   theta_deg: 57.1476
  Evt: 66894   theta_fit: 54.6678   theta_deg: 54.045
  Evt: 67765   theta_fit: 151.037   theta_deg: -28.9288
  Evt: 67945   theta_fit: 53.188   theta_deg: 52.2528
  Evt: 67978   theta_fit: 54.5329   theta_deg: 54.0308
  Evt: 69036   theta_fit: 157.099   theta_deg: -22.8863
  Evt: 69204   theta_fit: 157.362   theta_deg: -22.5157
  Evt: 71278   theta_fit: 164.635   theta_deg: -15.278
  Evt: 71793   theta_fit: 55.9436   theta_deg: 54.8863
  Evt: 72731   theta_fit: 46.3198   theta_deg: 45.3119
  Evt: 73876   theta_fit: 54.7076   theta_deg: 54.1949
  Evt: 74896   theta_fit: 159.177   theta_deg: -20.5453
  Evt: 75955   theta_fit: 150.181   theta_deg: -29.6279
  Evt: 76018   theta_fit: 138.249   theta_deg: -41.7406
  Evt: 76538   theta_fit: 55.2301   theta_deg: 54.5018
  Evt: 77090   theta_fit: 53.7377   theta_deg: 53.2087
  Evt: 77392   theta_fit: 56.3764   theta_deg: 55.7684
  Evt: 77539   theta_fit: 167.786   theta_deg: -12.0947
  Evt: 77602   theta_fit: 55.197   theta_deg: 54.5817
  Evt: 81044   theta_fit: 55.2574   theta_deg: 54.6533
  Evt: 81202   theta_fit: 166.449   theta_deg: -13.3435
  Evt: 81790   theta_fit: 146.117   theta_deg: -33.7494
  Evt: 83628   theta_fit: 174.027   theta_deg: -5.28866
  Evt: 83752   theta_fit: 162.762   theta_deg: -17.1703
  Evt: 84165   theta_fit: 163.118   theta_deg: -16.8411
*****************************************************
