************ Run 38_4He - theta-discrepancies > 0°.2 ***********
  Evt: 79   theta_fit: 52.5294   theta_deg: 52.0736
  Evt: 91   theta_fit: 50.2839   theta_deg: 49.8154
  Evt: 240   theta_fit: 58.4606   theta_deg: 56.5095
  Evt: 318   theta_fit: 53.2451   theta_deg: 53.0091
  Evt: 372   theta_fit: 52.3299   theta_deg: 51.911
  Evt: 383   theta_fit: 55.5234   theta_deg: 55.1803
  Evt: 422   theta_fit: 22.1611   theta_deg: 21.8572
  Evt: 541   theta_fit: 53.7643   theta_deg: 53.4936
  Evt: 730   theta_fit: 54.7959   theta_deg: 54.5225
  Evt: 824   theta_fit: 54.9256   theta_deg: 54.7
  Evt: 845   theta_fit: 48.9499   theta_deg: 48.7464
  Evt: 960   theta_fit: 50.5426   theta_deg: 49.8594
  Evt: 1019   theta_fit: 50.8226   theta_deg: 50.4956
  Evt: 1160   theta_fit: 65.1024   theta_deg: 62.1489
  Evt: 1228   theta_fit: 52.2065   theta_deg: 51.9217
  Evt: 1249   theta_fit: 165.318   theta_deg: 165.534
  Evt: 1425   theta_fit: 54.0015   theta_deg: 53.6681
  Evt: 1602   theta_fit: 54.4179   theta_deg: 54.2025
  Evt: 1875   theta_fit: 53.9075   theta_deg: 53.6089
  Evt: 2204   theta_fit: 53.1444   theta_deg: 52.7901
  Evt: 2344   theta_fit: 53.9739   theta_deg: 53.7413
  Evt: 2374   theta_fit: 53.3072   theta_deg: 52.9738
  Evt: 2387   theta_fit: 49.7961   theta_deg: 49.5364
  Evt: 2399   theta_fit: 55.3622   theta_deg: 55.0638
  Evt: 2464   theta_fit: 54.0869   theta_deg: 53.6675
  Evt: 2629   theta_fit: 50.6616   theta_deg: 50.4079
  Evt: 2712   theta_fit: 51.2514   theta_deg: 50.9982
  Evt: 2767   theta_fit: 53.5632   theta_deg: 53.1927
  Evt: 3003   theta_fit: 52.406   theta_deg: 52.1199
  Evt: 3015   theta_fit: 53.2273   theta_deg: 53.0099
  Evt: 3175   theta_fit: 52.8699   theta_deg: 52.6507
  Evt: 3301   theta_fit: 48.0724   theta_deg: 47.8308
  Evt: 3349   theta_fit: 52.5493   theta_deg: 52.2907
  Evt: 3404   theta_fit: 52.2898   theta_deg: 52.0707
  Evt: 3430   theta_fit: 54.3803   theta_deg: 54.0804
  Evt: 3433   theta_fit: 53.5177   theta_deg: 53.2622
  Evt: 3623   theta_fit: 52.9871   theta_deg: 52.6565
  Evt: 3638   theta_fit: 51.8913   theta_deg: 51.4694
  Evt: 3689   theta_fit: 55.4095   theta_deg: 54.8753
  Evt: 3793   theta_fit: 55.0972   theta_deg: 54.7875
  Evt: 3833   theta_fit: 51.6284   theta_deg: 51.3565
  Evt: 3991   theta_fit: 53.6731   theta_deg: 53.4379
  Evt: 3994   theta_fit: 55.3712   theta_deg: 55.131
  Evt: 4068   theta_fit: 56.4022   theta_deg: 56.0548
  Evt: 4106   theta_fit: 50.3867   theta_deg: 49.9935
  Evt: 4340   theta_fit: 52.4433   theta_deg: 50.4002
  Evt: 4459   theta_fit: 50.7246   theta_deg: 50.3662
  Evt: 4530   theta_fit: 55.031   theta_deg: 54.7875
  Evt: 4603   theta_fit: 52.8154   theta_deg: 52.4992
  Evt: 4638   theta_fit: 53.1455   theta_deg: 52.5255
  Evt: 4979   theta_fit: 54.3017   theta_deg: 54.0666
  Evt: 4980   theta_fit: 56.3487   theta_deg: 56.1371
  Evt: 5028   theta_fit: 52.76   theta_deg: 52.3895
  Evt: 5049   theta_fit: 53.6332   theta_deg: 53.1468
  Evt: 5128   theta_fit: 55.7939   theta_deg: 55.5389
  Evt: 5242   theta_fit: 54.6607   theta_deg: 54.4154
  Evt: 5431   theta_fit: 54.0036   theta_deg: 53.7608
  Evt: 5446   theta_fit: 52.7138   theta_deg: 52.4258
  Evt: 5664   theta_fit: 54.7411   theta_deg: 54.2728
  Evt: 5721   theta_fit: 51.9002   theta_deg: 51.2425
  Evt: 5867   theta_fit: 54.3291   theta_deg: 54.0138
  Evt: 5888   theta_fit: 54.7605   theta_deg: 54.5345
  Evt: 6067   theta_fit: 49.6358   theta_deg: 49.3002
  Evt: 6152   theta_fit: 51.2133   theta_deg: 50.933
  Evt: 6169   theta_fit: 51.7518   theta_deg: 51.3559
  Evt: 6176   theta_fit: 53.4194   theta_deg: 53.1458
  Evt: 6182   theta_fit: 52.3412   theta_deg: 52.0947
  Evt: 6308   theta_fit: 132.001   theta_deg: 132.217
  Evt: 6448   theta_fit: 54.2929   theta_deg: 54.0399
  Evt: 6498   theta_fit: 49.6024   theta_deg: 49.3943
  Evt: 6602   theta_fit: 55.2782   theta_deg: 54.8756
  Evt: 7333   theta_fit: 52.9867   theta_deg: 52.6927
  Evt: 7463   theta_fit: 56.2149   theta_deg: 55.9734
  Evt: 7544   theta_fit: 57.5439   theta_deg: 57.2203
  Evt: 7555   theta_fit: 53.2967   theta_deg: 53.0397
  Evt: 7758   theta_fit: 53.4163   theta_deg: 53.201
  Evt: 7875   theta_fit: 55.9832   theta_deg: 55.7565
  Evt: 7895   theta_fit: 50.1619   theta_deg: 49.8806
  Evt: 7933   theta_fit: 50.91   theta_deg: 50.6223
  Evt: 8121   theta_fit: 52.1418   theta_deg: 51.9008
  Evt: 8126   theta_fit: 119.393   theta_deg: 162.435
  Evt: 8189   theta_fit: 51.2132   theta_deg: 50.8527
  Evt: 8404   theta_fit: 55.381   theta_deg: 55.067
  Evt: 8408   theta_fit: 52.9904   theta_deg: 52.66
  Evt: 8411   theta_fit: 46.7843   theta_deg: 46.5777
  Evt: 8438   theta_fit: 64.8202   theta_deg: 64.5498
  Evt: 8468   theta_fit: 52.1186   theta_deg: 51.8903
  Evt: 8481   theta_fit: 53.8744   theta_deg: 53.4262
  Evt: 8508   theta_fit: 56.2915   theta_deg: 55.9613
  Evt: 8535   theta_fit: 51.7763   theta_deg: 51.3827
  Evt: 8552   theta_fit: 52.0245   theta_deg: 51.669
  Evt: 8583   theta_fit: 46.3638   theta_deg: 46.1387
  Evt: 8810   theta_fit: 53.4301   theta_deg: 53.1201
  Evt: 9010   theta_fit: 55.7732   theta_deg: 55.4944
  Evt: 9288   theta_fit: 51.2637   theta_deg: 51.0127
  Evt: 9398   theta_fit: 53.6423   theta_deg: 53.4256
  Evt: 9419   theta_fit: 52.9024   theta_deg: 52.5863
  Evt: 9420   theta_fit: 51.9751   theta_deg: 51.7265
  Evt: 9454   theta_fit: 55.3113   theta_deg: 55.0438
  Evt: 9467   theta_fit: 53.1741   theta_deg: 52.8886
  Evt: 9621   theta_fit: 59.2563   theta_deg: 58.9188
  Evt: 9626   theta_fit: 47.6817   theta_deg: 47.3597
  Evt: 9998   theta_fit: 52.8397   theta_deg: 52.5008
  Evt: 9999   theta_fit: 50.5687   theta_deg: 50.2303
  Evt: 10106   theta_fit: 52.3575   theta_deg: 51.7459
  Evt: 10249   theta_fit: 52.4282   theta_deg: 52.1901
  Evt: 10512   theta_fit: 55.2531   theta_deg: 54.9888
  Evt: 10857   theta_fit: 53.1358   theta_deg: 52.8912
  Evt: 10966   theta_fit: 54.096   theta_deg: 53.6525
  Evt: 11054   theta_fit: 55.0897   theta_deg: 54.7369
  Evt: 11342   theta_fit: 50.0454   theta_deg: 49.7412
  Evt: 11760   theta_fit: 53.782   theta_deg: 53.5585
  Evt: 11790   theta_fit: 53.1772   theta_deg: 52.7637
  Evt: 11939   theta_fit: 55.5198   theta_deg: 55.1642
  Evt: 11942   theta_fit: 52.8506   theta_deg: 52.5148
  Evt: 12036   theta_fit: 53.5321   theta_deg: 53.1368
  Evt: 12471   theta_fit: 55.6718   theta_deg: 55.4573
  Evt: 12552   theta_fit: 52.5469   theta_deg: 52.1397
  Evt: 12842   theta_fit: 51.963   theta_deg: 51.7599
  Evt: 13060   theta_fit: 54.8516   theta_deg: 54.4631
  Evt: 13259   theta_fit: 50.6731   theta_deg: 50.3657
  Evt: 13576   theta_fit: 55.1747   theta_deg: 54.9562
  Evt: 13583   theta_fit: 54.641   theta_deg: 54.3879
  Evt: 13791   theta_fit: 52.79   theta_deg: 52.5026
  Evt: 13965   theta_fit: 53.0832   theta_deg: 52.6471
  Evt: 13993   theta_fit: 51.3614   theta_deg: 51.1063
  Evt: 14079   theta_fit: 52.7895   theta_deg: 52.5433
  Evt: 14116   theta_fit: 57.7431   theta_deg: 57.5291
