-100	7.85524	8.00781	7.55315	7.61906	3.45923	3.60087
-99	7.83047	7.98352	7.52467	7.59083	3.45378	3.59564
-98	7.82745	7.98055	7.51785	7.58407	3.44563	3.58781
-97	7.80658	7.96009	7.44393	7.5108	3.46327	3.60475
-96	7.70059	7.85617	7.34124	7.40904	3.45631	3.59806
-95	7.64947	7.80607	7.42772	7.49474	3.40182	3.54575
-94	7.54991	7.70852	7.2828	7.35114	3.39082	3.53521
-93	7.51817	7.67744	7.31034	7.37842	3.36529	3.51073
-92	7.45038	7.61107	7.30546	7.37358	3.35496	3.50082
-91	7.31185	7.47552	7.25863	7.32719	3.31591	3.46342
-90	7.30466	7.46849	7.18561	7.25486	3.31149	3.45919
-89	7.14879	7.31611	7.13541	7.20515	3.30738	3.45525
-88	7.12357	7.29147	7.10807	7.17807	3.27349	3.42282
-87	7.06459	7.23386	7.10537	7.17539	3.29763	3.44592
-86	7.01613	7.18654	6.99954	7.07061	3.23665	3.38761
-85	6.957	7.12883	7.04628	7.11689	3.23478	3.38582
-84	6.95807	7.12987	6.95956	7.03104	3.22839	3.37972
-83	6.86034	7.03453	6.89845	6.97056	3.24071	3.39149
-82	6.73853	6.91579	6.88972	6.96192	3.21748	3.3693
-81	6.68313	6.86182	6.83213	6.90493	3.18392	3.33727
-80	6.68945	6.86797	6.78371	6.85702	3.20145	3.354
-75	6.42361	6.60932	6.6082	6.68343	3.10121	3.25845
-65	5.78448	5.99003	6.2331	6.3128	3.00978	3.17156
-50	5.01586	5.25158	5.64413	5.73203	2.95041	3.11527
-40	4.559	4.81713	5.2816	5.37544	2.88032	3.04897
-20	3.89492	4.19412	4.64929	4.75562	3.00363	3.16572
-25	4.02215	4.31253	4.75572	4.85972	2.96669	3.13069
-30	4.17148	4.45214	4.89464	4.99575	2.9369	3.10248
-31	4.22961	4.50665	4.9865	5.08579	2.92803	3.09409
-32	4.23693	4.51351	5.00933	5.10817	2.93472	3.10042
-33	4.27307	4.54746	5.11129	5.20819	2.93433	3.10005
-34	4.32616	4.59738	5.12196	5.21867	2.93403	3.09976
-35	4.35525	4.62477	5.15946	5.25547	2.93092	3.09681
-36	4.40382	4.67053	5.17435	5.2701	2.92984	3.0958
-37	4.45209	4.71607	5.20025	5.29552	2.8947	3.06257
-38	4.46594	4.72916	5.21041	5.3055	2.91397	3.08078
-39	4.45695	4.72067	5.22869	5.32345	2.90411	3.07146
-40	4.559	4.81713	5.2816	5.37544	2.88032	3.04897
-41	4.57745	4.83459	5.32929	5.4223	2.901	3.06852
-42	4.54902	4.80769	5.37812	5.4703	2.89441	3.06229
-43	4.63796	4.89193	5.34042	5.43324	2.89014	3.05825
-44	4.7217	4.97139	5.42648	5.51785	2.88747	3.05573
-45	4.79131	5.03755	5.47167	5.5623	2.90801	3.07514
-46	4.86591	5.10855	5.43785	5.52903	2.89028	3.05838
-47	4.88774	5.12936	5.46894	5.55962	2.90392	3.07128
