============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom0. B= Backscattered Ion0. T= Transmitted Ion.   =
=  Col.#2: Ion Number0. Col.#3: Z of atom leaving0. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target0. Y0.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Si3N4 window( 1.20 km) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   48  3 0.2058706E+08   3366119E+03  0.3421E+08  0.4729E+08   0.9998033  0.0097983  0.0172456
T   49  3 0.2041890E+08   3366119E+03  0.8318E+05 -0.2507E+08   0.9999823 -0.0046009 -0.0037614
T   50  3 0.2048507E+08   3366119E+03  0.3047E+08  0.8359E+07   0.9999715  0.0073484 -0.0017214
T   51  3 0.2045056E+08   3366119E+03 -0.1876E+08  0.9104E+07   0.9996200  0.0164442  0.0221239
T   52  3 0.2052113E+08   3366119E+03 -0.4102E+07  0.1873E+07   0.9999932  0.0023356 -0.0028509
T   53  3 0.2055094E+08   3366119E+03 -0.5669E+08 -0.3386E+08   0.9998871 -0.0059386 -0.0138035
T   54  3 0.2054604E+08   3366119E+03 -0.6331E+08  0.2720E+08   0.9997918 -0.0194025  0.0063130
T   55  3 0.2045402E+08   3366119E+03 -0.9689E+07  0.1095E+09   0.9991751 -0.0101655  0.0393164
T   56  3 0.2054914E+08   3366119E+03 -0.6279E+08 -0.2368E+08   0.9997145 -0.0234857 -0.0043904
T   57  3 0.2050289E+08   3366119E+03  0.2410E+08 -0.1557E+08   0.9998312  0.0118475 -0.0140416
T   58  3 0.2040149E+08   3366119E+03  0.1185E+08 -0.2079E+08   0.9999463 -0.0010473 -0.0103076
T   59  3 0.2063204E+08   3366119E+03  0.5875E+08 -0.2236E+08   0.9998754  0.0152362 -0.0041175
T   60  3 0.2039537E+08   3366119E+03  0.1606E+08  0.1323E+09   0.9996198  0.0148840  0.0232110
T   61  3 0.2042988E+08   3366119E+03  0.5537E+07 -0.8216E+07   0.9999269  0.0117123  0.0030047
T   62  3 0.2047082E+08   3366119E+03  0.5087E+07 -0.6818E+07   0.9999892  0.0043138 -0.0017066
T   63  3 0.2054159E+08   3366119E+03  0.4157E+08 -0.2489E+07   0.9997549  0.0201648 -0.0091359
T   64  3 0.2057282E+08   3366119E+03  0.1841E+08 -0.2000E+08   0.9999852  0.0023023 -0.0049391
T   65  3 0.2059465E+08   3366119E+03  0.1790E+08 -0.1723E+08   0.9998593  0.0148374 -0.0078264
T   66  3 0.2050933E+08   3366119E+03  0.9289E+07  0.9188E+07   0.9999039  0.0136269  0.0025408
T   67  3 0.2049155E+08   3366119E+03 -0.2393E+08 -0.1399E+08   0.9998846 -0.0069491 -0.0135119
T   68  3 0.2044803E+08   3366119E+03  0.6328E+07 -0.3033E+08   0.9999169  0.0015608 -0.0128004
T   69  3 0.2051056E+08   3366119E+03 -0.5224E+07  0.2350E+08   0.9999970 -0.0023444  0.0007609
T   70  3 0.2055439E+08   3366119E+03 -0.2688E+08 -0.3923E+08   0.9998323 -0.0089643 -0.0159699
T   71  3 0.2048520E+08   3366119E+03 -0.3677E+08  0.1198E+08   0.9998615  0.0049750 -0.0158808
T   72  3 0.2036254E+08   3366119E+03  0.2388E+08  0.2723E+08   0.9999889  0.0042899 -0.0019268
T   73  3 0.2052210E+08   3366119E+03 -0.3688E+08  0.4233E+08   0.9998281 -0.0129572  0.0132648
T   74  3 0.2049171E+08   3366119E+03 -0.4803E+08 -0.4351E+07   0.9998823 -0.0149169 -0.0035964
T   75  3 0.2049587E+08   3366119E+03  0.1270E+08 -0.1761E+08   0.9999161 -0.0002970 -0.0129492
T   76  3 0.2054711E+08   3366119E+03  0.2629E+08  0.6916E+07   0.9999714  0.0008914 -0.0075104
T   77  3 0.2041143E+08   3366119E+03  0.6431E+07  0.8555E+07   0.9999833 -0.0045408  0.0035860
T   78  3 0.2050763E+08   3366119E+03 -0.2340E+05  0.5940E+07   0.9996164 -0.0027326 -0.0275595
T   79  3 0.2039900E+08   3366119E+03  0.1181E+08 -0.2473E+08   0.9998745  0.0058916 -0.0147059
T   80  3 0.2037103E+08   3366119E+03 -0.5568E+08  0.1627E+08   0.9996144 -0.0261336  0.0093825
T   81  3 0.2044254E+08   3366119E+03  0.1191E+08 -0.4120E+05   0.9999065  0.0136461 -0.0008661
T   82  3 0.2062091E+08   3366119E+03  0.7168E+08 -0.1595E+08   0.9997929  0.0199103 -0.0042055
T   83  3 0.2055024E+08   3366119E+03  0.3204E+08  0.1412E+07   0.9999951  0.0019919  0.0024336
T   84  3 0.2055338E+08   3366119E+03 -0.3021E+08  0.1063E+08   0.9999322 -0.0013501  0.0115678
T   85  3 0.2054596E+08   3366119E+03  0.1110E+08  0.3117E+08   0.9999204  0.0091872  0.0086469
T   86  3 0.2054694E+08   3366119E+03 -0.1029E+08 -0.6033E+07   0.9999926 -0.0037588 -0.0008379
T   87  3 0.2051926E+08   3366119E+03 -0.1702E+08  0.3265E+08   0.9998242 -0.0113192  0.0149470
T   88  3 0.2056468E+08   3366119E+03 -0.1594E+08  0.3951E+08   0.9999342  0.0017809  0.0113286
T   89  3 0.2046774E+08   3366119E+03 -0.2773E+07  0.1157E+08   0.9999956  0.0014056  0.0026239
T   90  3 0.2059831E+08   3366119E+03 -0.1866E+08  0.1775E+08   0.9999008  0.0020942  0.0139267
T   91  3 0.2057160E+08   3366119E+03 -0.9645E+07  0.1205E+08   0.9998844 -0.0043995  0.0145568
T   92  3 0.2057951E+08   3366119E+03  0.4034E+08 -0.1845E+08   0.9999572  0.0092406  0.0003548
T   93  3 0.2058893E+08   3366119E+03 -0.2655E+07  0.3586E+08   0.9999906  0.0013953  0.0041147
T   94  3 0.2057411E+08   3366119E+03  0.2405E+07 -0.9515E+07   0.9999667  0.0014014 -0.0080359
T   95  3 0.2052737E+08   3366119E+03  0.6303E+08 -0.1661E+08   0.9997526  0.0186719 -0.0120902
T   96  3 0.2049257E+08   3366119E+03 -0.5185E+08  0.6221E+07   0.9990862 -0.0183616  0.0385955
T   97  3 0.2045009E+08   3366119E+03  0.1615E+08 -0.2159E+08   0.9999948  0.0008648 -0.0031087
T   98  3 0.2055954E+08   3366119E+03  0.9071E+07 -0.4670E+07   0.9999271  0.0094711 -0.0074853
T   99  3 0.2055741E+08   3366119E+03 -0.9693E+07  0.7730E+07   0.9999513 -0.0040966 -0.0089840
T  100  3 0.2055480E+08   3366119E+03 -0.6830E+08  0.7484E+08   0.9994859 -0.0265472  0.0179781
T  101  3 0.2044758E+08   3366119E+03 -0.1234E+06 -0.8264E+05   0.9997372  0.0017303 -0.0228587
T  102  3 0.2050943E+08   3366119E+03  0.3318E+08  0.5598E+08   0.9997730  0.0138922  0.0161538
T  103  3 0.2049921E+08   3366119E+03  0.2566E+07 -0.5085E+08   0.9998887 -0.0042368 -0.0143057
T  104  3 0.2056033E+08   3366119E+03  0.3714E+08 -0.1317E+08   0.9999843  0.0009604 -0.0055197
T  105  3 0.2046474E+08   3366119E+03 -0.4911E+07 -0.2341E+08   0.9999828  0.0058657  0.0001739
T  106  3 0.2041391E+08   3366119E+03  0.4202E+06 -0.4486E+07   0.9999856  0.0047871 -0.0024211
T  107  3 0.2049437E+08   3366119E+03  0.7034E+08 -0.5899E+08   0.9994201  0.0309342 -0.0142350
T  108  3 0.2048690E+08   3366119E+03 -0.1979E+08  0.4018E+08   0.9998179 -0.0069260  0.0177801
T  109  3 0.2061049E+08   3366119E+03  0.9783E+06 -0.3372E+08   0.9997438  0.0211612 -0.0080330
T  110  3 0.2045420E+08   3366119E+03  0.4944E+08 -0.1633E+08   0.9999633  0.0024370 -0.0082139
T  111  3 0.2059234E+08   3366119E+03  0.6296E+07 -0.5278E+07   0.9999616  0.0001070 -0.0087618
T  112  3 0.2052888E+08   3366119E+03 -0.2098E+08  0.9404E+07   0.9999069 -0.0112184  0.0077731
T  113  3 0.2044011E+08   3366119E+03 -0.2460E+07 -0.1608E+07   0.9999958 -0.0006501  0.0028227
T  114  3 0.2061956E+08   3366119E+03  0.1526E+09 -0.6612E+08   0.9984710  0.0502324 -0.0230729
T  115  3 0.2050741E+08   3366119E+03  0.3059E+08  0.1829E+08   0.9999928 -0.0016774 -0.0034062
T  116  3 0.2060018E+08   3366119E+03  0.4492E+08  0.8403E+08   0.9994695  0.0136554  0.0295684
T  117  3 0.2054671E+08   3366119E+03  0.2097E+07  0.1793E+07   0.9999843 -0.0055989  0.0002918
T  118  3 0.2052962E+08   3366119E+03  0.4959E+08 -0.2306E+08   0.9999191  0.0087878 -0.0091992
T  119  3 0.2048303E+08   3366119E+03 -0.4098E+08 -0.1629E+07   0.9999467 -0.0094811 -0.0040989
T  120  3 0.2056874E+08   3366119E+03  0.6356E+07  0.1111E+08   0.9999647 -0.0047020  0.0069646
T  121  3 0.2056414E+08   3366119E+03 -0.1540E+08  0.3049E+08   0.9999835 -0.0015084  0.0055481
T  122  3 0.2054564E+08   3366119E+03 -0.9792E+07 -0.2863E+08   0.9998937 -0.0144632 -0.0018639
T  123  3 0.2044841E+08   3366119E+03  0.3159E+08  0.3012E+08   0.9997910  0.0177728  0.0101047
T  124  3 0.2050918E+08   3366119E+03  0.9245E+08 -0.3605E+07   0.9995258  0.0307488  0.0016653
T  125  3 0.2054909E+08   3366119E+03  0.2331E+08  0.4417E+08   0.9999774  0.0006490  0.0066886
T  126  3 0.2056522E+08   3366119E+03  0.3201E+08  0.9806E+07   0.9997370  0.0175185  0.0147975
T  127  3 0.2048297E+08   3366119E+03  0.1645E+08 -0.1135E+08   0.9999808  0.0021906 -0.0058029
T  128  3 0.2054918E+08   3366119E+03 -0.9172E+08  0.3304E+07   0.9996234 -0.0273915  0.0016659
T  129  3 0.2043870E+08   3366119E+03  0.3211E+07 -0.1892E+07   0.9999554  0.0036669  0.0087024
T  130  3 0.2063134E+08   3366119E+03 -0.3141E+07 -0.7861E+07   0.9999408 -0.0050676 -0.0096275
T  131  3 0.2054757E+08   3366119E+03  0.2790E+08  0.8201E+07   0.9998469  0.0119720  0.0127575
T  132  3 0.2056413E+08   3366119E+03 -0.4564E+07  0.1339E+08   0.9999995  0.0005775 -0.0008625
T  133  3 0.2059954E+08   3366119E+03 -0.3108E+08  0.1322E+08   0.9998371 -0.0123605 -0.0131503
T  134  3 0.2059391E+08   3366119E+03 -0.1427E+08  0.8096E+08   0.9997651  0.0034273  0.0214020
T  135  3 0.2059847E+08   3366119E+03 -0.8787E+07 -0.4926E+07   0.9998914 -0.0135592 -0.0057729
T  136  3 0.2042937E+08   3366119E+03 -0.4407E+08 -0.8202E+08   0.9994948 -0.0147502 -0.0281531
T  137  3 0.2047122E+08   3366119E+03 -0.7419E+07 -0.6276E+07   0.9999916  0.0037743 -0.0016024
T  138  3 0.2062917E+08   3366119E+03 -0.6633E+07  0.1699E+07   0.9999890 -0.0024285  0.0040183
T  139  3 0.2053111E+08   3366119E+03  0.5862E+08 -0.1542E+08   0.9997841  0.0207800  0.0001036
T  140  3 0.2062509E+08   3366119E+03 -0.1673E+08 -0.2590E+08   0.9998860  0.0002599 -0.0150965
T  141  3 0.2047429E+08   3366119E+03 -0.3793E+08 -0.1192E+08   0.9999400 -0.0103728 -0.0035228
T  142  3 0.2050005E+08   3366119E+03 -0.2155E+08  0.5674E+07   0.9999633 -0.0065572  0.0055118
T  143  3 0.2048786E+08   3366119E+03 -0.1584E+08  0.1960E+08   0.9997135 -0.0072155  0.0228218
T  144  3 0.2058982E+08   3366119E+03  0.3156E+08 -0.1901E+08   0.9998747  0.0158223 -0.0004122
T  145  3 0.2053220E+08   3366119E+03 -0.9548E+07  0.3455E+07   0.9999662 -0.0074334 -0.0035090
T  146  3 0.2048584E+08   3366119E+03  0.1719E+08 -0.1185E+08   0.9999558 -0.0027456  0.0089872
T  147  3 0.2045592E+08   3366119E+03  0.2088E+08  0.7473E+08   0.9996607  0.0083477  0.0246755
T  148  3 0.2053875E+08   3366119E+03 -0.7736E+06  0.5212E+08   0.9998640 -0.0005471  0.0164856
T  149  3 0.2047227E+08   3366119E+03 -0.5078E+07 -0.1382E+08   0.9999309 -0.0077201 -0.0088599
T  150  3 0.2051848E+08   3366119E+03 -0.3086E+08 -0.1629E+08   0.9999399 -0.0089265 -0.0063716
T  151  3 0.2036902E+08   3366119E+03  0.5303E+08 -0.5157E+08   0.9999876 -0.0006900 -0.0049262
T  152  3 0.2060719E+08   3366119E+03 -0.2930E+08  0.4499E+07   0.9999714 -0.0072849  0.0020075
T  153  3 0.2052353E+08   3366119E+03  0.8003E+07  0.1131E+08   0.9999686  0.0067846 -0.0041024
T  154  3 0.2069372E+08   3366119E+03 -0.2836E+08  0.4426E+07   0.9999107 -0.0116623  0.0065232
T  155  3 0.2052402E+08   3366119E+03 -0.1820E+08  0.4551E+07   0.9999862 -0.0052507 -0.0002899
T  156  3 0.2050269E+08   3366119E+03  0.7446E+07  0.7577E+07   0.9999897  0.0044520  0.0008317
T  157  3 0.2052741E+08   3366119E+03  0.1445E+08  0.2465E+08   0.9999263  0.0110266  0.0050898
T  158  3 0.2051400E+08   3366119E+03 -0.3300E+08  0.1369E+08   0.9998286 -0.0174362  0.0062197
T  159  3 0.2051781E+08   3366119E+03 -0.2808E+07 -0.2078E+08   0.9995836 -0.0116195 -0.0264139
T  160  3 0.2054115E+08   3366119E+03  0.3889E+08 -0.3413E+08   0.9998456  0.0169579  0.0045973
T  161  3 0.2055984E+08   3366119E+03 -0.1698E+08  0.4601E+07   0.9999898 -0.0009484 -0.0044254
T  162  3 0.2047277E+08   3366119E+03 -0.1027E+06 -0.2252E+08   0.9999680 -0.0042452 -0.0067871
T  163  3 0.2037529E+08   3366119E+03  0.3672E+08  0.9923E+07   0.9997536  0.0200395 -0.0095440
T  164  3 0.2040892E+08   3366119E+03 -0.4780E+08 -0.9636E+08   0.9992744 -0.0233935 -0.0300584
T  165  3 0.2050525E+08   3366119E+03  0.4895E+07 -0.9853E+07   0.9999869 -0.0037018 -0.0035278
T  166  3 0.2053917E+08   3366119E+03 -0.2398E+08 -0.1324E+08   0.9999596 -0.0052000 -0.0073347
T  167  3 0.2055816E+08   3366119E+03  0.8929E+05 -0.2342E+08   0.9999833 -0.0026346 -0.0051424
T  168  3 0.2039890E+08   3366119E+03 -0.1611E+09  0.1128E+09   0.9979534 -0.0512977  0.0381788
T  169  3 0.2050545E+08   3366119E+03 -0.5475E+08 -0.1286E+07   0.9998684 -0.0161337 -0.0017027
T  170  3 0.2042459E+08   3366119E+03  0.1924E+08  0.3481E+08   0.9999227  0.0070201  0.0102602
T  171  3 0.2049360E+08   3366119E+03 -0.4983E+08  0.6386E+08   0.9995412 -0.0168399  0.0251761
T  172  3 0.2046522E+08   3366119E+03 -0.1172E+08  0.1856E+08   0.9999640 -0.0064760  0.0054776
T  173  3 0.2054474E+08   3366119E+03 -0.3857E+08 -0.1720E+08   0.9998759 -0.0136073 -0.0079347
T  174  3 0.2063551E+08   3366119E+03  0.3244E+08 -0.1490E+08   0.9999427  0.0094626 -0.0049973
T  175  3 0.2054321E+08   3366119E+03  0.2693E+07 -0.2851E+08   0.9998956  0.0036510 -0.0139825
T  176  3 0.2053459E+08   3366119E+03  0.8016E+07 -0.2535E+08   0.9998294  0.0006106 -0.0184621
T  177  3 0.2058559E+08   3366119E+03 -0.1457E+08 -0.2660E+08   0.9999562 -0.0091178 -0.0020937
T  178  3 0.2048129E+08   3366119E+03 -0.3665E+08  0.2160E+07   0.9999773 -0.0064137 -0.0020685
T  179  3 0.2045768E+08   3366119E+03  0.3850E+08 -0.3860E+08   0.9998464  0.0161111 -0.0069046
T  180  3 0.2050671E+08   3366119E+03  0.1451E+08  0.2080E+08   0.9998841  0.0046689  0.0144935
T  181  3 0.2047995E+08   3366119E+03  0.8072E+07  0.1062E+08   0.9999903  0.0043221 -0.0009030
T  182  3 0.2046055E+08   3366119E+03  0.3125E+08  0.1084E+08   0.9998839  0.0146401  0.0042336
T  183  3 0.2056609E+08   3366119E+03  0.2987E+08 -0.3646E+07   0.9998773  0.0129363 -0.0088347
T  184  3 0.2051388E+08   3366119E+03 -0.1089E+08 -0.8484E+07   0.9999675 -0.0070474 -0.0039114
T  185  3 0.2054675E+08   3366119E+03  0.2622E+07 -0.1335E+08   0.9999932 -0.0035781 -0.0009457
T  186  3 0.2049440E+08   3366119E+03 -0.2097E+07 -0.1896E+08   0.9999758  0.0023131 -0.0065648
T  187  3 0.2050937E+08   3366119E+03  0.1884E+08 -0.1411E+08   0.9999936 -0.0007563  0.0034848
T  188  3 0.2051681E+08   3366119E+03 -0.3057E+08  0.2956E+08   0.9999138 -0.0056308  0.0118652
T  189  3 0.2057912E+08   3366119E+03 -0.1060E+08 -0.4569E+07   0.9999403  0.0044353 -0.0099841
T  190  3 0.2043875E+08   3366119E+03  0.1368E+08  0.1726E+08   0.9999595  0.0063521  0.0063686
T  191  3 0.2050878E+08   3366119E+03 -0.1671E+07 -0.3523E+07   0.9999892  0.0041859  0.0020033
T  192  3 0.2051882E+08   3366119E+03  0.4163E+07  0.3907E+08   0.9998185  0.0032304  0.0187752
T  193  3 0.2049946E+08   3366119E+03  0.4127E+08 -0.1499E+08   0.9998449  0.0169854 -0.0046580
T  194  3 0.2062355E+08   3366119E+03 -0.5669E+07  0.4325E+08   0.9999453  0.0078210  0.0069377
T  195  3 0.2046742E+08   3366119E+03 -0.4293E+08 -0.8533E+08   0.9997799  0.0048910 -0.0203994
T  196  3 0.2049147E+08   3366119E+03 -0.1476E+08 -0.2704E+08   0.9999260 -0.0068759 -0.0100401
T  197  3 0.2051583E+08   3366119E+03 -0.8265E+07 -0.2119E+08   0.9996837 -0.0251478 -0.0003410
T  198  3 0.2053981E+08   3366119E+03  0.1118E+08 -0.3884E+07   0.9987417  0.0349173 -0.0359970
T  199  3 0.2043139E+08   3366119E+03 -0.6344E+08 -0.4696E+08   0.9997721 -0.0135468 -0.0165017
T  200  3 0.2050902E+08   3366119E+03  0.1710E+08 -0.4357E+08   0.9998333  0.0073938 -0.0166964
T  201  3 0.2062891E+08   3366119E+03 -0.4142E+08  0.1561E+08   0.9996707 -0.0095930  0.0238004
T  202  3 0.2051231E+08   3366119E+03  0.2404E+08 -0.3191E+08   0.9998717  0.0155355 -0.0039029
T  203  3 0.2051150E+08   3366119E+03 -0.5859E+08  0.3599E+08   0.9996174 -0.0245529  0.0127369
T  204  3 0.2055907E+08   3366119E+03  0.5407E+08  0.1423E+08   0.9999409  0.0107876  0.0013585
