============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  C(45 MeV) ==> Dead space+Tr. ROW 0( 150. mm) =============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  6 .4352013E+08   1506000E+03  .1155E+06  .7536E+06   .9999999  .0000131  .0003765
T   55  6 .4356674E+08   1506000E+03 -.6764E+06  .7819E+06   .9999950 -.0003222  .0031443
T   56  6 .4350110E+08   1506000E+03 -.7376E+06  .4440E+06   .9999997 -.0006358  .0003212
T   57  6 .4352558E+08   1506000E+03 -.2770E+06  .7946E+06   .9999984 -.0003240  .0017792
T   58  6 .4356620E+08   1506000E+03 -.2929E+06 -.2862E+06   .9999998 -.0006177  .0001949
T   59  6 .4357018E+08   1506000E+03  .4575E+07 -.8398E+06   .9999905  .0043032 -.0006684
T   60  6 .4353085E+08   1506000E+03 -.4252E+05 -.2764E+04   .9999999 -.0000603  .0003283
T   61  6 .4366593E+08   1506000E+03  .2834E+06  .8242E+06   .9999994  .0006227  .0009540
T   62  6 .4357755E+08   1506000E+03 -.2650E+07  .1243E+07   .9998270 -.0074508  .0170420
T   63  6 .4355643E+08   1506000E+03  .1055E+07 -.1827E+07   .9999989  .0011913 -.0008586
T   64  6 .4356804E+08   1506000E+03  .5863E+06 -.1352E+06   .9999997 -.0000532  .0007270
T   65  6 .4355444E+08   1506000E+03  .1374E+07  .5432E+06   .9999981  .0015216  .0011932
T   66  6 .4348802E+08   1506000E+03  .3137E+06 -.1961E+07   .9999981 -.0002346 -.0019300
T   67  6 .4353456E+08   1506000E+03 -.6452E+05  .1962E+07   .9999976  .0000741  .0021707
T   68  6 .4356076E+08   1506000E+03 -.1094E+07  .1301E+06   .9999987 -.0016242 -.0002348
T   69  6 .4359669E+08   1506000E+03 -.4791E+06  .1877E+07   .9999982 -.0018297  .0005335
T   70  6 .4354483E+08   1506000E+03 -.1149E+06  .4702E+06   .9999998  .0005783 -.0003844
T   71  6 .4355404E+08   1506000E+03  .2393E+06  .3516E+05   .9999995  .0006329  .0008203
T   72  6 .4357327E+08   1506000E+03 -.3606E+07  .3410E+07   .9999892 -.0033387  .0032369
T   73  6 .4356242E+08   1506000E+03 -.2553E+07 -.3563E+06   .9999934 -.0036060  .0003714
T   74  6 .4350906E+08   1506000E+03 -.1229E+06 -.5819E+05   .9999999  .0000615  .0000744
T   75  6 .4357326E+08   1506000E+03  .2443E+07 -.4286E+07   .9999900  .0016275 -.0041747
T   76  6 .4353169E+08   1506000E+03  .3223E+07  .3543E+06   .9999737  .0062592  .0036617
T   77  6 .4349256E+08   1506000E+03  .4036E+06 -.2922E+07   .9999952  .0007569 -.0030156
T   78  6 .4349180E+08   1506000E+03 -.2750E+06 -.3013E+06   .9999997  .0007168 -.0001774
T   79  6 .4347106E+08   1506000E+03  .7954E+05  .1208E+07   .9999984 -.0010261  .0014428
T   80  6 .4358084E+08   1506000E+03 -.5068E+06  .9820E+06   .9999998 -.0002119  .0005968
T   81  6 .4360737E+08   1506000E+03  .3283E+06 -.2376E+06   .9999999  .0000995 -.0004382
T   82  6 .4347561E+08   1506000E+03 -.9393E+06  .3562E+06   .9999995 -.0008075  .0005356
T   83  6 .4354093E+08   1506000E+03 -.5530E+06 -.4165E+06   .9999835 -.0023105  .0052629
T   84  6 .4359680E+08   1506000E+03  .1949E+05 -.1721E+07   .9999991 -.0002694 -.0013096
T   85  6 .4350930E+08   1506000E+03  .1898E+07 -.6171E+06   .9999960  .0027963 -.0003635
T   86  6 .4353101E+08   1506000E+03  .4167E+06 -.5102E+06   .9999997 -.0000510 -.0007471
T   87  6 .4352744E+08   1506000E+03  .3078E+06  .8917E+06   .9999999  .0002435  .0002743
T   88  6 .4351346E+08   1506000E+03  .1911E+06  .3670E+06   .9999996  .0008936 -.0001758
T   89  6 .4357146E+08   1506000E+03  .1478E+06 -.1640E+07   .9999984  .0001526 -.0017626
T   90  6 .4357160E+08   1506000E+03 -.3725E+07 -.1661E+07   .9999928 -.0034027 -.0016938
T   91  6 .4350013E+08   1506000E+03 -.2884E+06  .1987E+07   .9999450 -.0042602  .0095888
T   92  6 .4356212E+08   1506000E+03  .2533E+07 -.6492E+06   .9999933  .0035347 -.0009297
T   93  6 .4345124E+08   1506000E+03  .6207E+06 -.8363E+06   .9999997  .0001336 -.0007300
T   94  6 .4355442E+08   1506000E+03 -.4551E+06  .7795E+06   .9999996 -.0003178  .0007861
T   95  6 .4357609E+08   1506000E+03  .1208E+07  .3013E+07   .9999955  .0011925  .0027518
T   96  6 .4352257E+08   1506000E+03 -.2875E+06 -.1038E+07   .9999967  .0005454 -.0025105
T   97  6 .4356936E+08   1506000E+03  .1310E+07  .7830E+06   .9999979  .0018627  .0008571
T   98  6 .4362585E+08   1506000E+03  .1348E+07  .5386E+07   .9999893  .0013834  .0044201
T   99  6 .4352771E+08   1506000E+03  .2505E+06  .5677E+06   .9999998  .0004283  .0003733
T  100  6 .4355814E+08   1506000E+03  .1381E+06 -.6025E+06   .9999948 -.0027270 -.0017017
T  101  6 .4352182E+08   1506000E+03 -.5355E+06  .3834E+06   .9999992 -.0001222  .0012735
T  102  6 .4354342E+08   1506000E+03 -.1607E+06 -.6228E+06   .9999974 -.0001953 -.0022604
T  103  6 .4351803E+08   1506000E+03 -.4259E+06  .3484E+06   .9999998 -.0006539  .0001795
T  104  6 .4357001E+08   1506000E+03  .3229E+07  .3090E+07   .9999923  .0020847  .0033338
T  105  6 .4356384E+08   1506000E+03  .1405E+07  .1174E+07   .9999995  .0008755  .0004411
T  106  6 .4354254E+08   1506000E+03  .5378E+06 -.5873E+06   .9999992  .0005148 -.0011472
T  107  6 .4353185E+08   1506000E+03 -.1198E+06 -.2709E+06   .9999999 -.0003377  .0003731
T  108  6 .4350431E+08   1506000E+03  .1395E+07 -.4242E+06   .9999991  .0013640 -.0001529
T  109  6 .4352718E+08   1506000E+03  .1337E+06  .7933E+06   .9999993  .0003568  .0011171
T  110  6 .4356278E+08   1506000E+03  .4072E+06 -.8258E+06   .9999973  .0016926 -.0015762
T  111  6 .4351404E+08   1506000E+03  .5148E+06  .1075E+07   .9999979  .0001867  .0020213
T  112  6 .4356289E+08   1506000E+03 -.3794E+06 -.2592E+05   .9999999  .0000449 -.0002388
T  113  6 .4354012E+08   1506000E+03 -.6020E+03  .3755E+03   .9999999 -.0001553  .0001055
T  114  6 .4354787E+08   1506000E+03  .2344E+06 -.4428E+06   .9999997  .0007680 -.0001640
T  115  6 .4355811E+08   1506000E+03  .6909E+06 -.4351E+05   .9999988  .0015352 -.0000591
T  116  6 .4359489E+08   1506000E+03 -.6158E+06 -.4000E+06   .9999981 -.0019010 -.0004558
T  117  6 .4363127E+08   1506000E+03 -.5290E+06 -.7792E+06   .9999992 -.0012678  .0000792
T  118  6 .4353514E+08   1506000E+03  .1260E+06  .4895E+06   .9999998 -.0003268  .0004653
T  119  6 .4363100E+08   1506000E+03 -.5452E+05 -.4103E+06   .9999999 -.0003289 -.0003900
T  120  6 .4348953E+08   1506000E+03  .2120E+06 -.1873E+07   .9999977 -.0012554 -.0017305
T  121  6 .4358873E+08   1506000E+03  .8536E+06  .4010E+05   .9999999  .0003184  .0003885
T  122  6 .4356751E+08   1506000E+03  .1456E+06 -.9249E+06   .9999999 -.0004440  .0000395
T  123  6 .4362408E+08   1506000E+03  .4856E+06 -.1148E+06   .9999999  .0003355 -.0003808
T  124  6 .4351528E+08   1506000E+03  .1794E+07  .1169E+06   .9999965  .0022033 -.0014309
T  125  6 .4354193E+08   1506000E+03  .4057E+06 -.8572E+04   .9999999  .0005153  .0000390
T  126  6 .4360489E+08   1506000E+03 -.3773E+06  .1137E+05   .9999989  .0013827 -.0004479
T  127  6 .4350915E+08   1506000E+03  .5444E+06 -.1319E+07   .9999990  .0009990 -.0009528
T  128  6 .4356219E+08   1506000E+03  .4184E+06  .1404E+07   .9999996 -.0000233  .0008625
T  129  6 .4354736E+08   1506000E+03  .4138E+06  .1448E+07   .9999968  .0003199  .0025239
T  130  6 .4352282E+08   1506000E+03 -.2528E+07 -.1503E+07   .9999970 -.0024463  .0001742
T  131  6 .4354032E+08   1506000E+03 -.1927E+07 -.1957E+07   .9999950 -.0018941 -.0025341
T  132  6 .4342969E+08   1506000E+03  .1017E+06 -.2754E+07   .9999927 -.0004991 -.0037976
T  133  6 .4352815E+08   1506000E+03 -.1179E+06  .1563E+06   .9999999 -.0003145  .0001923
T  134  6 .4350642E+08   1506000E+03  .3610E+07  .5924E+07   .9999815  .0027036  .0054442
T  135  6 .4349432E+08   1506000E+03  .1119E+07  .1177E+06   .9999988  .0013903 -.0007499
T  136  6 .4354290E+08   1506000E+03 -.9380E+06  .6454E+06   .9999998 -.0006057  .0000245
T  137  6 .4359309E+08   1506000E+03  .2421E+07  .3625E+07   .9999923  .0020740  .0033464
T  138  6 .4351672E+08   1506000E+03  .1125E+06  .8458E+06   .9999997 -.0006945 -.0002395
T  139  6 .4356986E+08   1506000E+03  .7782E+06  .5836E+06   .9999981  .0008556  .0017772
T  140  6 .4358992E+08   1506000E+03 -.5632E+06 -.3331E+06   .9999995 -.0009746  .0003794
T  141  6 .4356579E+08   1506000E+03 -.5992E+06  .1628E+06   .9999986 -.0008839  .0014078
T  142  6 .4358316E+08   1506000E+03  .1067E+07 -.4305E+06   .9999994  .0011148  .0001914
T  143  6 .4351631E+08   1506000E+03 -.5233E+06  .5374E+06   .9999998 -.0005498  .0003613
T  144  6 .4350504E+08   1506000E+03  .4095E+06  .2271E+06   .9999991  .0011191  .0006754
T  145  6 .4359228E+08   1506000E+03 -.1802E+07 -.1218E+07   .9999985 -.0015531 -.0007165
T  146  6 .4353019E+08   1506000E+03 -.8789E+06  .2091E+06   .9999984 -.0017639  .0002435
T  147  6 .4352342E+08   1506000E+03 -.7581E+05 -.1415E+07   .9999977 -.0002676 -.0021287
T  148  6 .4351719E+08   1506000E+03  .3400E+06 -.8520E+06   .9999997  .0006457 -.0004751
T  149  6 .4349910E+08   1506000E+03 -.1518E+07  .5025E+06   .9999975 -.0017970  .0013337
T  150  6 .4351499E+08   1506000E+03 -.5542E+06  .6237E+06   .9999983 -.0003958  .0018005
T  151  6 .4354824E+08   1506000E+03  .1974E+07 -.1423E+05   .9999978  .0019510  .0007588
T  152  6 .4351238E+08   1506000E+03 -.5466E+06 -.5905E+06   .9999995 -.0009384 -.0004665
T  153  6 .4344272E+08   1506000E+03  .5013E+06  .1943E+06   .9999999  .0003593 -.0002409
T  154  6 .4353190E+08   1506000E+03  .1929E+06 -.2634E+06   .9999988  .0008782 -.0013114
T  155  6 .4354593E+08   1506000E+03  .6025E+05 -.4624E+06   .9999998 -.0005527 -.0003286
T  156  6 .4353947E+08   1506000E+03  .5984E+06  .1464E+07   .9999915  .0015806  .0038081
T  157  6 .4356320E+08   1506000E+03 -.1178E+07 -.2522E+06   .9999968 -.0015127  .0020320
T  158  6 .4350681E+08   1506000E+03 -.7160E+06  .3190E+07   .9999940 -.0013050  .0032128
T  159  6 .4347658E+08   1506000E+03 -.3503E+06 -.4223E+06   .9999995  .0006119 -.0008196
T  160  6 .4361936E+08   1506000E+03  .3604E+06 -.3982E+06   .9999984  .0017211 -.0005199
T  161  6 .4351215E+08   1506000E+03 -.1259E+07 -.9944E+06   .9999972 -.0017238 -.0016045
T  162  6 .4347932E+08   1506000E+03 -.1178E+07  .1187E+07   .9999988 -.0008295  .0013275
T  163  6 .4355519E+08   1506000E+03  .2468E+06  .2415E+07   .9999962  .0004877  .0027258
T  164  6 .4351289E+08   1506000E+03 -.2089E+07  .1259E+06   .9999985 -.0016483  .0004567
T  165  6 .4354538E+08   1506000E+03  .2808E+06  .2676E+06   .9999999  .0003904  .0003825
T  166  6 .4357963E+08   1506000E+03  .4754E+06 -.7856E+06   .9999995  .0003436 -.0009079
T  167  6 .4353219E+08   1506000E+03  .5799E+06 -.6360E+05   .9999966  .0011043 -.0023705
T  168  6 .4357118E+08   1506000E+03  .9852E+06 -.1647E+07   .9999942  .0018706 -.0028442
T  169  6 .4351755E+08   1506000E+03  .9152E+06  .1747E+05   .9999966  .0020219  .0016681
T  170  6 .4350860E+08   1506000E+03 -.1529E+06 -.2844E+06   .9999999  .0002032 -.0002268
T  171  6 .4351237E+08   1506000E+03  .6849E+06  .1572E+06   .9999992  .0011394 -.0004503
T  172  6 .4355202E+08   1506000E+03  .5426E+06 -.1268E+07   .9999970  .0003775 -.0024022
T  173  6 .4356705E+08   1506000E+03 -.1498E+04  .7676E+06   .9999993  .0011037  .0004303
T  174  6 .4353042E+08   1506000E+03  .3781E+06 -.3117E+06   .9999999  .0001368  .0003461
T  175  6 .4356383E+08   1506000E+03 -.4187E+06 -.8464E+06   .9999936 -.0011505 -.0033847
T  176  6 .4354400E+08   1506000E+03 -.8310E+06  .1965E+07   .9999990 -.0009684  .0010564
T  177  6 .4353625E+08   1506000E+03 -.1115E+07  .5563E+06   .9999975 -.0017526  .0014063
T  178  6 .4356037E+08   1506000E+03 -.4102E+06  .9812E+06   .9999992 -.0009567  .0007701
T  179  6 .4347127E+08   1506000E+03  .2034E+06  .9751E+06   .9999992 -.0006391  .0011307
T  180  6 .4348008E+08   1506000E+03 -.5196E+06  .3357E+06   .9999992 -.0009966 -.0008398
T  181  6 .4343032E+08   1506000E+03 -.1346E+07  .6705E+06   .9999998 -.0005715 -.0002329
T  182  6 .4351077E+08   1506000E+03  .1800E+07 -.6666E+05   .9999991  .0012543  .0004045
T  183  6 .4354246E+08   1506000E+03 -.1874E+06 -.1179E+06   .9999983 -.0015055 -.0010576
T  184  6 .4352783E+08   1506000E+03  .1063E+07  .6840E+05   .9999999  .0000437  .0000026
T  185  6 .4349691E+08   1506000E+03 -.1188E+07  .3005E+07   .9999929 -.0015168  .0034381
T  186  6 .4355032E+08   1506000E+03  .5967E+06 -.1784E+07   .9999984 -.0002697 -.0017853
T  187  6 .4359794E+08   1506000E+03 -.7602E+06 -.3594E+06   .9999991 -.0009850 -.0008815
T  188  6 .4359952E+08   1506000E+03 -.8007E+05 -.7250E+06   .9999984  .0001934 -.0017630
T  189  6 .4354046E+08   1506000E+03  .4005E+07 -.7271E+07   .9999463  .0041994 -.0094720
T  190  6 .4356447E+08   1506000E+03  .1772E+06  .1445E+07   .9999989  .0008096  .0012718
T  191  6 .4351297E+08   1506000E+03 -.1461E+04 -.6401E+06   .9999995 -.0000484 -.0010233
T  192  6 .4359605E+08   1506000E+03  .3461E+06 -.1103E+07   .9999992 -.0000155 -.0012341
T  193  6 .4356449E+08   1506000E+03 -.2463E+06  .1207E+06   .9999998  .0004849  .0002967
T  194  6 .4354817E+08   1506000E+03 -.5246E+06 -.9124E+06   .9999992 -.0011192 -.0006076
T  195  6 .4348802E+08   1506000E+03  .1898E+07  .1191E+07   .9999975  .0019635  .0011048
T  196  6 .4349712E+08   1506000E+03 -.1633E+07 -.6973E+06   .9999988 -.0015232 -.0003091
T  197  6 .4351734E+08   1506000E+03 -.4909E+04  .3607E+06   .9999999  .0001529 -.0002584
T  198  6 .4353679E+08   1506000E+03 -.2497E+06 -.8930E+06   .9999996  .0005131 -.0007795
T  199  6 .4353546E+08   1506000E+03  .7170E+06  .1106E+07   .9999994  .0007572  .0007850
T  200  6 .4354778E+08   1506000E+03  .1591E+06 -.7086E+06   .9999999  .0001012 -.0004863
T  201  6 .4346446E+08   1506000E+03  .4425E+06 -.1120E+06   .9999996  .0001860  .0008943
T  202  6 .4352118E+08   1506000E+03  .7007E+06 -.1366E+07   .9999955  .0026859 -.0013207
T  203  6 .4350664E+08   1506000E+03 -.1476E+07  .1259E+06   .9999989 -.0014361  .0003401
T  204  6 .4361498E+08   1506000E+03  .3361E+06  .2726E+06   .9999999  .0004191 -.0003383
T  205  6 .4357898E+08   1506000E+03  .2236E+06  .4355E+06   .9999999  .0000844 -.0003288
T  206  6 .4356445E+08   1506000E+03 -.1330E+07  .2441E+05   .9999974 -.0022735 -.0002994
T  207  6 .4353885E+08   1506000E+03  .6664E+06  .6201E+06   .9999999 -.0002065  .0002628
T  208  6 .4359970E+08   1506000E+03 -.4645E+06  .3041E+06   .9999990 -.0013908 -.0003774
T  209  6 .4360162E+08   1506000E+03  .4562E+06  .1299E+07   .9999948 -.0007263  .0031370
T  210  6 .4350061E+08   1506000E+03  .3122E+06 -.4776E+06   .9999999  .0001267 -.0004230
T  211  6 .4355645E+08   1506000E+03 -.4511E+06 -.7785E+06   .9999997 -.0005423 -.0005175
T  212  6 .4358205E+08   1506000E+03 -.2070E+06 -.5263E+06   .9999995 -.0003075 -.0009963
T  213  6 .4352590E+08   1506000E+03  .8647E+06  .3412E+06   .9999996  .0006835 -.0005678
T  214  6 .4354702E+08   1506000E+03 -.6073E+06 -.6184E+06   .9999988 -.0009162 -.0012638
T  215  6 .4356719E+08   1506000E+03 -.1644E+07  .4339E+06   .9999925 -.0038636 -.0003937
T  216  6 .4356480E+08   1506000E+03 -.2473E+07 -.1670E+07   .9999966 -.0018163 -.0018589
T  217  6 .4354371E+08   1506000E+03  .9309E+06 -.1869E+07   .9999986  .0011101 -.0012847
T  218  6 .4357727E+08   1506000E+03  .1426E+06 -.8056E+06   .9999987  .0013130 -.0009260
T  219  6 .4356629E+08   1506000E+03  .4806E+06  .9749E+06   .9999978  .0007591  .0019763
T  220  6 .4349117E+08   1506000E+03  .6804E+06  .1681E+06   .9999997  .0007194  .0003798
T  221  6 .4355333E+08   1506000E+03 -.5935E+06 -.2171E+07   .9999959 -.0008584 -.0027235
T  222  6 .4361254E+08   1506000E+03 -.4761E+06 -.5186E+06   .9999997 -.0007305  .0000588
T  223  6 .4359243E+08   1506000E+03 -.2240E+06 -.9512E+06   .9999991  .0002521 -.0013081
T  224  6 .4353956E+08   1506000E+03  .4372E+06  .2005E+06   .9999999  .0003426  .0002252
T  225  6 .4350802E+08   1506000E+03 -.8263E+06 -.2947E+06   .9999991 -.0013253  .0002711
T  226  6 .4357482E+08   1506000E+03  .8396E+06  .1069E+07   .9999996  .0002468  .0008193
T  227  6 .4354086E+08   1506000E+03 -.1118E+07  .1532E+07   .9999974 -.0014213  .0017869
T  228  6 .4352936E+08   1506000E+03  .6111E+06  .9935E+05   .9999996  .0008791 -.0001594
T  229  6 .4353729E+08   1506000E+03  .2064E+07 -.3506E+06   .9999981  .0019438  .0003366
T  230  6 .4352885E+08   1506000E+03 -.8529E+06 -.5058E+06   .9999989 -.0012276 -.0008839
T  231  6 .4358327E+08   1506000E+03 -.6504E+06  .4202E+05   .9999996 -.0006356  .0006263
T  232  6 .4358017E+08   1506000E+03 -.6669E+06  .2081E+06   .9999999 -.0000346 -.0002727
