============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Dead space+Tr. ROW 0+Tr.( 190. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  8 .6113651E+08   1906000E+03  .6337E+06  .1898E+07   .9999892  .0020364  .0041841
T   55  8 .6110463E+08   1906000E+03 -.1356E+07  .1682E+07   .9999912 -.0039214  .0014962
T   56  8 .6114417E+08   1906000E+03 -.2022E+07 -.1601E+07   .9999986 -.0013059 -.0010589
T   57  8 .6101443E+08   1906000E+03 -.2151E+07  .6028E+05   .9999982 -.0018513  .0004402
T   58  8 .6110734E+08   1906000E+03 -.1460E+07 -.9684E+06   .9999990 -.0009972 -.0009588
T   59  8 .6107976E+08   1906000E+03 -.7383E+06 -.4913E+06   .9999999 -.0002951  .0001238
T   60  8 .6105456E+08   1906000E+03  .3042E+06 -.5221E+07   .9999960 -.0000199 -.0028408
T   61  8 .6111069E+08   1906000E+03  .1003E+06  .7322E+06   .9999996 -.0002425  .0008510
T   62  8 .6107887E+08   1906000E+03  .3408E+06 -.1881E+07   .9999993 -.0007674 -.0008808
T   63  8 .6108335E+08   1906000E+03 -.1479E+07 -.2775E+07   .9999966 -.0014365 -.0021698
T   64  8 .6104954E+08   1906000E+03 -.3558E+07  .1529E+07   .9999848 -.0047991  .0026995
T   65  8 .6111485E+08   1906000E+03  .6118E+06 -.1642E+06   .9999993  .0011278 -.0003491
T   66  8 .6112169E+08   1906000E+03 -.9792E+06 -.1386E+07   .9999990 -.0007177 -.0012127
T   67  8 .6103432E+08   1906000E+03  .1903E+06 -.1795E+07   .9999992 -.0001455 -.0012442
T   68  8 .6107523E+08   1906000E+03 -.8783E+06 -.5257E+06   .9999998 -.0001685 -.0006499
T   69  8 .6106517E+08   1906000E+03  .6926E+06 -.9480E+06   .9999997  .0005260 -.0005240
T   70  8 .6113179E+08   1906000E+03  .1503E+07 -.1332E+08   .9999562  .0020634 -.0091336
T   71  8 .6109138E+08   1906000E+03  .1451E+07  .5447E+06   .9999985  .0015704  .0007670
T   72  8 .6101156E+08   1906000E+03  .1992E+07  .1355E+06   .9999989  .0012735 -.0007740
T   73  8 .6107932E+08   1906000E+03 -.1753E+06 -.1019E+07   .9999999 -.0005117 -.0001943
T   74  8 .6104909E+08   1906000E+03 -.2544E+07 -.2016E+06   .9999984 -.0017417  .0002677
T   75  8 .6097380E+08   1906000E+03  .1108E+06  .5819E+06   .9999995 -.0002167  .0009608
T   76  8 .6104434E+08   1906000E+03  .2088E+06  .1734E+05   .9999995 -.0004261 -.0009182
T   77  8 .6103205E+08   1906000E+03  .9194E+06 -.1550E+07   .9999973  .0001415 -.0023351
T   78  8 .6104013E+08   1906000E+03  .8819E+06 -.7823E+06   .9999994  .0004026  .0009769
T   79  8 .6118271E+08   1906000E+03 -.4515E+06 -.5398E+06   .9999996 -.0008108 -.0002463
T   80  8 .6115680E+08   1906000E+03 -.4276E+06 -.8200E+06   .9999990 -.0008279 -.0011867
T   81  8 .6103517E+08   1906000E+03 -.4704E+06  .8774E+05   .9999985 -.0016694 -.0003504
T   82  8 .6095632E+08   1906000E+03 -.5340E+06 -.1980E+07   .9999931 -.0016314 -.0033293
T   83  8 .6105613E+08   1906000E+03 -.5750E+06  .3590E+06   .9999998  .0001834  .0005930
T   84  8 .6113821E+08   1906000E+03  .9509E+06  .1773E+06   .9999998 -.0000912 -.0005413
T   85  8 .6101716E+08   1906000E+03 -.2290E+05 -.1141E+07   .9999987  .0005803 -.0014799
T   86  8 .6105456E+08   1906000E+03  .3090E+07 -.2006E+07   .9999947  .0025434 -.0020171
T   87  8 .6109685E+08   1906000E+03  .9916E+06 -.1449E+07   .9999844  .0035897 -.0042679
T   88  8 .6101091E+08   1906000E+03  .3702E+06 -.1204E+07   .9999997  .0004775 -.0006206
T   89  8 .6109451E+08   1906000E+03  .3355E+06 -.3842E+05   .9999993  .0002246 -.0012027
T   90  8 .6106729E+08   1906000E+03 -.3223E+07 -.1702E+07   .9999803 -.0056417 -.0027602
T   91  8 .6122873E+08   1906000E+03  .3038E+06 -.1367E+07   .9999992  .0011037 -.0006090
T   92  8 .6100140E+08   1906000E+03  .2638E+06  .2274E+07   .9999970 -.0000598  .0024668
T   93  8 .6107866E+08   1906000E+03 -.4958E+06 -.6109E+06   .9999999 -.0003879 -.0000181
T   94  8 .6109467E+08   1906000E+03 -.5246E+06 -.8446E+06   .9999996  .0003052 -.0007892
T   95  8 .6110622E+08   1906000E+03  .2143E+07  .1972E+07   .9999957  .0028782  .0005784
T   96  8 .6114886E+08   1906000E+03  .2031E+07 -.2445E+07   .9999987  .0004619 -.0015369
T   97  8 .6104391E+08   1906000E+03  .1096E+07 -.1688E+07   .9999963  .0014633 -.0023064
T   98  8 .6108535E+08   1906000E+03 -.3119E+07  .1845E+07   .9999949  .0008360  .0030919
T   99  8 .6111631E+08   1906000E+03  .9044E+06  .1951E+07   .9999977  .0017034 -.0012908
T  100  8 .6109227E+08   1906000E+03 -.6404E+06  .4340E+06   .9999995 -.0002655  .0009831
T  101  8 .6112260E+08   1906000E+03 -.2654E+06  .2730E+07   .9999956 -.0007185  .0028782
T  102  8 .6107608E+08   1906000E+03  .1491E+07 -.2751E+06   .9999990  .0001550 -.0014235
T  103  8 .6109078E+08   1906000E+03 -.3376E+07 -.1221E+07   .9999975 -.0019904 -.0010594
T  104  8 .6107228E+08   1906000E+03 -.7355E+06 -.7802E+06   .9999999  .0000195 -.0004399
T  105  8 .6105058E+08   1906000E+03  .2727E+07  .2289E+07   .9999995  .0009212  .0004429
T  106  8 .6109858E+08   1906000E+03 -.1524E+07 -.3413E+06   .9999990 -.0011125 -.0008221
T  107  8 .6105272E+08   1906000E+03  .7916E+06 -.1380E+07   .9999880  .0017351 -.0045833
T  108  8 .6115767E+08   1906000E+03 -.1239E+07 -.3191E+06   .9999996 -.0008758  .0000221
T  109  8 .6062280E+08   1906000E+03  .1278E+08  .2028E+07   .9997870  .0202838  .0038117
T  110  8 .6113808E+08   1906000E+03  .2730E+06  .7316E+06   .9999977  .0017849  .0011946
T  111  8 .6107852E+08   1906000E+03  .1080E+07  .4455E+06   .9999998  .0003320  .0004528
T  112  8 .6110535E+08   1906000E+03  .2121E+07  .1770E+07   .9999941  .0034238  .0002404
T  113  8 .6107964E+08   1906000E+03  .2499E+06 -.1600E+06   .9999998 -.0003692 -.0005885
T  114  8 .6101903E+08   1906000E+03  .1236E+07 -.4233E+06   .9999995  .0010327  .0000384
T  115  8 .6118775E+08   1906000E+03 -.6946E+06 -.2441E+06   .9999993  .0003594 -.0011275
T  116  8 .6099961E+08   1906000E+03 -.1245E+07 -.2795E+06   .9999932  .0000159  .0036945
T  117  8 .6106435E+08   1906000E+03 -.7437E+06 -.2236E+07   .9999992 -.0000770 -.0012614
T  118  8 .6108150E+08   1906000E+03  .5802E+06  .1851E+07   .9999946  .0002591  .0032756
T  119  8 .6115703E+08   1906000E+03 -.1812E+07 -.2813E+07   .9999951 -.0018571 -.0025212
T  120  8 .6097115E+08   1906000E+03  .1062E+07 -.1637E+06   .9999965  .0019480 -.0017638
T  121  8 .6108213E+08   1906000E+03  .4331E+06 -.2032E+07   .9999981  .0005323 -.0018509
T  122  8 .6104754E+08   1906000E+03  .1390E+07 -.6819E+06   .9999997  .0004782 -.0005455
